,Q02,Q03,Q04,Q05,Q07,Q08,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q37,Q38,Q39,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.0152861,-0.0007436999999999,5.530896899999973e-07,0.00023366485321,0.0676103999999999,0.1352937,0.0045711661881599,0.01830438525969,0.0750148,0.1581216999999999,0.00562722021904,0.0250024720108899,0.000490425,0.001139328,2.40516680625e-07,1.298068291584e-06,-0.000470482,-0.0006570009999999,4.31650314001e-07,2.21353312324e-07,0.0,-0.000161193,0.0,2.5983183249e-08,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-0.0155847,-0.0002986,8.916196000000181e-08,0.00024288287409,0.150031,0.0824206,0.022509300961,0.00679315530436,0.137374,0.0623591999999999,0.018871615876,0.0038886698246399,0.00111949,0.0006290649999999,1.2532578600999998e-06,3.957227742249999e-07,-0.0008814869999999,-0.0004110049999999,1.6892511002499998e-07,7.770193311689999e-07,0.0,0.0,0.0,0.0,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.000457146,0.016041846,0.0002573408230877,2.0898246531600002e-07,0.214438,0.064407,0.045983655844,0.004148261649,0.140388,0.003014,0.019708790544,9.0841960000001e-06,0.00111196,-7.52999999999995e-06,1.2364550415999998e-06,5.6700899999999255e-11,-0.00064322,0.0002382669999999,5.6771163288999954e-08,4.137319684e-07,-1.05879e-22,-1.05879e-22,1.1210362640999998e-44,1.1210362640999998e-44,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.00279305,0.0023359039999999,5.456447497216001e-06,7.8011283025e-06,0.145389,-0.069049,0.021137961321,0.004767764401,0.06711,-0.073278,0.0045037521,0.005369665284,0.00051451,-0.0005974499999999,2.647205401e-07,3.569465024999999e-07,-0.00064322,0.0,0.0,4.137319684e-07,-6.4816e-05,-6.4816e-05,4.201113856e-09,4.201113856e-09,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.00779887,0.00500582,2.50582338724e-05,6.082237327690001e-05,0.0126518,-0.1327372,0.00016006804324,0.01761916426384,-0.0459738,-0.1130838,0.00211359028644,0.01278794582244,-0.000100205,-0.000614715,1.0041042025e-08,3.778745312250001e-07,-5.44501e-05,0.0005887698999999,3.466499951460101e-07,2.96481339001e-09,-0.000209565,-0.000144749,4.3917489225e-08,2.0952273001e-08,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.00669487,-0.001104,1.218816e-06,4.48212843169e-05,0.00996261,-0.0026891899999999,9.92535980121e-05,7.231742856099997e-06,-0.0277598,0.018214,0.0007706064960399,0.000331749796,0.000227121,0.000327326,5.1583948641e-08,1.0714231027599999e-07,0.00041644,0.0004708901,2.2173748627801e-07,1.734222736e-07,-0.000280351,-7.078599999999997e-05,7.859668320099999e-08,5.010657795999997e-09,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-0.00136362,-0.00805849,6.49392610801e-05,1.8594595044e-06,0.18079,0.17082739,0.0326850241,0.029181997174212,0.129127,0.1568868,0.0166737821289999,0.02461346801424,0.00118955,0.000962429,1.4150292024999996e-06,9.262695800409998e-07,-0.0001657079999999,-0.000582148,3.38896293904e-07,2.7459141264e-08,4.29612e-05,0.0003233122,1.84566470544e-09,1.0453077866884e-07,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-0.0150991,-0.01373548,0.0001886634108304,0.00022798282081,0.275953,0.095163,0.0761500582089999,0.009055996569,0.238281,0.109154,0.056777834961,0.0119145957159999,0.00126085,7.13000000000007e-05,1.5897427225000016e-06,5.0836900000001e-09,-0.000540169,-0.000374461,1.402210405210001e-07,2.9178254856100005e-07,0.000257848,0.0002148868,6.648559110399999e-08,4.617633681423999e-08,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-0.0149767,0.0001224,1.498176000000041e-08,0.00022430154289,0.184318,-0.091635,0.033973125124,0.0083969732249999,0.154717,-0.083564,0.023937350089,0.0069829420959999,0.000709938,-0.000550912,5.04011963844e-07,3.035040317440007e-07,-0.000466231,7.393800000000006e-05,5.466827844000009e-09,2.1737134536100002e-07,0.000322009,6.416100000000002e-05,1.03689796081e-07,4.116633921000003e-09,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.00833005,0.00664665,4.417795622249999e-05,6.93897330025e-05,0.0498616,-0.1344563999999999,0.00248617915456,0.01807852350096,0.0741836,-0.0805333999999999,0.00550320650896,0.0064856285155599,0.000173547,-0.000536391,3.0118561208999995e-08,2.87715304881e-07,-0.000180977,0.000285254,8.1369844516e-08,3.2752674529000005e-08,0.000124615,-0.000197394,1.5528898225000002e-08,3.8964391236e-08,1
