,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.238103112062365,7.984684203049853,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.00626733,0.01594982,3.92794253289e-05,0.0002543967580324,-0.0506127,-0.0097568999999999,0.0025616454012899,9.519709760999984e-05,-0.0920648,-0.0325966,0.00847592739904,0.00106253833156,-0.00209021,0.0007266099999999,5.279620920999999e-07,4.3689778441e-06,0.000147227,-0.0003280449999999,2.1675789529000005e-08,1.0761352202499997e-07,0.000696971,-0.0001268479999999,1.6090415103999983e-08,4.85768574841e-07,-1.2037043828234613,-0.3295847738904425,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.29683312868271,6.836447660970328,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-0.00418181,-0.01044914,1.7487534876100002e-05,0.0001091845267395,-0.0235464,0.0270662999999999,0.00055443295296,0.0007325845956899,-0.137548,-0.0454832,0.018919452304,0.00206872148224,-0.0008524139999999,0.001237796,1.532138937616e-06,7.266096273959998e-07,-0.000221425,-0.0003686519999999,4.9029030625e-08,1.3590429710400004e-07,0.000517643,-0.0001793279999999,3.2158531583999984e-08,2.67954275449e-07,-1.4119673973284743,-0.28246231296212454,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.512396704390525,5.537626643032576,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-0.000503133,0.003678677,2.53142815689e-07,1.3532664470329e-05,0.0178556,0.041402,0.00031882245136,0.001714125604,-0.0980879,0.0394601,0.00962123612641,0.00155709949201,-0.00181813,-0.000965716,9.32607392656e-07,3.3055966969e-06,5.1648300000000005e-06,0.0002265898299999,2.6675468928900007e-11,5.1342951059428896e-08,0.000646228,0.0001285849999999,1.6534102224999993e-08,4.17610627984e-07,-1.5855180662176955,-0.22911554616932697,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.85337118415394,4.2633711601380435,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,-5.16931e-05,0.0004514398999999,2.6721765876100003e-09,2.0379798331201e-07,0.0285246,0.0106689999999999,0.0008136528051599,0.0001138275609999,-0.0378197,0.0602682,0.0014303297080899,0.0036322559312399,-0.00161794,0.00020019,4.007603610000002e-08,2.6177298436e-06,-5.34537e-05,-5.861853e-05,2.85729804369e-09,3.4361320593609e-09,0.000646229,1.000000000015745e-09,1.0000000000314906e-18,4.17611920441e-07,-1.72306274922189,-0.17675430225279204,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.378037873631406,3.1141321338942793,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-0.00477929,-0.0047275969,2.2841612904100008e-05,2.235017244888961e-05,0.00385711,-0.02466749,1.48772975521e-05,0.0006084850629,-0.0596505,-0.0218308,0.00355818215025,0.00047658382864,-0.00167176,-5.382e-05,2.8965924e-09,2.7947814976e-06,-0.000315337,-0.0002618833,9.943742356900001e-08,6.858286281889001e-08,0.000646229,0.0,0.0,4.17611920441e-07,-1.8270008312392108,-0.12951576871706413,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15619236716022,1.9946201524999678,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-0.0184799,-0.01370061,0.00034150670401,0.0001877067143721,-0.00255333,-0.00641044,6.519494088899999e-06,4.10937409936e-05,-0.0705243,-0.0108738,0.00497367689049,0.00011823952644,-0.00219007,-0.00051831,2.686452561000001e-07,4.7964066049000015e-06,-0.000884736,-0.000569399,7.82757789696e-07,3.2421522120099986e-07,0.0004887219999999,-0.000157507,2.4808455049000028e-08,2.3884919328399986e-07,-1.9002057292790853,-0.08347903303207055,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99594169186742,0.32659319192669517,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-0.00918276,0.00929714,8.43230812176e-05,8.64368121796e-05,0.00824367,0.010797,6.795809506889999e-05,0.0001165752089999,-0.0261158,0.0444085,0.00068203500964,0.00197211487225,-0.00130212,0.00088795,7.884552025000002e-07,1.6955164944e-06,-0.000493563,0.000391173,2.436044349690001e-07,1.5301631592899998e-07,0.000427025,-6.169699999999992e-05,3.806519808999992e-09,1.82350350625e-07,-1.934777395530788,-0.014832766839565062,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.37485183600015,-2.15684068252873,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-0.00221597,0.00696679,4.910523040899998e-06,4.85361629041e-05,0.0369977,0.0287540299999999,0.0013688298052899,0.0008267942412408,0.0225969,0.0487127,0.00051061988961,0.00237292714129,-0.0010707,0.0002314199999999,5.355521639999988e-08,1.1463984900000004e-06,4.00954e-05,0.0005336583999999,1.60764110116e-09,2.8479128789056e-07,0.000466436,3.941099999999999e-05,1.5532269209999995e-09,2.17562542096e-07,-1.9092077278006612,0.08742613365697381,1
18,3.150917387430359e-07,2.9939093608016425e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.88675491651138,-4.986279253962624,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-0.00319944,-0.00098347,1.02364163136e-05,9.672132409000004e-07,0.0137715,-0.0232261999999999,0.00018965421225,0.0005394563664399,-0.0171439,-0.0397408,0.00029391330721,0.00157933118464,-0.00116821,-9.750999999999988e-05,9.508200099999974e-09,1.3647146041e-06,-2.51908e-05,-6.52862e-05,6.345764046399997e-10,4.26228791044e-09,0.00029361,-0.0001728259999999,2.9868826276e-08,8.62068321e-08,-1.8067753603371308,0.2039831837326738,1
19,0.00048482030317172065,0.002185104820682696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.58261362686027,-7.414689136073992,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.00234659,0.00085285,5.5064846281e-06,7.273531225000002e-07,0.00128024,-0.01249126,1.6390144576e-06,0.0001560315763876,-0.0168303999999999,0.0003135,0.0002832623641599,9.828225000000517e-08,-0.000624321,0.000543889,2.958152443210001e-07,3.89776711041e-07,0.000105197,0.0001303878,1.1066408809e-08,1.7000978388840004e-08,0.000138369,-0.0001552409999999,2.4099768080999993e-08,1.9145980161e-08,-1.629843353115314,0.3028904885726496,1
