,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866058036190216,0.18895779816073113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574771763571331,0.06692387098127205,29.129251218536982,7.96146571349185,0.058033611,0.0577632659999999,0.0573136234999999,0.0566860791,0.0558825807,0.22807,0.0003609999999999,1.3032099999998014e-07,0.0520159249,-0.260391,-0.0700949999999999,0.0049133090249999,0.0678034728809999,0.402131,-0.008537,7.288036900000028e-05,0.161709341161,0.00519896,8.920000000000022e-05,7.956640000000039e-09,2.70291850816e-05,-0.001735,-0.00023529,3.0102250000000013e-06,5.5361384100000086e-08,-0.00220433,-0.0002250899999999,4.8590707489e-06,5.0665508099999936e-08,-0.5229163392446935,-0.1440240033546622,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062141870816663,0.16206756694514132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3023303201556248,0.05615449496431585,34.20363688693967,6.811054523875026,0.0580156159,0.0576914082,0.0571524033999999,0.0564006083999999,0.0554388223,0.227782,-0.0002879999999999,8.294399999999005e-08,0.051884639524,-0.24034,0.0200509999999999,0.0004020426009999,0.0577633156,0.430891,0.0287599999999999,0.0008271375999999,0.185667053881,0.00541772,0.00021876,4.785593760000006e-08,2.93516899984e-05,-0.00241931,-0.0006843099999999,5.8530608761000014e-06,4.682801760999998e-07,-0.00206143,0.0001429,4.2494936449e-06,2.042041000000001e-08,-0.6140096240575994,-0.12356444781484377,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9059929876441716,0.13151861285203922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3397473703665643,0.04412675176283921,38.43675250080397,5.507012437912382,0.0579959869,0.0576130517,0.0569766982,0.0560897255,0.054956035,0.227986,0.000204,4.161600000000397e-08,0.051977616196,-0.16688,0.07346,0.0053963716,0.0278489344,0.445785,0.014894,0.000221831236,0.198724266225,0.00520198,-0.0002157399999999,4.6543747599999936e-08,2.7060595920400006e-05,-0.00198279,0.00043652,3.9314561841e-06,1.905497104000001e-07,-0.00220433,-0.0001429,4.8590707489e-06,2.042041000000001e-08,-0.6900007748013859,-0.10031511701209345,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851469810141209,0.10147550890774103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36943011788029534,0.03240691411541477,41.794860669524084,4.226085246810179,0.0579747247,0.0575282054,0.0567865523,0.0557535703,0.0544345589,0.227993,6.9999999999514895e-06,4.8999999999320845e-11,0.0519808080489999,-0.184231,-0.017351,0.000301057201,0.0339410613609999,0.390204,-0.055581,0.003089247561,0.152259161616,0.00413901,-0.00106297,1.1299052208999997e-06,1.7131403780100002e-05,-0.00166554,0.0003172499999999,2.7740234916000003e-06,1.0064756249999988e-07,-0.00220433,0.0,4.8590707489e-06,0.0,-0.7502841517135034,-0.07744760116573612,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.045019207373339,0.07434189692137033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39188220276500213,0.02188865002230463,44.334939872813905,3.0701397364575445,0.0579518298,0.0574368788,0.056582014,0.0553922944,0.0538747609999999,0.223916,-0.0040769999999999,1.6621928999999976e-05,0.0501383750559999,-0.244753,-0.060522,0.003662912484,0.059904031009,0.390802,0.0005979999999999,3.5760399999998494e-07,0.152726203204,0.00516435,0.0010253399999999,1.0513221155999992e-06,2.66705109225e-05,-0.0018028,-0.0001372599999999,3.2500878399999987e-06,1.884030759999992e-08,-0.00207275,0.00013158,4.2962925625e-06,1.7313296400000016e-08,-0.79588260903089,-0.056792728544711325,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872940441171568,0.04806717538620868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40773526654393377,0.011793329855071599,46.12844982167038,1.9520440432893125,0.0579273029,0.0573390823,0.056363135,0.0550060606,0.0532770354,0.226181,0.002265,5.130225000000077e-06,0.0511578447609999,-0.271909,-0.0271559999999999,0.0007374483359999,0.073934504281,0.366827,-0.0239749999999999,0.0005748006249999,0.134562047929,0.00368472,-0.00147963,2.1893049369e-06,1.3577161478399997e-05,-0.00136183,0.0004409699999999,1.8545809489e-06,1.9445454089999977e-07,-0.00242096,-0.00034821,5.861047321600001e-06,1.2125020410000018e-07,-0.8280789620994556,-0.03678904974811661,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076386133851435,0.009141380922964888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41536448001942883,-0.0029204486241840005,46.99156817286472,0.29898548723068874,0.0579011447,0.0572348267,0.0561299709,0.0545950427,0.0526418029,0.228231,0.0020499999999999,4.202499999999985e-06,0.052089389361,-0.195757,0.076152,0.005799127104,0.0383208030489999,0.431658,0.0648309999999999,0.0042030585609999,0.186328628964,0.00482492,0.0011402,1.3000560400000005e-06,2.32798530064e-05,-0.00182977,-0.00046794,3.348058252900001e-06,2.189678436e-07,-0.00220433,0.00021663,4.8590707489e-06,4.6928556900000095e-08,-0.8435733078056111,-0.007146706249548513,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938093281662213,-0.049080454797246764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41017849806233303,-0.02467437402458303,46.404860747451934,-2.1699667223271737,0.0578733559,0.057124124,0.0558825807,0.0541594261,0.0519695108,0.228231,0.0,0.0,0.052089389361,-0.202312,-0.006555,4.296802500000007e-05,0.040930145344,0.400891,-0.0307669999999999,0.0009466082889999,0.160713593881,0.0047874,-3.7520000000000095e-05,1.4077504000000066e-09,2.291919876e-05,-0.00182977,0.0,3.348058252900001e-06,0.0,-0.00220433,0.0,4.8590707489e-06,0.0,-0.8330409773724383,0.03719712552560808,1
18,2.2736491148889494e-07,2.1842325430644217e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360709832692923,-0.11580539762337203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38852670398782635,-0.04936448061252741,43.955313835478925,-4.996118780640062,0.0578439373,0.0570069865,0.0556210272,0.0536994071,0.0512606323,0.227983,-0.0002479999999999,6.150399999999912e-08,0.0519762482889999,-0.242327,-0.040015,0.0016012002249999,0.058722374929,0.389699,-0.011192,0.000125260864,0.1518653106009999,0.00518845,0.00040105,1.608411025e-07,2.69200134025e-05,-0.00205887,-0.0002290999999999,4.2389456769e-06,5.2486809999999945e-08,-0.00200678,0.0001975499999999,4.0271659684000015e-06,3.9026002499999964e-08,-0.7890679135199168,0.0880219293601125,1
19,0.0004488428389339732,0.002049313332311829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9352745016764334,-0.173945603392495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35089625419326276,-0.06982423719928868,39.68369992021857,-7.433300196280541,0.0578128896999999,0.0568834274,0.0553453766,0.0532151928,0.0505156664,0.228174,0.0001909999999999,3.648099999999875e-08,0.052063374276,-0.267787,-0.02546,0.0006482116,0.071709877369,0.388479,-0.0012199999999999,1.4883999999998615e-06,0.150915933441,0.00508589,-0.0001025599999999,1.0518553599999962e-08,2.58662770921e-05,-0.00229844,-0.00023957,5.2828264336e-06,5.739378490000008e-08,-0.00220433,-0.0001975499999999,4.8590707489e-06,3.9026002499999964e-08,-0.7127704134021077,0.130179151749821,1
