,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.067086367197618,-3.3245489085492954,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.00894026,0.00351465,7.99282488676e-05,1.23527646225e-05,-0.0259225,-0.0871205999999999,0.00067197600625,0.0075899989443599,0.000780718,-0.063578082,0.0040421725107987,6.09520595524e-07,-0.000191965,0.000183901,3.3819577801e-08,3.6850561225e-08,0.000153205,0.000153205,2.3471772025e-08,2.3471772025e-08,-0.000232017,9.2068e-05,5.3831888289e-08,8.476516623999999e-09,0.17468160531222127,0.04806152216353903,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.169205026831772,-2.852583189842932,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0169081999999999,0.0079679399999999,0.0002858872272399,6.348806784359997e-05,-0.00596307,0.01995943,3.55582038249e-05,0.0003983788459249,0.0513636999999999,0.0505829819999999,0.0025586380680123,0.0026382296776899,-0.000383775,-0.00019181,3.67910761e-08,1.47283250625e-07,9.543060000000001e-24,-0.000153205,2.3471772025e-08,9.106999416360003e-47,-0.000312243,-8.022599999999997e-05,9.7495691049e-08,6.436211075999996e-09,0.20511160729015077,0.0412182184698717,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.922819031430674,-2.3162106355684284,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.0168209,-8.729999999999849e-05,0.00028294267681,7.621289999999736e-09,0.0638977,0.06986077,0.00408291606529,0.0048805271849929,0.0823871,0.0310234,0.00096245134756,0.00678763424641,-0.00033938,4.439499999999997e-05,1.970916024999997e-09,1.1517878440000003e-07,1.78708e-23,8.327739999999997e-24,6.935125350759994e-47,3.1936549264e-46,-0.000329658,-1.7415000000000063e-05,1.0867439696400001e-07,3.0328222500000217e-10,0.23049670026951485,0.03344442446681136,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.31395208438051,-1.7886195639547178,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.0128404,-0.0039805,0.00016487587216,1.5844380249999998e-05,-0.00934623,-0.07324393,8.73520152129e-05,0.0053646732818449,0.00788989,-0.07449721,0.0055498342977841,6.22503642121e-05,-0.000305436,3.3944000000000046e-05,1.1521951360000032e-09,9.329115009599997e-08,9.99383e-05,9.99383e-05,9.98766380689e-09,9.98766380689e-09,-0.000231723,9.793500000000004e-05,5.3695548729e-08,9.591264225000008e-09,0.2506345651606405,0.025799679313070836,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.366207974473237,-1.312061188283235,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.0121142,-0.0007261999999999,0.00014675384164,5.273664399999996e-07,-0.0312525,-0.02190627,0.0009767187562499,0.0004798846653128,0.0106077,0.00271781,7.386491196100006e-06,0.00011252329929,-0.0001668029999999,0.000138633,1.9219108688999995e-08,2.7823240809e-08,6.84744e-05,-3.14639e-05,9.899770032099999e-10,4.68874345536e-09,-0.000291,-5.927700000000002e-05,8.468100000000004e-08,3.5137627290000024e-09,0.2658668874037541,0.01889548056478293,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1448402263668576e-06,2.624720448786744e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.10923562993329,-0.850888487814855,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.011689,-0.0004252,0.000136632721,1.807950400000005e-07,0.0577476,0.0890001,0.00333478530576,0.00792101780001,0.069168,0.0585603,0.00342930873609,0.004784212224,-0.000305067,-0.000138264,1.9116933696000008e-08,9.3065874489e-08,-0.000111648,-0.0001801224,3.244407898176001e-08,1.2465275904000012e-08,-0.000263217,2.7783000000000032e-05,6.9283189089e-08,7.718950890000013e-10,0.27661999557366573,0.012191732801748477,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009197758938466487,0.003705249931045793,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.480153834046387,-0.22050204380958674,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.00634774,-0.00534126,4.02938031076e-05,2.85290583876e-05,0.0437493,-0.0139982999999999,0.00191400125049,0.0001959524028899,0.028304,-0.0408639999999999,0.0016698664959999,0.000801116416,-0.000228437,7.663e-05,5.872156900000001e-09,5.2183462969000014e-08,-5.4901e-05,5.674700000000005e-05,3.220222009000006e-09,3.014119801e-09,-0.000122752,0.000140465,1.5068053504000002e-08,1.9730416225e-08,0.28115413901405556,-0.0002878342010614347,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010430646808373207,0.024995152775844045,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.37572893526614,0.4924758907046002,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.00356469,-0.00278305,1.27070147961e-05,7.7453673025e-06,-0.0179574,-0.0617067,0.00032246821476,0.00380771682489,-0.014881,-0.043185,0.0018649442249999,0.0002214441609999,0.0,0.000228437,5.2183462969000014e-08,0.0,6.814729999999999e-05,0.0001230483,1.5140884132890002e-08,4.644054497289998e-09,-7.32939e-05,4.9458100000000014e-05,5.37199577721e-09,2.44610365561e-09,0.27097632654154163,-0.03000673111085515,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04363763615222554,0.0691468838422151,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.844973880610656,1.0218136758245207,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.00310205,-0.00046264,9.6227142025e-06,2.1403576960000027e-07,0.0209286,0.038886,0.00043800629796,0.001512120996,0.0231941,0.0380751,0.00144971324001,0.0005379662748099,0.0,0.0,0.0,0.0,-0.0,-6.814729999999999e-05,4.644054497289998e-09,0.0,-0.000145442,-7.214810000000001e-05,2.1153375364e-08,5.205348333609999e-09,0.23303544537069246,-0.07789492884721384,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11214241771366652,0.12408334859193462,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.07193691597704,1.2431608721693885,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,0.00248604,-0.0006160099999999,6.180394881600001e-06,3.794683200999997e-07,0.0510842,0.0301556,0.00260959548964,0.0009093602113599,0.0413444,0.0181503,0.00032943339009,0.00170935941136,0.0,0.0,0.0,0.0,6.47355e-05,6.47355e-05,4.190684960250001e-09,4.190684960250001e-09,-7.93858e-05,6.605619999999999e-05,6.30210524164e-09,4.363421558439999e-09,0.15942447354922137,-0.13114813690194527,1
