,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25843933216319126,0.07080742963414124,3.0495841195256546,0.8320120398652793,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.00893492,-0.00482128,7.983279540640001e-05,2.324474083840001e-05,0.00461907,0.01282535,0.0001644896026224,2.13358076649e-05,-0.028052,0.0048254,0.0007869147039999,2.328448516000004e-05,-0.000266156,-7.941899999999998e-05,7.083901633599999e-08,6.307377560999997e-09,-0.000421484,-3.675000000000022e-06,1.3505625000000155e-11,1.7764876225600005e-07,-0.000415147,-1.4643999999999969e-05,2.1444673599999888e-10,1.72347031609e-07,1.148590538577274,0.31534177336780306,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30315409365364804,0.06069777703480803,3.577218305113045,0.7121098705234126,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0121905,0.00325558,0.00014860829025,1.0598801136400028e-05,0.0242845,0.01966543,0.0003867291370849,0.0005897369402499,-0.0268127,0.0012392999999999,0.00071892088129,1.5358644899999885e-06,-0.000267063,-9.070000000000236e-07,7.1322645969e-08,8.22649000000043e-13,-0.000200731,0.000220753,4.8731887009000026e-08,4.0292934360999984e-08,-0.000386191,2.895600000000001e-05,8.384499360000007e-10,1.49143488481e-07,1.3473178435613606,0.27052356126799953,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404159991548957,0.04925046247514921,4.016908790027766,0.5765246735447099,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.0100699,-0.0021206,0.00010140288601,4.496944360000023e-06,-0.00271233,-0.02699683,0.0007288288300489,7.356734028900002e-06,-0.0179335,0.0088792,0.00032161042225,7.884019264e-05,-0.000127031,0.000140032,1.6136874961e-08,1.9608961024e-08,-0.000106034,9.469699999999998e-05,8.967521808999996e-09,1.1243209156e-08,-0.000502586,-0.000116395,1.3547796024999997e-08,2.52592687396e-07,1.5129221722440718,0.2197415902112945,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36994729980100716,0.0380134123448959,4.3653781376518825,0.44352575863135024,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.00648057,-0.00358933,4.19977875249e-05,1.28832898489e-05,-0.00960126,-0.00688893,4.74573565449e-05,9.21841935876e-05,-0.0301913,-0.0122578,0.00091151459569,0.0001502536608399,-0.000213838,-8.680700000000001e-05,4.5726690244e-08,7.535455249e-09,-0.00024463,-0.000138596,1.9208851216000008e-08,5.984383690000001e-08,-0.000502586,0.0,0.0,2.52592687396e-07,1.6441691160822733,0.16987466253363503,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922631515052865,0.02787498322320819,4.628705187762377,0.3235887255929,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.00956583,0.00308526,9.150510358890004e-05,9.518829267600007e-06,0.0201574,0.02975866,0.0008855778449956,0.00040632077476,-0.0283201,0.0018712,0.0008020280640099,3.501389440000013e-06,-0.000207906,5.931999999999998e-06,4.3224904836e-08,3.518862399999996e-11,-9.35438e-05,0.0001510862,2.2827039830440008e-08,8.750442518440001e-09,-0.000502586,0.0,0.0,2.52592687396e-07,1.743348199673325,0.12487222656628594,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40798048645103313,0.017993448344250332,4.814169740122189,0.20677280627403377,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.00620727,-0.00335856,3.85302008529e-05,1.1279925273600004e-05,0.0284606,0.0083031999999999,6.894313023999994e-05,0.00081000575236,-0.0270414,0.0012786999999999,0.00073123731396,1.6350736899999929e-06,-0.00031433,-0.0001064239999999,9.88033489e-08,1.1326067775999996e-08,0.000166623,0.0002601668,6.768676382223999e-08,2.7763224129e-08,-0.000398964,0.0001036219999999,1.0737518883999985e-08,1.59172273296e-07,1.8132012752838718,0.08099491951982381,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4154031381131475,0.0032561444117427964,4.901757029735138,0.03277164725420084,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.0064124,0.0002051299999999,4.111887376e-05,4.207831689999981e-08,-0.00284758,-0.03130818,0.0009802021349124,8.108711856400001e-06,-0.0220534,0.0049879999999999,0.0004863524515599,2.4880143999999996e-05,-0.000337044,-2.271400000000001e-05,1.13598657936e-07,5.159257960000005e-10,-7.742139999999998e-06,-0.0001743651399999,3.04032020472196e-08,5.994073177959996e-11,-0.000332432,6.653200000000006e-05,4.4265070240000074e-09,1.10511034624e-07,1.8461900134875286,0.015516095765620009,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1193205695899653e-05,0.0001477709711908466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4098999997031296,-0.018792489541263033,4.838023770580454,-0.21893479526373452,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.0086625699999999,0.0022501699999999,7.504011900489997e-05,5.063265028899993e-06,0.00283834,0.00568592,3.2329686246400005e-05,8.0561739556e-06,-0.00918266,0.01287074,8.43212446756e-05,0.0001656559481476,-8.476309999999998e-05,0.0002522809,7.1847831216099966e-09,6.364565250481e-08,-0.000234005,-0.00022626286,5.11948818153796e-08,5.4758340025e-08,-0.000273303,5.9129e-05,3.496238641e-09,7.469452980899997e-08,1.821791201866192,-0.08207799049033561,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018037989749765657,0.006394301576081609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38679323523121123,-0.047726701672320015,4.666615957506959,-0.20530969237878618,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.0082936999999999,-0.00036887,6.878545968999996e-05,1.3606507690000025e-07,0.0323587999999999,0.0295204599999999,0.0008714575586115,0.0010470919374399,0.00689089,0.01607355,4.74843649921e-05,0.0002583590096024,6.73e-05,0.0001520630999999,4.529289999999999e-09,2.312318638161e-08,-0.000142565,9.144e-05,8.3612736e-09,2.0324779225e-08,-0.000232961,4.034199999999999e-05,1.6274769639999987e-09,5.4270827521e-08,1.7240571184459004,-0.19334331450272474,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015162340681019182,0.032954167456220304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34035464528178533,-0.08603054807031557,4.877405765006952,0.8514239873782723,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,0.0019087,-0.0063849999999999,3.64313569e-06,4.076822499999997e-05,0.0152685,-0.0170902999999999,0.0002920783540899,0.00023312709225,0.00494383,-0.00194706,2.44414550689e-05,3.7910426436000017e-06,3.0639e-05,-3.666099999999999e-05,9.387483210000002e-10,1.3440289209999992e-09,4.47479e-05,0.0001873129,3.508612250640998e-08,2.0023745544100003e-09,-0.000168269,6.469199999999997e-05,4.185054863999995e-09,2.8314456361000007e-08,1.5548385345640223,-0.28975389067109764,1
