,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.000999002,-0.004246108,1.8029433147664e-05,9.980049960039998e-07,-0.0649452,-0.0025178999999999,6.339820409999948e-06,0.00421787900304,-0.0314742,0.0039531,0.00099062526564,1.5626999610000005e-05,-8.432859999999997e-05,-0.0002162736,7.1113127779599955e-09,4.677427005696e-08,-0.000247749,0.0003654579999999,6.1379567001e-08,1.3355954976399994e-07,5.12357e-05,0.0,0.0,2.6250969544899995e-09,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.000616694,-0.0003823079999999,1.4615940686399994e-07,3.8031148963600003e-07,-0.0344292,0.0305159999999999,0.0009312262559999,0.00118536981264,0.00257427,0.03404847,6.6268660329e-06,0.0011592983093409,-0.000252897,-0.0001685684,6.395689260900001e-08,2.841530547856001e-08,-0.000255276,-7.526999999999957e-06,6.516583617599999e-08,5.6655728999999345e-11,5.12357e-05,0.0,0.0,2.6250969544899995e-09,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.00536819,0.004751496,2.2576714238016e-05,2.881746387610001e-05,-0.0158447,0.0185845,0.00034538364025,0.00025105451809,0.0280621,0.02548783,0.00078748145641,0.0006496294781089,7.70618e-05,0.0003299588,5.93852101924e-09,1.0887280969744005e-07,-0.0,0.000255276,0.0,6.516583617599999e-08,-0.000192658,-0.0002438937,5.9484136899689983e-08,3.711710496399999e-08,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,-0.00149463,-0.00686282,4.709829835240001e-05,2.2339188369e-06,-0.0442202,-0.0283754999999999,0.00080516900025,0.00195542608804,-0.0237874,-0.0518495,0.00056584039876,0.00268837065025,-0.000297774,-0.0003748358,8.8669355076e-08,1.4050187696164002e-07,5.31229e-25,5.31229e-25,2.8220425044099998e-49,2.8220425044099998e-49,5.12357e-05,0.0002438937,5.9484136899689983e-08,2.6250969544899995e-09,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.00584472,0.00733935,5.3866058422500015e-05,3.416075187840001e-05,-0.0644777,-0.0202575,0.0004103663062499,0.00415737379729,-0.00995014,0.01383726,9.90052860196e-05,0.0001914697643076,1.01545e-05,0.0003079284999999,1.0311387025000002e-10,9.481996111225e-08,0.000290808,0.000290808,8.456929286399999e-08,8.456929286399999e-08,5.12357e-05,0.0,0.0,2.6250969544899995e-09,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.00565804,-0.00018668,3.4849422400000264e-08,3.20134166416e-05,-0.0240375,0.0404402,0.0016354097760399,0.00057780140625,-0.0018036,0.00814654,3.2529729599999998e-06,6.636611397160001e-05,-7.1055e-05,-8.120950000000001e-05,5.0488130250000014e-09,6.594982890250001e-09,-0.0,-0.000290808,0.0,8.456929286399999e-08,5.12357e-05,0.0,0.0,2.6250969544899995e-09,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-0.00373019,-0.00938823,8.813886253289998e-05,1.39143174361e-05,0.0109845,0.035022,0.0012265404839999,0.00012065924025,0.0216265,0.0234301,0.00046770550225,0.0005489695860099,-0.000166594,-9.553900000000002e-05,2.775356083600001e-08,9.127700521000004e-09,-0.0,0.0,0.0,0.0,-0.000111632,-0.0001628677,2.652588770329e-08,1.2461703424e-08,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-0.000581202,0.0031489879999999,9.916125424144e-06,3.37795764804e-07,-0.0207339,-0.0317184,0.00100605689856,0.00042989460921,0.00474057,-0.01688593,2.2473003924900006e-05,0.0002851346319649,-0.0001951,-2.850599999999995e-05,3.806400999999999e-08,8.12592035999997e-10,-0.0,0.0,0.0,0.0,0.00010157,0.000213202,4.5455092804e-08,1.03164649e-08,1
18,2.2734512061949492e-07,2.1840475742302784e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.00565804,0.006239242,3.8928140734564e-05,3.20134166416e-05,-0.0439823,-0.0232484,0.00054048810256,0.00193444271329,-0.0250992,-0.02983977,0.00062996984064,0.0008904118736529,-0.000292605,-9.7505e-05,8.561768602499997e-08,9.507225025e-09,-0.0,0.0,0.0,0.0,5.12357e-05,-5.033430000000001e-05,2.5335417564900004e-09,2.6250969544899995e-09,1
19,0.0004488331295599553,0.0020492762821994926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,0.00565804,0.0,0.0,3.20134166416e-05,-0.0335109,0.0104714,0.0001096502179599,0.00112298041881,-0.0332305,-0.0081313,0.00110426613025,6.611803969000002e-05,-0.000185189,0.0001074159999999,3.429496572100001e-08,1.153819705599999e-08,-1.6543599999999996e-24,-1.6543599999999996e-24,2.7369070095999983e-48,2.7369070095999983e-48,5.12357e-05,0.0,0.0,2.6250969544899995e-09,1
