,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q39,Q39_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,non_steady_state_outlier00,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.238103112062365,7.998543082643871,0.0576158601999999,0.0574026929,0.0570479979,0.0565526499,0.0559178702,0.0,0.00020942,-0.0022874,5.232198759999999e-06,4.38567364e-08,-0.0684843,-0.0809027,0.00469009934649,0.00654524686729,-0.0142662999999999,-0.0605829,0.0002035273156899,0.00367028777241,-0.00109062,0.0001198499999999,1.1894519844000002e-06,1.4364022499999981e-08,-0.00017979,0.00017773,3.15879529e-08,3.23244441e-08,0.00016,7.758750000000001e-05,6.0198201562500006e-09,2.5600000000000004e-08,2.387568576916244,0.653900740815966,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.29683312868271,6.8527043818309386,0.0576001048,0.0573397574,0.0569067165,0.0563022862,0.0555282869,0.0,0.0105958,0.01038638,0.0001078768895044,0.00011227097764,-0.0433328,0.0251515,0.00187773155584,0.00063259795225,0.0884853999999999,0.1027517,0.0078296660131599,0.0105579118528899,-0.000769141,0.0003214789999999,5.91577877881e-07,1.0334874744099996e-07,-0.000172702,7.088000000000011e-06,5.023974400000016e-11,2.9825980804e-08,9.16117e-05,-6.838830000000003e-05,4.676959576890002e-09,8.392703576889999e-09,2.800661888082619,0.5604608276018754,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.512396704390525,5.555881543726971,0.0575827754999999,0.057270555,0.0567514408,0.0560273083999999,0.0551007737,0.0,0.0164555999999999,0.0058597999999999,3.433725603999996e-05,0.0002707867713599,0.065283,0.1086158,0.004261870089,0.01179739200964,0.1454619999999999,0.0569765999999999,0.0211591934439999,0.0032463329475599,-0.000867655,-9.851399999999996e-05,7.528251990250002e-07,9.705008195999992e-09,-0.000300955,-0.000128253,1.6448832009e-08,9.0573912025e-08,-7.44083e-05,-0.00016602,2.7562640400000005e-08,5.5365951088900006e-09,3.1449026580387347,0.4546701772845969,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.85337118415394,4.283209684874816,0.0575638727,0.0571950929999999,0.0565822092,0.055727837,0.0546356228,0.0,0.0161249,-0.0003306999999999,1.0936248999999755e-07,0.00026001240001,0.0586636,-0.0066194,0.0034414179649599,4.381645636000015e-05,0.0937335,-0.0517284999999999,0.00878596902225,0.0026758377122499,-0.00127173,-0.000404075,1.6172971929000017e-06,1.632766056250005e-07,-5.26294e-05,0.0002483256,6.166560361535999e-08,2.7698537443599995e-09,0.000150977,0.0002253852999999,5.079853345609e-08,2.2794054529e-08,3.4177249288129063,0.35082943472302375,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.378037873631406,3.1351673522582124,0.0575433971,0.0571133798,0.0563990630999999,0.0554040028,0.0541331519,0.0,0.00660343,-0.00952147,9.065839096090002e-05,4.36052877649e-05,-0.0199873,-0.0786509,0.00039949216129,0.00618596407081,0.00993007,-0.08380343,9.860629020489996e-05,0.0070230148797649,-0.00172539,-0.0004536599999999,2.9769706521e-06,2.0580739559999946e-07,-0.000303853,-0.0002512236,6.311329719696e-08,9.2326645609e-08,0.00014361,-7.367000000000012e-06,5.4272689000000166e-11,2.06238321e-08,3.6238879220782505,0.25714510941151125,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15619236716022,2.0164982172322485,0.0575213492,0.0570254244,0.0562020476999999,0.0550559473,0.0535937042,0.0,0.00656884,-3.459000000000014e-05,1.1964681000000094e-09,4.314965894560001e-05,-0.06702,-0.0470327,0.0044916804,0.00221207486929,-0.00371707,-0.01364714,1.3816609384899996e-05,0.0001862444301796,-0.00160779,0.0001176,2.5849886841e-06,1.3829760000000008e-08,-5.548020000000001e-05,0.0002483728,6.168904777983997e-08,3.078052592040001e-09,8.88049e-05,-5.48051e-05,3.0035989860099993e-09,7.886310264009998e-09,3.7690911104444718,0.16584039371901252,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99594169186742,0.34886929837651387,0.0574977295,0.0569312362,0.0559912114,0.0546838228,0.0530176480999999,0.0,0.0157177,0.00914886,8.370163929960004e-05,0.0002470460932899,0.0308793,0.0978993,0.00095353116849,0.00958427294049,0.124495,0.12821207,0.015499005025,0.0164383348936849,-0.00103505,0.00057274,1.0713285025e-06,3.280311076e-07,-0.000298215,-0.0002427348,5.892018313104e-08,8.8932186225e-08,9.14952e-05,2.6903000000000105e-06,7.237714090000056e-12,8.371371623040001e-09,3.8376646116895095,0.029684029953922227,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.37485183600015,-2.134858973068228,0.0574725387,0.0568308255999999,0.0557666061,0.0542877919,0.0524053772,0.0,0.0119049,-0.0038128,1.4537443840000012e-05,0.0001417266440099,0.0940943,0.063215,0.0088537372924899,0.003996136225,0.122731,-0.001764,0.015062898361,3.1116960000000547e-06,-0.00123204,-0.00019699,1.5179225616e-06,3.880506009999999e-08,-0.000240943,5.7272e-05,3.280081984e-09,5.8053529249e-08,0.000128474,3.69788e-05,1.36743164944e-09,1.6505568676000002e-08,3.786946731065498,-0.173151753044826,1
18,3.150917387430359e-07,2.9939093608016425e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.88675491651138,-4.965476904034896,0.0574457775,0.0567242037,0.0555282869,0.0538680276999999,0.0517573097,0.0,0.00366031,-0.00824459,6.797326426809999e-05,1.33978692961e-05,0.0259192,-0.0681750999999999,0.00067180492864,0.00464784426001,0.0208973,-0.1018337,0.0004366971472899,0.01037010245569,-0.00140108,-0.00016904,1.9630251664000004e-06,2.8574521600000026e-08,-0.000507044,-0.000266101,7.080974220100003e-08,2.57093617936e-07,0.000215525,8.705099999999999e-05,7.577876600999999e-09,4.6451025625e-08,3.583769713170742,-0.4043646515636566,1
19,0.00048482030317172065,0.002185104820682696,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.58261362686027,-7.395926951873169,0.0574174467,0.0566113819,0.0552763124,0.0534247137999999,0.0510738883,0.0,0.00022203,-0.00343828,1.18217693584e-05,4.929732089999999e-08,-0.0576851,-0.0836043,0.00332757076201,0.00698967897849,-0.0400248,-0.0609221,0.00160198461504,0.00371150226841,-0.00152928,-0.0001281999999999,2.3386973184000003e-06,1.6435239999999992e-08,-0.000385732,0.000121312,1.4716601344000012e-08,1.4878917582399997e-07,0.000252399,3.6874e-05,1.359691876e-09,6.370525520099999e-08,3.231844610346971,-0.6049753842277996,1
