,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25843933216319126,0.0708399382867383,3.0495841195256546,0.8320120715547508,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.0133752,-0.00505225,2.55252300625e-05,0.0001788959750399,0.0415806,0.03251311,0.001057102321872,0.0017289462963599,0.0953549,0.0507748,0.00909255695401,0.00257808031504,0.000268604,0.000110495,1.2209145025000009e-08,7.214810881600004e-08,0.000188462,-7.732899999999998e-05,3.5517925444e-08,5.9797742409999974e-09,0.000263023,0.0001031049999999,6.9181098529e-08,1.0630641024999996e-08,1.4656094526974552,0.40118119625614357,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30315409365364804,0.06073591028268278,3.577218305113045,0.7121099076957459,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-0.0132497,0.0001254999999999,1.5750249999999718e-08,0.00017555455009,0.0137379,-0.0278427,0.0007752159432899,0.00018872989641,0.0478782,-0.0474767,0.00229232203524,0.00225403704289,0.000318687,5.008299999999997e-05,2.508306888999997e-09,1.0156140396900001e-07,0.000375238,0.000186776,1.4080355664400002e-07,3.4885274176000005e-08,0.000196636,-6.6387e-05,3.8665716496e-08,4.407233769e-09,1.7191868651098356,0.3437857310610419,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404159991548957,0.04929328283597579,4.016908790027766,0.5765247152860463,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-0.00863653,0.00461317,2.128133744890001e-05,7.45896504409e-05,-0.0150352999999999,-0.0287732,0.0008278970382399,0.0002260602460899,-0.0204281,-0.0683062999999999,0.0004173072696099,0.0046657506196899,0.000318687,0.0,0.0,1.0156140396900001e-07,0.000265792,-0.000109446,7.0645387264e-08,1.1978426916000004e-08,5.71022e-05,-0.0001395337999999,3.26066124484e-09,1.946968134244e-08,1.9304991312074107,0.27881498966941964,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36994729980100716,0.0380599473987818,4.3653781376518825,0.4435258039937736,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.000102429,0.008738959,7.636940440368101e-05,1.0491700041e-08,-0.0127596,0.0022756999999999,5.1788104899999865e-06,0.00016280739216,-0.00658041,0.0138476899999999,4.33017957681e-05,0.000191758518336,0.00107627,0.000757583,5.73932001889e-07,1.1583571129e-06,-0.000461395,-0.000727187,2.12885346025e-07,5.28800932969e-07,-0.000123033,-0.0001801351999999,1.5137119088999995e-08,3.2448690279039985e-08,2.097971137171509,0.2150476578504662,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922631515052865,0.027924325350864133,4.628705187762377,0.32358877369166206,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-0.00410782,-0.004210249,1.7726196642001e-05,1.6874185152399998e-05,-0.0239007,-0.0111411,0.00012412410921,0.00057124346049,-0.0308494,-0.02426899,0.00095168548036,0.0005889838756201,-6.46291e-05,-0.0011408991,1.3016507563808098e-06,4.17692056681e-09,2.72552e-05,0.0004886501999999,7.4284592704e-10,2.387790179600401e-07,-4.98988e-05,7.313419999999998e-05,2.48989024144e-09,5.348611209639997e-09,2.2245243321864767,0.15752087274152848,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40798048645103313,0.018044767529257513,4.814169740122189,0.20677285630003361,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-7.431269999999997e-05,0.0040335073,1.626918113915329e-05,5.522377381289994e-09,0.0230722,0.0469729,0.00220645333441,0.00053232641284,0.0464592,0.0773086,0.00215845726464,0.00597661963396,-6.45514e-05,7.770000000000098e-08,6.037290000000151e-15,4.16688324196e-09,0.000125575,9.83198e-05,1.5769080625000002e-08,9.666783072040002e-09,0.000183473,0.0002333718,3.3662341729000005e-08,5.446239703524e-08,2.313657338663806,0.10146032401150212,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4154031381131475,0.0033083972797238997,4.901757029735138,0.032771698190355934,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,6.58641e-05,0.0001401767999999,1.964953525823999e-08,4.3380796688100006e-09,0.0384434,0.0153712,0.00023627378944,0.00147789500356,0.0548812,0.0084219999999999,0.00301194611344,7.093008399999998e-05,0.00015552,0.0002200714,4.843142109795999e-08,2.41864704e-08,4.76746e-05,-7.79004e-05,2.27286748516e-09,6.06847232016e-09,0.000183473,0.0,3.3662341729000005e-08,0.0,2.3557511962396562,0.017874511607955657,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8287926981265893e-05,0.0001295985442783145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40990181550232635,-0.018729570043778832,4.837880177179984,-0.21983282004843985,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-0.00561212,-0.0056779841,3.223950343985281e-05,3.14958908944e-05,0.00586127,-0.03258213,0.0010615951953369,3.43544860129e-05,-0.0165425,-0.0714236999999999,0.00027365430625,0.00510134492169,2.67117e-05,-0.0001288083,1.659157814889e-08,7.1351491689e-10,1.27699e-05,-3.49047e-05,1.6307034601e-10,1.21833808209e-09,-7.48227e-06,-0.0001909552699999,5.59843643529e-11,3.64639151407729e-08,2.3246326595950713,-0.10652790508839027,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017038541085797108,0.006108268014596345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3868557007727093,-0.04749923904987183,4.661676182485294,-0.21944350773887628,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.000124012,0.005736132,3.290321032142399e-05,1.5378976144000002e-08,-0.0335895,-0.03945077,0.0015563632535929,0.00112825451025,-0.049371,-0.0328285,0.002437495641,0.0010777104122499,-6.741140000000001e-05,-9.41231e-05,8.859157953610003e-09,4.544296849960001e-09,-0.000192796,-0.0002055659,3.717029761599999e-08,4.225733924280999e-08,0.000183473,0.0001909552699999,3.3662341729000005e-08,3.64639151407729e-08,2.201262189655671,-0.24365156467699758,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014679605196449624,0.03218351541738763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3406563549596413,-0.08550589667518865,4.853546563682103,0.8133507359512497,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.00326328,-0.003387292,1.1473747093264e-05,1.06489963584e-05,-0.0452873,-0.0116978,0.00013683852484,0.00205093954129,-0.0494198,-4.880000000000856e-05,0.00244231663204,2.3814400000008355e-09,-0.000143292,-7.588059999999999e-05,5.7578654563599985e-09,2.0532597264e-08,-0.000188252,4.543999999999988e-06,3.5438815504000004e-08,2.0647935999999905e-11,-0.000107405,-0.000290878,1.1535834025000002e-08,8.4610010884e-08,1.995647352119789,-0.3457748962618943,1
