,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.490533138918583,-3.688425244900082,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,7.13589e-05,8.68641e-05,7.545371868809999e-09,5.09209260921e-09,0.0168717,-0.0067972,0.00028465426089,4.620192784000004e-05,-0.0153346,-0.03785,0.0014326225,0.00023514995716,0.000359552,1.2932999999999964e-05,1.2927764070399994e-07,1.6726248899999908e-10,-0.0,0.0,0.0,0.0,0.000230407,0.0002861244,8.186717227536002e-08,5.3087385649000004e-08,0.058625968503787276,0.01606952174863573,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.824643688720434,-3.1593652303809487,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0,-7.13589e-05,5.09209260921e-09,0.0,6.810550000000001e-05,-0.0168035944999999,4.638359130250001e-09,0.0002823607881204,-0.0240526,-0.0087179999999999,7.600352399999994e-05,0.0005785275667599,0.000226929,-0.0001326229999999,5.149677104100001e-08,1.7588860128999992e-08,-0.0,0.0,0.0,0.0,0.0,-0.000230407,5.3087385649000004e-08,0.0,0.0687693401680453,0.013777419331296928,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.769715155885557,-2.5607019648305114,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,2.90254e-05,2.90254e-05,8.424738451599997e-10,8.424738451599997e-10,-0.00534236,-0.0054104655,2.85408103696e-05,2.927313692669025e-05,-0.0173583,0.0066942999999999,4.481365248999996e-05,0.00030131057889,0.0,-0.000226929,0.0,5.149677104100001e-08,-0.0,0.0,0.0,0.0,9.44366e-05,9.44366e-05,8.91827141956e-09,8.91827141956e-09,0.07722206011598197,0.011181667866939247,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.311249049612577,-1.9732455053745952,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.0,-2.90254e-05,8.424738451599997e-10,0.0,0.0161688,0.02151116,0.00026143009344,0.0004627300045456,0.000993934,0.018352234,0.0003368044927907,9.879047963559998e-07,0.000282124,0.000282124,7.959395137600004e-08,7.959395137600004e-08,-0.0,0.0,0.0,0.0,0.0,-9.44366e-05,8.91827141956e-09,0.0,0.08392112208562667,0.008633400842212403,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.47613650857596,-1.4433526717599183,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,4.90378e-05,4.90378e-05,2.4047058288400003e-09,2.4047058288400003e-09,0.0127342,-0.0034345999999999,0.00016215984964,1.1796477159999996e-05,-0.0188146,-0.019808534,0.0003923780192291,0.0003539891731599,0.000326625,4.450099999999996e-05,1.06683890625e-07,1.9803390009999963e-09,-0.0,0.0,0.0,0.0,6.34082e-05,6.34082e-05,4.02059982724e-09,4.02059982724e-09,0.08898338721454345,0.006334152740168002,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68516844729258e-06,7.327971682089934e-05,0.0,0.0,0.0,0.0,-21.296499795199765,-0.9264495180618205,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.0,-4.90378e-05,2.4047058288400003e-09,0.0,-7.95838e-06,-0.01274215838,6.333581222440001e-11,0.000162362600181,-0.0402342,-0.0214196,0.00045879926416,0.0016187908496399,0.000189581,-0.0001370439999999,3.5940955560999986e-08,1.8781057936000004e-08,-0.0,0.0,0.0,0.0,0.0,-6.34082e-05,4.02059982724e-09,0.0,0.09254457614073361,0.004061005347648226,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013455443161694233,0.005049332662871113,0.0,0.0,0.0,0.0,-21.672707598642575,-0.11501828041912951,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.0,0.0,0.0,0.0,-0.0100598999999999,-0.01005194162,0.0001012015880099,0.0001010415303318,-0.0168188,0.0234154,0.00054828095716,0.0002828720334399,0.0,-0.000189581,0.0,3.5940955560999986e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09364520754467442,-0.00145453287291592,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01285604750913149,0.02919334572452847,0.0,0.0,0.0,0.0,-21.289159212574766,1.2343390595987378,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,5.881090000000001e-06,5.881090000000001e-06,3.45872195881e-11,3.45872195881e-11,0.0187328,0.0287927,0.00035091779584,0.0008290195732899,0.0130939,0.0299127,0.0008947696212899,0.0001714502172099,0.000161697,0.000161697,2.6145919809000002e-08,2.6145919809000002e-08,-0.0,0.0,0.0,0.0,0.000110127,0.000110127,1.2127956129000005e-08,1.2127956129000005e-08,0.08737494266609347,-0.01697844329099533,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049871487389655994,0.07552240856929912,0.0,0.0,0.0,0.0,-19.82928853936999,2.9305195565253173,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.0,-5.881090000000001e-06,3.45872195881e-11,0.0,0.0159884,-0.0027444,0.00025562893456,7.5317313600000064e-06,-0.0020078,-0.0151017,0.00022806134289,4.03126084e-06,0.000404775,0.000243078,1.63842800625e-07,5.9086914084e-08,-0.0,0.0,0.0,0.0,0.0,-0.000110127,1.2127956129000005e-08,0.0,0.06622692786523657,-0.04289151759812032,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12288106174355576,0.13053602609761503,0.0,0.0,0.0,0.0,-17.225910903237992,4.525549795835391,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,2.52958e-06,2.52958e-06,6.398774976400001e-12,6.398774976400001e-12,5.1211e-06,-0.0159832788999999,2.622566521e-11,0.0002554652043951,-0.0221362,-0.0201284,0.0004051524865599,0.0004900113504399,0.000205428,-0.000199347,4.220066318399999e-08,3.9739226409000025e-08,-0.000101481,-0.000101481,1.0298393361000008e-08,1.0298393361000008e-08,3.3087200000000003e-24,3.3087200000000003e-24,1.0947628038399993e-47,1.0947628038399993e-47,0.025714181405507446,-0.07185036091821272,1
