,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574769495134627,0.07083543811207006,-12.067086367197618,-3.3245609402588845,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.1152,-0.005542,3.071376400000006e-05,0.01327104,-0.132013,0.0437559999999999,0.017427432169,0.0019145875359999,-0.248907,-0.178454,0.031845830116,0.061954694649,-0.00538997,-1.6180000000000187e-05,2.90517766009e-05,2.6179240000000607e-10,-0.00414369,0.00048926,1.7170166816100006e-05,2.3937534760000005e-07,-0.00222751,-0.0006456299999999,4.961800800099998e-06,4.168380968999999e-07,2.931401478103028,0.8069906577540733,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30233012148289706,0.060747471761255945,-14.169205026831772,-2.8525973175084514,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0992937,-0.0159062999999999,0.0002530103796899,0.00985923885969,-0.0599209,0.0720921,0.00359051425681,0.00519727088241,-0.101538,0.147369,0.021717622161,0.010309965444,-0.00164946,0.00374051,2.7207182916e-06,1.39914150601e-05,-0.00445603,-0.0003123399999999,1.98562033609e-05,9.755627559999967e-08,-0.00146256,0.0007649499999999,2.1390817536e-06,5.851485024999998e-07,3.442059441300368,0.6922290477295782,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33974720550705556,0.049288162162575595,-15.922819031430674,-2.3162265117069256,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.105632,0.0063382999999999,4.017404688999989e-05,0.0111581194239999,-0.041145,0.0187759,0.001692911025,0.00035253442081,-0.0647659999999999,0.036772,0.001352179984,0.004194634756,-0.0010504,0.0005990599999999,1.1033401600000003e-06,3.588728835999997e-07,-0.00431693,0.0001390999999999,1.86358846249e-05,1.93488099999999e-08,-0.00161984,-0.00015728,2.6238816256e-06,2.473699840000003e-08,3.868056780565056,0.5618394805370726,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694299875756865,0.03801925457189371,-17.31395208438051,-1.7886368271479176,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.12025,0.014618,0.000213685924,0.0144600625,-0.0300818,0.0110632,0.00090491469124,0.00012239439424,0.00469263,0.06945863,0.0048245012814768,2.20207763169e-05,-0.000906243,0.000144157,8.212763750489999e-07,2.0781240649000035e-08,-0.00390022,0.00041671,1.52117160484e-05,1.7364722410000024e-07,-0.00167043,-5.05900000000001e-05,2.7903363849000005e-06,2.559348100000009e-09,4.2059982988043245,0.43360198158609853,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3918821047184901,0.027842071144432386,-18.366207974473237,-1.3120795006474524,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.101552,-0.0186979999999999,0.0003496152039999,0.010312808704,-0.0304253,-0.0003435,0.00092569888009,1.1799225000000005e-07,-0.0115803,-0.01627293,0.0002648082507849,0.00013410334809,-0.000775703,0.00013054,6.017151442090001e-07,1.7040691600000014e-08,-0.00348674,0.0004134799999999,1.21573558276e-05,1.7096571039999993e-07,-0.00126995,0.00040048,1.6127730025e-06,1.6038423040000014e-07,4.461617955256387,0.31777921697616324,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1448402263668576e-06,2.624720448786744e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40773638117611594,0.017997439117180516,-19.10923562993329,-0.8509075410284122,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.0955019,-0.0060501,3.660371001000021e-05,0.0091206129036099,-0.0476559,-0.0172306,0.00227108480481,0.00029689357636,-0.0467553,-0.035175,0.0012372806249999,0.00218605807809,-0.000864568,-8.886500000000004e-05,7.474778266239999e-07,7.896988225000006e-09,-0.0033466,0.0001401399999999,1.119973156e-05,1.9639219599999992e-08,-0.00126995,0.0,1.6127730025e-06,0.0,4.642111047762935,0.2056501624753544,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009197758938466487,0.003705249931045793,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41570938467413776,0.004779195492380108,-19.480153834046387,-0.22052146685393617,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.0969418,0.0014399,2.0733120100000227e-06,0.00939771258724,-0.0541461,-0.0064902,0.00293180014521,4.212269604000002e-05,-0.0515504,-0.0047950999999999,2.299298400999997e-05,0.00265744374016,-0.000692631,0.0001719369999999,4.797377021610001e-07,2.9562331968999977e-08,-0.00359499,-0.00024839,1.29239531001e-05,6.169759210000013e-08,-0.00126995,0.0,1.6127730025e-06,0.0,4.730123971911516,0.04409529188706472,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010430646808373207,0.024995152775844045,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4140900613589884,-0.009070091562200969,-19.37572893526614,0.49245657177900964,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.10375,0.0068081999999999,4.635158724000001e-05,0.0107640625,-0.0476327,0.0065134,0.00226887410929,4.242437956000003e-05,7.653529999999999e-05,0.0516269353,0.0026653404484703,5.8576521460899985e-09,-0.0006435669999999,4.906400000000014e-05,4.141784834889999e-07,2.407276096000013e-09,-0.00334205,0.00025294,1.11692982025e-05,6.397864360000007e-08,-0.00126995,0.0,1.6127730025e-06,0.0,4.6830447430069535,-0.17770298290573486,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04363763615222554,0.0691468838422151,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40489089877099566,-0.017534182838423954,-18.844973880610656,1.0217948860979833,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.103534,-0.000216,4.665600000000339e-08,0.010719289156,-0.0352885,0.0123442,0.00124527823225,0.00015237927364,0.0225666,0.0224900647,0.0005058030102101,0.0005092514355599,-0.000710803,-6.723600000000002e-05,5.05240904809e-07,4.520679696000005e-09,-0.00343468,-9.26299999999998e-05,1.1797026702399996e-05,8.580316899999962e-09,-0.00151045,-0.0002405,2.2814592025e-06,5.784025000000003e-08,4.478304717313692,-0.4070627867463157,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11214241771366652,0.12408334859193462,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927815967806124,-0.01873447533445729,-18.07193691597704,1.2431428532135225,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,0.0443943,-0.0591396999999999,0.0034975041160899,0.00197085387249,-0.0171901,0.0180984,0.00029549953801,0.00032755208256,-0.00904344,-0.03161004,0.0009991946288016,8.17838070336e-05,-0.000996847,-0.0002860439999999,9.93703941409e-07,8.182116993599996e-08,-0.00185185,0.00158283,3.4293484225e-06,2.5053508089e-06,-0.000351933,0.001158517,1.2385683648900002e-07,1.342161639289e-06,4.134129149843299,-0.5862180514378211,1
