,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574769495134627,0.07082623848307529,-12.067086367197618,-3.326612159996932,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.0992267,0.0062973,0.0098459379928899,3.965598729000025e-05,-0.232956,-0.037025,0.054268497936,0.001370850625,0.260153,-0.0533469999999999,0.067679583409,0.0028459024089999,-0.0114275,-0.0003452999999999,0.00013058775625,1.1923208999999984e-07,0.000716638,-0.0002186719999999,4.7817443583999984e-08,5.135700230439999e-07,0.000937581,-0.000195129,3.8075326641000024e-08,8.79058131561e-07,-0.5235958817682892,-0.14424963059710033,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30233012148289706,0.06073666953233081,-14.169205026831772,-2.855005865200833,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-0.101479,-0.0022523,0.010297987441,5.072855290000057e-06,-0.23966,-0.0067039999999999,0.0574369155999999,4.494361599999984e-05,0.286494,0.026341,0.082078812036,0.000693848281,-0.0114808,-5.329999999999918e-05,0.0001318087686399,2.8408899999999132e-09,0.000506711,-0.000209927,4.406934532900002e-08,2.56756037521e-07,0.00101198,7.439900000000017e-05,5.535211201000025e-09,1.0241035204000004e-06,-0.6148076821714656,-0.12377015854526054,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33974720550705556,0.04927602302449515,-15.922819031430674,-2.3189331469035888,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-0.100016,0.001463,0.010003200256,2.140369000000017e-06,-0.228113,0.0115469999999999,0.052035540769,0.0001333332089999,0.287492,0.0009979999999999,0.082651650064,9.96003999999998e-07,-0.0107501,0.0007306999999999,0.00011556465001,5.339224899999987e-07,0.000111123,-0.0003955879999999,1.5648986574399995e-07,1.2348321129000012e-08,0.0008394019999999,-0.000172578,2.978316608400009e-08,7.04595717604e-07,-0.6908977210656194,-0.1004961605519379,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694299875756865,0.038006054870593595,-17.31395208438051,-1.7915799336425915,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,-0.0972166,0.0027993999999999,0.0094510673155599,7.836640359999965e-06,-0.242153,-0.0140399999999999,0.058638075409,0.0001971215999999,0.271446,-0.016046,0.073682930916,0.000257474116,-0.0114861,-0.000736,0.00013193049321,5.416960000000008e-07,0.0001449179999999,3.379499999999993e-05,1.142102024999995e-09,2.1001226723999995e-08,0.000960392,0.00012099,1.4638580100000018e-08,9.22352793664e-07,-0.751259561144621,-0.07760331264303104,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3918821047184901,0.027828069230941044,-18.366207974473237,-1.3152014745162013,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-0.104166,-0.0069494,0.010850555556,4.829416036000012e-05,-0.19904,0.0431129999999999,0.0396169216,0.0018587307689999,0.319334,0.0478879999999999,0.101974203556,0.0022932605439999,-0.0107166,0.0007695,0.00011484551556,5.921302500000015e-07,0.000228103,8.3185e-05,6.919744224999998e-09,5.2030978609e-08,0.00116648,0.0002060879999999,4.247226374399995e-08,1.3606755903999998e-06,-0.7969173805927906,-0.05692490480667639,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1448402263668576e-06,2.624720448786744e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40773638117611594,0.017982870731771336,-19.10923562993329,-0.8541558182106881,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-0.0945366,0.0096293999999999,0.00893716873956,9.272534435999992e-05,-0.183288,0.015752,0.033594490944,0.000248125504,0.330405,0.011071,0.109167464025,0.0001225670409999,-0.010785,-6.839999999999971e-05,0.0001163162249999,4.6785599999999616e-09,0.000275481,4.737800000000002e-05,2.244674884000002e-09,7.5889781361e-08,0.00120001,3.3530000000000155e-05,1.1242609000000096e-09,1.4400240001e-06,-0.8291592933412323,-0.036927831759783834,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009197758938466487,0.003705249931045793,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41570938467413776,0.004764342232249929,-19.480153834046387,-0.22383279444608956,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-0.0945438,-7.199999999984996e-06,0.00893853011844,5.1839999999783937e-11,-0.230828,-0.04754,0.053281565584,0.0022600516,0.270969,-0.0594359999999999,0.073424198961,0.0035326380959999,-0.0116492,-0.0008642,0.0001357038606399,7.468416400000012e-07,0.000273311,-2.170000000000015e-06,4.708900000000065e-12,7.469890272099999e-08,0.000978422,-0.000221588,4.9101241744e-08,9.57309610084e-07,-0.8457300388421822,-0.01148741076521936,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010430646808373207,0.024995152775844045,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4140900613589884,-0.009084886964050047,-19.37572893526614,0.48916299481919645,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-0.100726,-0.0061821999999999,0.010145727076,3.821959683999999e-05,-0.248911,-0.0180829999999999,0.061956685921,0.0003269948889999,0.267361,-0.0036079999999999,0.071481904321,1.3017664e-05,-0.0121246,-0.0004754,0.00014700592516,2.260051600000008e-07,0.0010894,0.0008160889999999,6.660012559209998e-07,1.1867923599999998e-06,0.000996742,1.831999999999984e-05,3.35622399999994e-10,9.93494614564e-07,-0.8461426044173035,0.008381349772669525,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04363763615222554,0.0691468838422151,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40489089877099566,-0.01754864955499448,-18.844973880610656,1.0185915293629244,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-0.102156,-0.00143,0.010435848336,2.0449000000000022e-06,-0.249774,-0.0008629999999999,0.0623870510759999,7.447689999999088e-07,0.252971,-0.01439,0.063994326841,0.0002070721,-0.0127276,-0.0006029999999999,0.00016199180176,3.6360899999999924e-07,0.000297657,-0.0007917429999999,6.268569780489999e-07,8.8599689649e-08,0.0007770449999999,-0.000219697,4.8266771809000064e-08,6.037989320249996e-07,-0.8403734076702397,0.008394913415638177,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11214241771366652,0.12408334859193462,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927815967806124,-0.018748509386721714,-18.07193691597704,1.2400709009146171,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.0983451,0.0038108999999999,0.00967175869401,1.4522958809999938e-05,-0.204552,0.0452219999999999,0.041841520704,0.0020450292839999,0.335746,0.0827749999999999,0.112725376516,0.0068517006249999,-0.00910549,0.00362211,8.290994814010003e-05,1.3119680852099998e-05,-0.000317093,-0.00061475,3.779175625000001e-07,1.00547970649e-07,0.00099643,0.000219385,4.81297782250001e-08,9.928727449e-07,-0.8424387509115774,-0.01056655422582813,1
