,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.490533138918583,-3.683378743767872,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.297768,-0.0040299999999999,1.6240899999999826e-05,0.0886657818239999,-0.093849,0.0089579999999999,0.008807634801,8.024576399999989e-05,0.0195413,0.0068874999999999,0.0003818624056899,4.7437656249999966e-05,0.000516925,0.0005402764,2.67211455625e-07,2.918985883969601e-07,0.00791824,6.544999999999988e-05,6.26985246976e-05,4.283702499999985e-09,0.00339622,5.548000000000011e-05,1.15343102884e-05,3.078030400000012e-09,-0.18396241795339477,-0.050483720167338535,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.824643688720434,-3.1534455916632194,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-0.289298,0.0084699999999999,7.174089999999962e-05,0.083693332804,-0.115175,-0.021326,0.013265280625,0.000454798276,0.00458457,-0.0149567299999999,2.1018282084899995e-05,0.0002237037722928,-0.000470362,-0.000987287,2.21240411044e-07,9.747356203689995e-07,0.0076454899999999,-0.00027275,5.8453517340099976e-05,7.43925625000007e-08,0.00333113,-6.509000000000029e-05,1.1096427076899997e-05,4.236708100000037e-09,-0.21579130240817893,-0.0433015698683201,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.769715155885557,-2.554054719185747,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-0.29288,-0.003582,1.2830724000000211e-05,0.0857786944,-0.120637,-0.0054619999999999,0.0145532857689999,2.9833443999999328e-05,0.0396066,0.03502203,0.0015686827635599,0.0012265425853208,0.000717996,0.001188358,5.155182560160001e-07,1.4121947361640004e-06,0.00773425,8.87600000000011e-05,5.98186230625e-05,7.878337600000195e-09,0.00340653,7.54000000000002e-05,1.16044466409e-05,5.685160000000031e-09,-0.24231509109074664,-0.03516489292208402,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.311249049612577,-1.966021607016411,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,-0.288937,0.003943,1.5547249000000234e-05,0.083484589969,-0.105857,0.01478,0.011205704449,0.0002184484,0.00283121,-0.03677539,8.0157500641e-06,0.001352429309652,-9.72778e-05,-0.0008152738,9.462970372840002e-09,6.646713689664401e-07,0.0077463999999999,1.2149999999998967e-05,6.000671295999998e-05,1.476224999999749e-10,0.00334177,-6.476000000000009e-05,1.11674267329e-05,4.19385760000001e-09,-0.26333607666091857,-0.027175447453599694,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.47613650857596,-1.4356930155395338,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-0.295098,-0.006161,3.795792100000034e-05,0.087082829604,-0.0728066,0.0330503999999999,0.00530080100356,0.0010923289401599,0.0250811,0.02224989,0.0006290615772099,0.000495057605012,0.000754241,0.0008515188,5.68879486081e-07,7.250842667534402e-07,0.00806221,0.00031581,6.49992300841e-05,9.973595610000093e-08,0.0033902,4.842999999999992e-05,1.1493456039999998e-05,2.3454648999999915e-09,-0.27922095766508526,-0.0199657464336605,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68516844729258e-06,7.327971682089934e-05,0.0,0.0,0.0,0.0,-21.296499795199765,-0.9184829826238291,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-0.292265,0.002833,8.02588900000017e-06,0.0854188302249999,-0.112469,-0.0396624,0.012649275961,0.00157310597376,-0.00634928,-0.03143038,4.03133565184e-05,0.0009878687869444,3.46463e-05,-0.0007195947,1.20036610369e-09,5.178165322680899e-07,0.00756431,-0.0004978999999999,5.72187857761e-05,2.479044099999999e-07,0.00344265,5.244999999999989e-05,1.18518390225e-05,2.751002499999989e-09,-0.2903959353376456,-0.012838879501425472,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013455443161694233,0.005049332662871113,0.0,0.0,0.0,0.0,-21.672707598642575,-0.10691101421190387,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-0.293226,-0.000961,9.235210000000868e-07,0.085981487076,-0.115569,-0.0031,0.013356193761,9.610000000000037e-06,0.00419901,0.01054829,1.7631684980100006e-05,0.0001112664219241,8.715429999999999e-07,-3.3774757e-05,7.595872008489998e-13,1.140734210409049e-09,0.00789017,0.0003258599999999,6.22547826289e-05,1.0618473959999993e-07,0.00349917,5.6520000000000015e-05,1.2244190688899997e-05,3.194510400000001e-09,-0.2938942213582981,0.004300985410833591,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01285604750913149,0.02919334572452847,0.0,0.0,0.0,0.0,-21.289159212574766,1.2423028490919878,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-0.287579,0.005647,3.188860900000077e-05,0.0827016812409999,-0.109537,0.006032,0.0119983543689999,3.638502400000011e-05,0.00105642,-0.00314259,1.1160232164e-06,9.875871908100003e-06,-0.000140799,-0.000141670543,1.9824358401e-08,2.0070542753914845e-08,0.0072295399999999,-0.00066063,5.226624861159998e-05,4.364319969000019e-07,0.00354769,4.852000000000025e-05,1.25861043361e-05,2.3541904000000242e-09,-0.27460318483556223,0.05221307684140921,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049871487389655994,0.07552240856929912,0.0,0.0,0.0,0.0,-19.82928853936999,2.937937241655653,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-0.295568,-0.007989,6.382412100000036e-05,0.087360442624,-0.0649362,0.0446008,0.00421671007044,0.00198923136064,0.00996473,0.00890831,9.92958439729e-05,7.935798705609999e-05,0.000443752,0.000584551,1.96915837504e-07,3.41699871601e-07,0.00768238,0.00045284,5.90189624644e-05,2.0506406560000117e-07,0.00339615,-0.0001515399999999,1.15338348225e-05,2.2964371599999976e-08,-0.20947907052858644,0.1319986218968241,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12288106174355576,0.13053602609761503,0.0,0.0,0.0,0.0,-17.225910903237992,4.53199361669713,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.295406,0.0001619999999999,2.624399999999853e-08,0.087264704836,-0.0770761999999999,-0.0121399999999999,0.0059407406064399,0.0001473795999999,-0.00924348,-0.01920821,8.54419225104e-05,0.0003689553314041,0.000405404,-3.834799999999995e-05,1.6435240321600001e-07,1.4705691039999964e-09,0.00777771,9.533000000000024e-05,6.049277284410001e-05,9.087808900000048e-09,0.00339565,-5.000000000000664e-07,1.15304389225e-05,2.500000000000664e-13,-0.08479249636053518,0.2210698774279902,1
