,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25843933216319126,0.0708131699780546,3.0495841195256546,0.8335116307423978,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.0110661,-0.00191041,3.649666368100005e-06,0.0001224585692099,0.0501252,-0.0155637,0.00251253567504,0.0002422287576899,0.0248077,-0.0355017,0.00126037070289,0.0006154219792899,-0.000396456,-0.000396456,1.57177359936e-07,1.57177359936e-07,6.681949999999999e-05,0.0002872515,8.251342425225002e-08,4.4648455802499985e-09,0.0,-6.94491e-05,4.82317749081e-09,0.0,1.4931763147948625,0.4089558278899545,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30315409365364804,0.060704510563879446,3.577218305113045,0.7138689182248555,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-0.00728188,0.00378422,1.4320321008400004e-05,5.30257763344e-05,0.0153434,-0.0347817999999999,0.00023541992356,0.0012097736112399,0.0178943,-0.0069134,4.779509956e-05,0.0003202059724899,-6.78046e-05,0.0003286514,1.0801174272196e-07,4.597463781160001e-09,-6.20083e-05,-0.0001288277999999,1.6596602052839998e-08,3.84502926889e-09,0.0,0.0,0.0,0.0,1.7515233017662248,0.3505203820053938,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404159991548957,0.04925802364972897,4.016908790027766,0.5784999329701425,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-0.00325262,0.00402926,1.62349361476e-05,1.05795368644e-05,-0.00169116,-0.01703456,2.8600221456e-06,0.0002901762343936,0.0279363,0.010042,0.000100841764,0.00078043685769,0.000150697,0.0002185016,4.774294920256e-08,2.2709585809000003e-08,-0.000207591,-0.0001455827,2.119432253929e-08,4.3094023281e-08,0.000105315,0.000105315,1.1091249225e-08,1.1091249225e-08,1.9668101711172663,0.28436057859977,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36994729980100716,0.03802162945609529,4.3653781376518825,0.44567237304624074,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,-0.00290287,0.0003497499999999,1.2232506249999986e-07,8.4266542369e-06,0.000998253,0.002689413,9.96509052009e-07,7.232942284568999e-06,0.0179544999999999,-0.0099818,9.963633124000003e-05,0.0003223640702499,0.000371841,0.000221144,4.8904668735999984e-08,1.38265729281e-07,-0.000197702,9.888999999999986e-06,9.779232099999971e-11,3.9086080804e-08,7.27501e-05,-3.2564900000000004e-05,1.0604727120100003e-09,5.29257705001e-09,2.1374321824836167,0.2194199771764548,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922631515052865,0.027883696004561302,4.628705187762377,0.3258648274482306,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.000143505,0.003046375,9.280400640625e-06,2.0593685025e-08,0.0186282,0.017629947,0.00034700983524,0.0003108150312228,0.0387671,0.0208125999999999,0.00043316431876,0.00150288804241,9.57996e-05,-0.0002760414,7.619885451396e-08,9.17756336016e-09,-0.00012153,7.617200000000003e-05,5.802173584000002e-09,1.4769540899999997e-08,0.0,-7.27501e-05,5.29257705001e-09,0.0,2.266365735013707,0.16083091510740943,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40798048645103313,0.018002510232325065,4.814169740122189,0.20914010776178868,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-0.0072430899999999,-0.0073865949999999,5.456178569402498e-05,5.246235274809997e-05,0.0667265,0.0480983,0.0044524258022499,0.00231344646289,0.0512585,0.0124914,0.00015603507396,0.00262743382225,-0.000278375,-0.0003741746,1.4000663128516e-07,7.749264062499997e-08,1.62967e-05,0.0001378267,1.899619923289e-08,2.6558243089e-10,-8.39329e-05,-8.39329e-05,7.0447317024100015e-09,7.0447317024100015e-09,2.3571752572185827,0.1037298274353868,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4154031381131475,0.0032653711685816343,4.901757029735138,0.03518201858207401,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-5.74454e-05,0.0071856445999999,5.1633488317509135e-05,3.29997398116e-09,0.0496415,-0.0170849999999999,0.00246427852225,0.0002918972249999,0.021675,-0.0295835,0.00087518347225,0.000469805625,-0.000357584,-7.920900000000006e-05,6.27406568100001e-09,1.2786631705600002e-07,6.822600000000001e-05,5.19293e-05,2.69665219849e-09,4.6547870760000015e-09,-9.34289e-05,-9.495999999999992e-06,9.017401599999983e-11,8.72895935521e-09,2.4000608643050585,0.018578407401025204,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40991324545668967,-0.01869102155258557,4.836976296388935,-0.22385915097645184,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-0.013407,-0.0133495546,0.0001782106080183,0.0001797476489999,0.0241771,-0.0254644,0.00058453216441,0.00064843566736,0.0399484,0.0182734,0.00033391714756,0.0015958746625599,0.000277916,0.0006355,4.0386025e-07,7.723730305599997e-08,-0.000430762,-0.0004989879999999,2.4898902414399985e-07,1.8555590064399998e-07,9.6971e-05,0.0001903999,3.625212192000999e-08,9.403374841e-09,2.368342094500264,-0.10827450718376758,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38792060959057156,-0.043721109463259376,4.577463193168742,-0.5190368635151119,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-0.0124981,0.0009088999999999,8.260992099999948e-07,0.00015620250361,0.000427708,-0.023749392,1.8293413326400002e-07,0.0005640336203696,0.0152525,-0.0246959,0.0006098874768099,0.00023263875625,-0.000190393,-0.000468309,2.19313319481e-07,3.6249494449000004e-08,-0.000151295,0.0002794669999999,7.810180408899997e-08,2.2890177025e-08,5.38721e-05,-4.30989e-05,1.85751518121e-09,2.90220315841e-09,2.241275975344456,-0.25287477381706974,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34983110820742225,-0.06542190586641472,4.12800707684758,-0.7747991485673374,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.0158847,-0.0033866,1.146905956e-05,0.00025232369409,0.000469104,4.1396000000000015e-05,2.20058562816e-07,1.7136288160000016e-09,0.0110698,-0.0041827,1.749497929000001e-05,0.00012254047204,1.83742e-05,0.0002087672,4.358374379583999e-08,3.3761122564000004e-10,-0.000243954,-9.2659e-05,8.585690281000001e-09,5.9513554116e-08,0.0,-5.38721e-05,2.90220315841e-09,0.0,2.0212075328530807,-0.3782283509112653,1
