,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.12922555495641,8.010946594030493,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.8242370000000001,0.0114250000000002,0.000130530625,0.6793666321690002,-0.559642,0.106138,0.3131991681639999,0.011265275044,-0.0643498,0.0515882,0.00266134237924,0.00414089676004,-0.016665,-0.0001378999999999,1.9016409999999952e-08,0.000277722225,-0.00655098,0.0,0.0,4.29153389604e-05,-0.0087811,0.0,0.0,7.710771720999999e-05,-0.4137456519489405,-0.11397267868901133,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.20361441043174,6.869155686969507,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.8506319999999999,0.0263949999999998,0.0006966960249999,0.7235747994239999,-0.536331,0.0233109999999999,0.287650941561,0.0005434027209999,-0.0330339,0.0313159,0.00098068559281,0.0010912385492099,-0.0166586,6.400000000000156e-06,4.096000000000199e-11,0.00027750895396,-0.0069678,-0.00041682,1.7373891240000002e-07,4.8550236840000006e-05,-0.00866342,0.00011768,1.3848582400000053e-08,7.505484609639999e-05,-0.48582124905982377,-0.09778745292796971,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.436733849698214,5.572303977042545,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.853095,0.0024630000000001,6.066369000000513e-06,0.727771079025,-0.632051,-0.09572,0.3994884666009999,0.0091623184,-0.0956166,-0.0625827,0.00391659433929,0.00914253419556,-0.0175052,-0.0008466,7.16731560000005e-07,0.00030643202704,-0.0077722299999999,-0.0008044299999999,6.471076248999972e-07,6.040755917289998e-05,-0.00818578,0.0004776399999999,2.281399695999997e-07,6.70069942084e-05,-0.5459476248494137,-0.07939437966094098,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.794845927729334,4.297080272745531,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.839397,-0.0136980000000001,0.000187635204,0.7045873236089999,-0.672999,-0.0409479999999999,0.4529276540010001,0.0016767387039999,-0.141567,-0.0459503999999999,0.0021114392601599,0.020041215489,-0.0159321,0.0015731,2.474643610000003e-06,0.00025383181041,-0.00704134,0.0007308899999999,5.342001920999971e-07,4.95804689956e-05,-0.0080399,0.0001458799999999,2.1280974399999787e-08,6.463999201000001e-05,-0.5936455723427753,-0.06130289476842544,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.33492878048518,3.145448476209966,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.870031,0.030634,0.000938441956,0.756953940961,-0.578394,0.094605,0.3345396192359999,0.008950106025,-0.0858628999999999,0.0557041,0.00310294675681,0.0073724375964099,-0.0151704,0.0007617,5.801868900000009e-07,0.00023014103616,-0.00567515,0.0013661899999999,1.8664751161e-06,3.2207327522500005e-05,-0.00821967,-0.0001797699999999,3.231725289999972e-08,6.75629749089e-05,-0.6297243975053265,-0.044961638379832726,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.128442503877984,2.030400195951305,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.890098,0.0200669999999999,0.0004026844889999,0.792274449604,-0.547623,0.0307709999999999,0.299890950129,0.0009468544409999,-0.0844077999999999,0.0014551,2.117316010000003e-06,0.0071246767008399,-0.0160176,-0.0008471999999999,7.17747839999999e-07,0.0002565635097599,-0.00596062,-0.0002854699999999,8.14931208999997e-08,3.5528990784399995e-05,-0.00793532,0.00028435,8.085492250000053e-08,6.296930350239997e-05,-0.6551991051443788,-0.029135219106350495,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99156689383768,0.37881209142390704,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.913505,0.0234069999999999,0.0005478876489999,0.8344913850249999,-0.620447,-0.072824,0.384954479809,0.005303334976,-0.168848,-0.0844401999999999,0.00713014737604,0.028509647104,-0.0173761,-0.0013584999999999,1.845522249999996e-06,0.00030192885121,-0.00644129,-0.0004806699999999,2.310436488999999e-07,4.14902168641e-05,-0.00819569,-0.00026037,6.779253690000058e-08,6.71693345761e-05,-0.6674587501103312,-0.005681929622619229,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40486875090165,-2.091132686982291,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.892798,-0.0207069999999999,0.0004287798489999,0.797088268804,-0.626401,-0.005954,0.392378212801,3.545011600000017e-05,-0.251315,-0.082467,0.006800806089,0.063159229225,-0.0181374,-0.0007613,5.795776900000044e-07,0.00032896527876,-0.00656673,-0.00012544,1.5735193600000024e-08,4.31219428929e-05,-0.00828535,-8.966000000000009e-05,8.038915600000016e-09,6.864702462250001e-05,-0.659125407873397,0.029404430981570646,1
18,2.2734512061949492e-07,2.1840475742302784e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.95533267060669,-4.921445058800995,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.8730370000000001,-0.0197609999999999,0.0003904971209999,0.7621936033690001,-0.6954229999999999,-0.0690219999999999,0.4836131489289999,0.0047640364839999,-0.284331,-0.0330159999999999,0.0010900562559999,0.080844117561,-0.0181868,-4.9399999999998057e-05,2.440359999999808e-09,0.00033075969424,-0.00682907,-0.0002623399999999,6.882227559999989e-08,4.66361970649e-05,-0.00825039,3.4960000000000546e-05,1.222201600000038e-09,6.80689351521e-05,-0.624332726457324,0.06962098445040753,1
19,0.0004488331295599553,0.0020492762821994926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.683728329653306,-7.3658857530602715,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,0.8554950000000001,-0.0175419999999999,0.0003077217639999,0.7318716950250002,-0.649517,0.0459059999999998,0.421872333289,0.0021073608359999,-0.279226,0.0051049999999999,2.6061024999999697e-05,0.077967159076,-0.016619,0.0015678,2.457996840000004e-06,0.000276191161,-0.00648189,0.0003471799999999,1.2053395239999992e-07,4.201489797209999e-05,-0.00782039,0.0004299999999999,1.8489999999999986e-07,6.11584997521e-05,-0.5637300259349453,0.1040478759341171,1
