,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.067086367197618,-3.326611260637331,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.023042,-0.009931,9.862476100000005e-05,0.000530933764,-0.0153415,-0.02147761,0.0004612877313121,0.0002353616222499,-0.0902586,-0.0200788999999999,0.00814661487396,0.0004031622252099,-0.000558469,-4.917099999999998e-05,2.417787240999998e-09,3.1188762396100004e-07,-9.59297e-05,-0.0001231507,1.516609491049e-08,9.20250734209e-09,-0.000292278,-6.514299999999998e-05,8.542642928399999e-08,4.243610448999998e-09,0.23578946799675005,0.06504197680603109,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.169205026831772,-2.8550048091703886,0.0575352749,0.0572243478,0.05670738,0.055986233,0.0550635032,0.0173463,-0.0056957,3.244099849000002e-05,0.0003008941236899,-0.042593,-0.0272514999999999,0.0007426442522499,0.001814163649,-0.0891491999999999,0.0011094,0.0079475798606399,1.230768360000208e-06,-0.000280743,0.000277726,7.7131731076e-08,7.881663204900002e-08,-5.15481e-05,4.43816e-05,1.9697264185600003e-09,2.65720661361e-09,-3.01842e-06,0.00028925958,9.1108592964e-12,8.36711046217764e-08,0.2768646227887587,0.055833875506835974,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.922819031430674,-2.3189319601763425,0.0575164505,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.0136178,-0.0037284999999999,1.3901712249999994e-05,0.00018544447684,-0.0479545,-0.0053614999999999,2.874568224999998e-05,0.00229963407025,-0.0935813,-0.0044321000000001,0.00875745970969,1.964351041000093e-05,-0.000397617,-0.0001168739999999,1.3659531876e-08,1.5809927868900005e-07,-2.41282e-06,4.913528e-05,2.4142757406784003e-09,5.821700352400001e-12,-0.0001048,-0.00010178158,1.098304e-08,1.03594900272964e-08,0.3111300370431897,0.04536494211869392,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.31395208438051,-1.791578643234239,0.0574960598,0.0570678231,0.0563564563,0.0553654889,0.0540998371,0.0139619,0.0003440999999999,1.1840481e-07,0.0001949346516099,-0.0426498,0.0053046999999999,2.813984208999996e-05,0.00181900544004,-0.0597911,0.0337902,0.00357497563921,0.00114177761604,-0.000332081,6.553599999999999e-05,4.2949672959999995e-09,1.1027779056100005e-07,-1.03789e-05,-7.96608e-06,6.34584305664e-11,1.0772156521e-10,-3.01842e-06,0.00010178158,9.1108592964e-12,1.03594900272964e-08,0.3383126155452704,0.0350651744498331,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.366207974473237,-1.3152001056832474,0.0574741032,0.0569802314,0.0561602528,0.0550188605,0.0535625866,0.00686644,-0.00709546,5.03455526116e-05,4.71479982736e-05,-0.00225551,0.04039429,0.0016316986646041,5.0873253601e-06,-0.028385,0.0314061,0.000805708225,0.00098634311721,-0.000503593,-0.0001715119999999,2.9416366143999996e-08,2.53605909649e-07,-5.57699e-05,-4.5391e-05,2.060342881e-09,3.1102817460100003e-09,-6.88058e-05,-6.578738e-05,4.734238113640001e-09,4.3279793672644e-09,0.3588735735902761,0.025760314114696474,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1448402263668576e-06,2.624720448786744e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.10923562993329,-0.8541543939999044,0.0574505814,0.0568864326,0.0559502845,0.0546482591,0.0529888705,-0.00235198,-0.00921842,8.49792672964e-05,5.5318099204e-06,-0.00796455,-0.00570904,3.2593137721600005e-05,6.343405670250001e-05,-0.0402179,-0.0118329,0.00161747948041,0.00014001752241,0.000102427,0.00060602,3.672602404e-07,1.0491290329e-08,2.0605e-05,7.63749e-05,5.833125350010001e-09,4.24566025e-10,-3.01842e-06,6.578738e-05,9.1108592964e-12,4.3279793672644e-09,0.3733912980745588,0.01674609358250414,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009197758938466487,0.003705249931045793,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.480153834046387,-0.22383134259078277,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-0.00525908,-0.0029071,8.451230410000001e-06,2.76579224464e-05,-0.0218568,-0.0138922499999999,0.0001929946100624,0.0004777197062399,-0.0458735,-0.0056555999999999,0.0021043780022499,3.1985811359999965e-05,4.81762e-06,-9.760938e-05,9.527591063984402e-09,2.32094624644e-11,-1.06465e-05,-3.12515e-05,9.766562522499998e-10,1.1334796225e-10,9.00124e-05,9.303082e-05,8.102232153760001e-09,8.654733469872403e-09,0.38036217985766296,0.003319681513680609,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010430646808373207,0.024995152775844045,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.37572893526614,0.4891644388917185,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-0.00126838,0.0039907,1.592568649e-05,1.6087878244e-06,-0.0279783,-0.0061215,3.747276225000003e-05,0.00078278527089,-0.0535805,-0.007707,0.00287086998025,5.939784900000008e-05,5.82617e-05,5.344408e-05,2.8562696870463996e-09,3.3944256868899997e-09,6.04736e-05,7.11201e-05,5.05806862401e-09,3.65705629696e-09,-3.01842e-06,-9.303082e-05,9.1108592964e-12,8.654733469872403e-09,0.375449505308249,-0.01704378713404162,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04363763615222554,0.0691468838422151,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.844973880610656,1.0185929338782875,0.0573706312,0.0565678993,0.0552383224,0.0533942834,0.0510529568,-0.00425428,-0.0029859,8.91559881e-06,1.80988983184e-05,-0.015459,0.0125193,0.00015673287249,0.000238980681,-0.0460002,0.0075803,0.0021160184000399,5.746094809000008e-05,-0.000124804,-0.0001830657,3.3513050516490006e-08,1.5576038416e-08,0.000108719,4.82454e-05,2.32761862116e-09,1.1819820961e-08,-3.01842e-06,0.0,9.1108592964e-12,0.0,0.35505030788676456,-0.040730527457441344,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11214241771366652,0.12408334859193462,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.07193691597704,1.2400722478155575,0.0573408553,0.0564493811,0.0549738431,0.0529295081,0.0503375282,0.000580236,0.004834516,2.337254495425601e-05,3.36673815696e-07,0.00310251,0.01856151,0.0003445296534801,9.6255683001e-06,-0.00339399,0.04260621,1.15191681201e-05,0.001815289130564,-0.000195406,-7.060199999999999e-05,4.984642403999998e-09,3.8183504836e-08,-0.00015306,-0.000261779,6.852824484100001e-08,2.3427363600000002e-08,-3.01842e-06,0.0,9.1108592964e-12,0.0,0.31925723530707173,-0.0616645592042581,1
