,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574769495134627,0.07084374430079454,-13.440296764602754,-3.7026668281279007,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-5.22573e-05,-2.22451e-05,2.73082540329e-09,4.9484447401e-10,-0.0123371,0.0217510999999999,0.0004731103512099,0.0001522040364099,0.00309822,-0.01421328,0.0002020173283584,9.5989671684e-06,0.000117143,5.664810000000006e-05,1.3722482449000013e-08,3.209007233610006e-09,7.6542e-05,1.84503e-05,3.404135700900001e-10,5.858677764e-09,0.0,0.0,0.0,0.0,0.3714996263095389,0.1022222151762281,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30233012148289706,0.06075722491023054,-15.78163234140723,-3.1769559203172144,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0,5.22573e-05,0.0,2.73082540329e-09,-0.0208167,-0.0084796,7.190361616000001e-05,0.0004333349988899,-0.00574939,-0.00884761,7.828020271210001e-05,3.30554853721e-05,0.0,-0.000117143,0.0,1.3722482449000013e-08,-0.0,-7.6542e-05,5.858677764e-09,0.0,0.0,0.0,0.0,0.0,0.43621585297343723,0.08766989346769348,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33974720550705556,0.049299122384113436,-17.734804127468305,-2.5795148469836726,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-3.98038e-05,-3.98038e-05,1.58434249444e-09,1.58434249444e-09,-0.0349528,-0.0141361,0.00019982932321,0.00122169822784,0.0072093799999999,0.0129587699999999,0.0001679297199128,5.197515998439999e-05,0.0,0.0,0.0,0.0,6.27359e-05,6.27359e-05,3.93579314881e-09,3.93579314881e-09,0.0,0.0,0.0,0.0,0.49020294874583265,0.07113842683050668,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694299875756865,0.038031172357944384,-19.284245351450842,-1.9918608534312383,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,-0.00406436,-0.0040245562,1.6519022209600006e-05,1.6197052606958443e-05,-0.0469773,-0.0120245,0.00014458860025,0.00220686671529,0.00720164,-7.739999999999136e-06,5.990759999998664e-11,5.18636186896e-05,0.0,0.0,0.0,0.0,-0.0,-6.27359e-05,3.93579314881e-09,0.0,0.0,0.0,0.0,0.0,0.5330306366890103,0.05488115304387003,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3918821047184901,0.027854713234241536,-20.456245866305185,-1.4610528478116527,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.0,0.00406436,0.0,1.6519022209600006e-05,-0.0349708,0.0120064999999999,0.0001441560422499,0.00122295685264,-0.0008962639999999,-0.008097904,6.5576049193216e-05,8.032891576959998e-07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5654255875542076,0.040198575691797044,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40773520186103107,0.018000750032969266,-21.283777537145827,-0.9469606342765491,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.0,0.0,0.0,0.0,-0.00527427,0.02969653,0.0008818838940409,2.78179240329e-05,-0.00907703,-0.0081807659999999,6.692493234675599e-05,8.239247362089999e-05,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882991677928723,0.02598116704137188,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4153644687139453,0.0034031579365908695,-21.682025266867946,-0.18510332150271802,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.0,0.0,0.0,0.0,-0.0112607,-0.00598643,3.583734414490002e-05,0.00012680336449,-0.0182438,-0.0091667699999999,8.402967223289995e-05,0.0003328362384399,-0.00011309,-0.00011309,1.27893481e-08,1.27893481e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5993070261282656,0.004919253101473319,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101785688058485,-0.018429683854037517,-21.41132129166529,0.9546641403941316,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,4.76638e-05,4.76638e-05,2.27183783044e-09,2.27183783044e-09,-0.0246769,-0.0134162,0.0001799944224399,0.00060894939361,-0.0148566,0.0033871999999999,1.1473123839999977e-05,0.00022071856356,-0.000154639,-4.154900000000001e-05,2.3913220321e-08,1.7263194010000003e-09,-5.140189999999999e-05,-5.140189999999999e-05,2.6421553236099987e-09,2.6421553236099987e-09,0.0,0.0,0.0,0.0,0.5918245703916369,-0.02658229131700971,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3885267852139111,-0.04345023409836351,-20.28109818816616,2.261125652624897,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.0,-4.76638e-05,0.0,2.27183783044e-09,-0.0356783,-0.0110014,0.00012103080196,0.00127294109089,0.00591328,0.02076988,0.0004313879152144,3.49668803584e-05,0.0,0.000154639,0.0,2.3913220321e-08,-0.0,5.140189999999999e-05,2.6421553236099987e-09,0.0,0.0,0.0,0.0,0.0,0.5605843777121009,-0.06268356617900536,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35072819013798745,-0.06525057122836837,-18.30801152520295,3.3997819799304656,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.0058912,-0.0058912,3.4706237440000004e-05,3.4706237440000004e-05,-0.018877,0.0168013,0.00028228368169,0.000356341129,0.0152188,0.00930552,8.659270247039999e-05,0.00023161187344,0.000291919,0.000291919,8.521670256100001e-08,8.521670256100001e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060468201860164,-0.09413891956720324,1
