,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.490533138918583,-3.6886441783507853,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.0140528,0.0005337999999999,0.00019748118784,2.849424399999992e-07,0.00670427,-0.04235553,0.0017939909215809,4.49472362329e-05,-0.0262848,-0.027027135,0.0007304660263082,0.00069089071104,-8.213059999999999e-05,-0.0003053676,9.324937112976001e-08,6.745435456359997e-09,-8.571229999999999e-05,-3.8884999999999815e-06,1.5120432249999856e-11,7.346598371289998e-09,0.0,0.0,0.0,0.0,-0.860039710892303,-0.23567851703521078,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.824643688720434,-3.1596220433484756,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.00722351,-0.0068292899999999,5.21790967201e-05,4.663920190409999e-05,-0.0783835999999999,-0.0850878699999999,0.0072399456211368,0.0061439887489599,-0.121739,-0.0954542,0.00911150429764,0.014820384121,-0.00216009,-0.0020779594,4.317915268048359e-06,4.6659888081e-06,-0.000401359,-0.0003156466999999,9.963283922089e-08,1.61089046881e-07,6.95346e-05,6.95346e-05,4.835060597160001e-09,4.835060597160001e-09,-1.0088424114061219,-0.2020430378906835,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.769715155885557,-2.560990343726811,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.0109773,0.0037537899999999,0.0001205011152899,1.4090939364099992e-05,-0.0691056,0.0092779999999999,8.608128399999937e-05,0.0047755839513599,-0.0991605,0.0225785,0.00050978866225,0.00983280476025,-6.634000000000002e-05,0.00209375,4.383789062500002e-06,4.400995600000003e-09,0.00019733,0.000598689,3.584285187210001e-07,3.893912890000001e-08,0.0,-6.95346e-05,0.0,4.835060597160001e-09,-1.1328433448799535,-0.1639547880756649,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.311249049612577,-1.9735589013203512,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.00460259,-0.00637471,2.118383470810001e-05,4.063692758409999e-05,-0.0343574,0.0347482,0.00120743740324,0.00118043093476,-0.0612664,0.0378941,0.00143596281481,0.00375357176896,-0.000222781,-0.0001564409999999,2.4473786481e-08,4.9631373961e-08,3.57286e-05,-0.0001616014,2.6115012481960003e-08,1.27653285796e-09,-6.481069999999999e-05,-6.481069999999999e-05,4.200426834489999e-09,4.200426834489999e-09,-1.2311182129403533,-0.12656494138700988,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.47613650857596,-1.44368497228331,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.00530588,0.0007032899999999,2.81523625744e-05,4.946168240999995e-07,0.0473914,0.0817488,0.00668286630144,0.00224594479396,0.0106263,0.0718927,0.00516856031329,0.00011291825169,0.000123231,0.000346012,1.1972430414400006e-07,1.5185879361000005e-08,-2.87596e-05,-6.448820000000001e-05,4.158727939240001e-09,8.2711459216e-10,0.0,6.481069999999999e-05,0.0,4.200426834489999e-09,-1.3053813620029147,-0.09282987697805233,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.296581392743935,-0.9274125071412507,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-0.00146063,-0.00676651,2.1334399969000005e-06,4.57856575801e-05,0.00958703,-0.03780437,0.0014291703910969,9.19111442209e-05,-0.0170032999999999,-0.0276296,0.0007633947961599,0.0002891122108899,-0.000385169,-0.0005084,2.5847056e-07,1.4835515856100008e-07,-7.988049999999998e-05,-5.112089999999998e-05,2.613346416809998e-09,6.380894280249997e-09,0.0,0.0,0.0,0.0,-1.357685831642241,-0.05994858452492215,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.684043809506303,-0.15790972912128637,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.00149907,0.0029596999999999,2.2472108649e-06,8.75982409e-06,-0.0504794,-0.06006643,0.0036079760129449,0.00254816982436,-0.0669595,-0.0499562,0.00249562191844,0.00448357464025,-0.00042814,-4.297099999999994e-05,1.8465068409999942e-09,1.833038596e-07,0.000111256,0.0001911365,3.653316163225e-08,1.2377897536e-08,0.0,0.0,0.0,0.0,-1.3823870841029466,-0.010906748800269013,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.3974714128392,0.9880482095868001,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.00137167,-0.0001273999999999,1.8814785889e-06,1.6230759999999988e-08,-0.0548083,-0.0043289,1.8739375210000088e-05,0.00300394974889,-0.0736712999999999,-0.0067117999999999,4.50482592399995e-05,0.0054274604436899,-0.000176287,0.000251853,6.342993360899996e-08,3.1077106369000005e-08,0.000159405,4.814899999999999e-05,2.318326200999999e-09,2.5409954025e-08,0.0,0.0,0.0,0.0,-1.3641177067076034,0.06216071629166737,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.24945582062784,2.2939547548076438,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.00144272,7.105000000000002e-05,2.0814409984e-06,5.048102500000003e-09,0.0317403,0.0865486,0.00749066016196,0.00100744664409,0.0216126,0.0952838999999999,0.0090790215992099,0.00046710447876,-5.98581e-05,0.0001164289,1.3555688755210004e-08,3.58299213561e-09,-1.39297e-05,-0.0001733347,3.004491822409e-08,1.9403654209e-10,0.0,0.0,0.0,0.0,-1.2909301619413436,0.14545848350429816,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.261183848427446,3.4255862559919517,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,0.00143437,-8.350000000000067e-06,2.0574172969e-06,6.972250000000113e-11,0.0602375,0.0284971999999999,0.00081209040784,0.00362855640625,0.0319014,0.0102888,0.00010585940544,0.00101769932196,0.000184266,0.0002441241,5.959657620081e-08,3.3953958755999994e-08,-2.97292e-05,-1.57995e-05,2.4962420025e-10,8.8382533264e-10,0.0,0.0,0.0,0.0,-1.164175137915394,0.21767852310564662,1
