,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q39,Q39_derivative,Q40,Q40_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.142977,-0.000842,7.08964000000016e-07,0.020442422529,-0.81206,0.0407940000000001,0.6594414436,0.001664150436,0.497942,0.0599579999999999,0.0035949617639999,0.247946235364,0.00501799,0.00060624,2.51802236401e-05,3.675269376000001e-07,-0.0024352,-0.0003175399999999,5.930199039999999e-06,1.0083165159999993e-07,-0.00515922,0.0,2.66175510084e-05,0.0,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.144374,0.001397,1.951609000000026e-06,0.020843851876,-0.79983,0.0122299999999999,0.6397280289,0.0001495728999999,0.512935,0.014993,0.000224790049,0.2631023142249999,0.0051174,9.94100000000003e-05,2.618778276e-05,9.882348100000058e-09,-0.00289161,-0.00045641,8.3614083921e-06,2.083100881000004e-07,-0.00515922,0.0,2.66175510084e-05,0.0,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.146796,0.002422,5.8660840000000364e-06,0.021549065616,-0.8338469999999999,-0.0340169999999998,0.6953008194089998,0.0011571562889999,0.498102,-0.0148329999999999,0.0002200178889999,0.248105602404,0.0048149,-0.0003025,2.3183262009999995e-05,9.150625000000044e-08,-0.00258709,0.00030452,6.693034668099998e-06,9.273243040000024e-08,-0.00526614,-0.0001069199999999,2.77322304996e-05,1.1431886399999985e-08,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.149793,0.002997,8.982008999999998e-06,0.0224379428489999,-0.8525479999999999,-0.0187009999999999,0.7268380923039998,0.0003497274009999,0.4836470000000001,-0.0144549999999999,0.0002089470249999,0.2339144206090001,0.00462658,-0.0001883199999999,2.14052424964e-05,3.546442239999986e-08,-0.00259835,-1.126000000000035e-05,6.751422722500001e-06,1.2678760000000788e-10,-0.00563735,-0.00037121,3.1779715022500005e-05,1.3779686410000024e-07,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.1527859999999999,0.0029929999999999,8.958048999999807e-06,0.0233435617959999,-0.8663870000000001,-0.0138390000000002,0.7506264337690002,0.000191517921,0.444286,-0.039361,0.001549288321,0.197390049796,0.00417041,-0.0004561699999999,1.7392319568100002e-05,2.080910688999997e-07,-0.00252412,7.423000000000022e-05,6.3711817744e-06,5.510092900000032e-09,-0.00563736,-9.999999999940612e-09,3.17798277696e-05,9.999999999881223e-17,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.154323,0.001537,2.3623690000000324e-06,0.023815588329,-0.8617819999999999,0.0046050000000001,0.7426682155239999,2.120602500000177e-05,0.408638,-0.0356479999999999,0.0012707799039999,0.166985015044,0.00396446,-0.0002059499999999,1.5716943091600006e-05,4.241540249999995e-08,-0.00260364,-7.952000000000002e-05,6.7789412496e-06,6.323430400000004e-09,-0.00580143,-0.0001640699999999,3.3656590044899995e-05,2.691896489999989e-08,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.159778,0.005455,2.975702500000017e-05,0.025529009284,-0.8502719999999999,0.01151,0.7229624739839998,0.0001324801,0.420626,0.011988,0.0001437121439999,0.176926231876,0.00433787,0.0003734099999999,1.88171161369e-05,1.3943502809999954e-07,-0.0025469,5.674e-05,6.486699609999999e-06,3.2194276e-09,-0.00568884,0.00011259,3.23629005456e-05,1.2676508100000022e-08,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.159902,0.0001239999999999,1.5375999999996342e-08,0.0255686496039999,-0.8200209999999999,0.030251,0.6724344404409999,0.000915123001,0.468811,0.0481849999999999,0.0023217942249999,0.219783753721,0.00459932,0.0002614499999999,2.11537444624e-05,6.835610249999994e-08,-0.00268509,-0.0001381899999999,7.209708308099999e-06,1.9096476099999966e-08,-0.00574458,-5.574000000000029e-05,3.30001993764e-05,3.106947600000034e-09,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.152334,-0.0075679999999999,5.7274623999999866e-05,0.023205647556,-0.7995270000000001,0.0204939999999997,0.6392434237290001,0.0004200040359999,0.493993,0.025182,0.000634133124,0.244029084049,0.004811,0.00021168,2.3145721e-05,4.480842240000024e-08,-0.00284286,-0.00015777,8.0818529796e-06,2.4891372900000072e-08,-0.00563736,0.0001072199999999,3.17798277696e-05,1.1496128399999976e-08,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,0.153055,0.0007209999999999,5.198409999999992e-07,0.023425833025,-0.8108229999999998,-0.0112959999999997,0.6574339373289998,0.0001275996159999,0.49173,-0.002263,5.121169000000068e-06,0.2417983929,0.00472348,-8.75199999999998e-05,2.2311263310400007e-05,7.65975039999996e-09,-0.00283647,6.390000000000215e-06,8.0455620609e-06,4.083210000000274e-11,-0.00563736,0.0,3.17798277696e-05,0.0,1
