,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q36,Q36_derivative,Q39,Q39_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053500398258967,-0.21841293547085552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38611387121689,0.2060211733993853,0.0,0.0,0.0,0.0,-0.0024295318122699774,0.0011510096836177112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.592779085290136,-11.867614729180376,0.0483183129,0.0233706105,-0.0091355495,-0.0386871156,-0.0557266029,0.0264826,0.0105372999999999,0.0007013281027599,0.0001110346912899,0.0502375,-0.0265217,0.00070340057089,0.00252380640625,0.0340944,-0.0038854999999999,1.509711025e-05,0.00116242811136,0.00176133,0.001446675,3.1022833689e-06,2.092868555625e-06,-0.00104831,-0.000336261,1.0989538561000004e-06,1.1307146012100017e-07,-0.000382164,6.630900000000002e-05,4.3968834810000035e-09,1.46049322896e-07,-3.1941285988222785,0.9835545190668197,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3650196559285843,-0.19745026225317816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528810480790319,0.20779633347553988,0.0,0.0,0.0,0.0,-0.0017252669030506285,0.0008372248462556744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.842334936010333,-10.996385195296716,0.0481536557,0.0228194283,-0.0100253711,-0.0395705141,-0.0560917904,0.0718371999999999,0.0453546,0.0051605833038399,0.0020570397411599,0.103859,0.0536215,0.00287526526225,0.0107866918809999,-0.0382936999999999,-0.0723881,0.00524003702161,0.0014664074596899,-0.000572941,-0.002334271,3.28261389481e-07,5.448821101440999e-06,-0.00196857,-0.00092026,3.875267844900001e-06,8.468784676e-07,-0.00231477,-0.001932606,3.734965951236e-06,5.3581601529e-06,-2.5712404499925015,0.8667690569750384,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24206673245940424,-0.1688417970185235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6659532562254856,0.19253103676670155,0.0,0.0,0.0,0.0,-0.001203846279148736,0.0005971688714868721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8996226780026972,-9.587084720180613,0.0479876871,0.0222657604,-0.0109127355,-0.0404366709,-0.0564187903,0.0583968,-0.0134403999999999,0.00341018625024,0.0001806443521599,0.0594385,-0.0444205,0.00197318082025,0.00353293528225,-0.0350729,0.0032207999999999,1.0373552639999928e-05,0.00123010831441,-0.000395868,0.0001770729999999,1.56711473424e-07,3.1354847328999984e-08,-0.00153103,0.00043754,2.3440528609000003e-06,1.914412516000001e-07,-0.00202134,0.0002934299999999,8.610116489999995e-08,4.0858153956e-06,-2.038243274791072,0.7257018792594983,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13954922324525162,-0.13791345793688087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884391635564254,0.16672644523741123,0.0,0.0,0.0,0.0,-0.0008214045410431476,0.0004156944531001765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.991310164308023,-7.947460597442049,0.0478204116,0.021709667,-0.0117974252,-0.0412852085,-0.05670738,0.0431353,-0.0152615,0.0018606541060899,0.00023291338225,0.0299465,-0.029492,0.000869778064,0.0008967928622499,-0.0157407,0.0193322,0.00037373395684,0.00024776963649,-7.5961e-05,0.000319907,5.770073521e-09,1.0234048864900004e-07,-0.00153103,0.0,2.3440528609000003e-06,0.0,-0.00161913,0.0004022099999999,1.617728840999999e-07,2.6215819569e-06,-1.6024058364773504,0.5828598713546784,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057606509034539136,-0.10818268421588188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8915001133519272,0.13643357203012255,0.0,0.0,0.0,0.0,-0.000543391489086632,0.00028002924326651105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.764715155036681,-6.302812210288564,0.0476518338,0.0211512086,-0.0126792234,-0.0421157571,-0.0569573632,0.0437082,0.0005729,0.00191040674724,3.282144100000014e-07,0.0537359,0.0237894,0.00056593555236,0.0028875469488099,0.029699,0.0454397,0.00206476633609,0.000882030601,-0.000200597,-0.000124636,4.0239156409e-08,1.5534132496000006e-08,-0.00117868,0.0003523499999999,1.3892865424000014e-06,1.2415052249999968e-07,-0.00131434,0.0003047899999999,9.289694409999967e-08,1.7274896356000017e-06,-1.259475272043421,0.4512599753289191,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005363998800977406,-0.08154901817206145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9738888762745215,0.10610606514130055,0.0,0.0,0.0,0.0,-0.00034300362435042784,0.00017966832708703968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.472994030326523,-4.789673819602318,0.0474819583,0.0205904462,-0.0135579139,-0.042927955,-0.0571685695,0.0437703,6.210000000000243e-05,0.00191583916209,3.856410000000302e-09,0.0563774,0.0026414999999999,6.9775222499999896e-06,0.00317841123076,0.0557462,0.0260472,0.0006784566278399,0.00310763881444,0.000638744,0.000839341,4.07993897536e-07,7.044933142809999e-07,-0.00137264,-0.0001939599999999,1.8841405696e-06,3.7620481599999825e-08,-0.00117751,0.00013683,1.8722448900000152e-08,1.3865298001000002e-06,-0.9993073144394293,0.3366875430834927,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05177860658383703,-0.05874646234696738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0366867057245144,0.07841999840518203,0.0,0.0,0.0,0.0,-0.0001997338646326105,0.00010615481112029421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.232328660238997,-3.472760570810755,0.0473107896,0.0200274408,-0.0144332814,-0.0437214479999999,-0.0573408553,0.0439417,0.0001713999999999,0.00193087299889,2.9377959999998343e-08,0.0258362,-0.0305412,0.0009327648974399,0.00066750923044,0.0072393199999999,-0.04850688,0.0023529174073344,5.240775406239998e-05,-5.05128e-05,-0.0006892567999999,2.5515429638399995e-09,4.750749363462401e-07,-0.0014346,-6.195999999999979e-05,2.05807716e-06,3.839041599999974e-09,-0.00111048,6.703000000000004e-05,4.493020900000005e-09,1.2331658304e-06,-0.8097269263888265,0.24037839799814742,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08425967704430237,-0.039806857144276654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6317741531980201e-06,1.426978464902615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817935507125644,0.05268511065445262,0.0,0.0,0.0,0.0,-9.809182443325239e-05,5.280725517302117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.177925854135275,-2.3447164983828688,0.0471383325,0.0194622537,-0.0153051112999999,-0.0444958907,-0.0574741032,0.043296,-0.0006456999999999,0.001874543616,4.169284899999988e-07,0.0688767,0.0430405,0.00185248464025,0.00474399980289,0.0876921999999999,0.0804528799999999,0.0064726659002943,0.0076899219408399,-0.000494983,-0.0004444702,2.4500817028900005e-07,1.9755375868804006e-07,-0.000864704,0.0005698959999999,7.47713007616e-07,3.2478145081599977e-07,-0.00108494,2.554000000000011e-05,6.522916000000057e-10,1.1770948035999998e-06,-0.6782815095134296,0.16328435412281686,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10530516877916139,-0.024418803094554388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007525549190637435,0.0031431115657328643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1063360958468746,0.016689872061415457,0.0,0.0,0.0,0.0,-2.651438429720372e-05,1.4434469655863668e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.382343785642163,-1.2498065879536617,0.0469645917,0.0188949465,-0.0161731899,-0.0452509454,-0.0575682224,0.0442222,0.0009261999999999,0.00195560297284,8.57846439999991e-07,0.0924384,0.0235616999999999,0.0005551537068899,0.0085448577945599,0.0596572,-0.0280349999999999,0.0007859612249999,0.00355898151184,-0.00059935,-0.0001043669999999,3.592204225e-07,1.089247068899999e-08,-0.00153103,-0.000666326,2.3440528609000003e-06,4.4399033827600013e-07,-0.0005494219999999,0.000535518,2.86779528324e-07,3.0186453408399985e-07,-0.5864649732354462,0.12365062448606252,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11715088287768706,-0.012156097624308752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00936353872183434,0.02305376930344407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0988046990773428,-0.03881232657575863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.82106994791402,-0.10257529299394734,0.0467895718,0.018325581,-0.0170373046,-0.0459862832,-0.057623149,0.0340668,-0.0101553999999999,0.00116054686224,0.0001031321491599,0.0924378,-5.999999999894978e-07,3.599999999873974e-13,0.0085447468688399,0.0278687,-0.0317885,0.0010105087322499,0.00077666443969,-0.000489175,0.000110175,2.392921806250001e-07,1.2138530625000002e-08,-0.00137117,0.00015986,1.8801071689e-06,2.5555219600000053e-08,-0.000487598,6.182399999999993e-05,3.822206975999992e-09,2.37751809604e-07,-0.49362925416569176,0.15996542945142864,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12174310977731283,-0.002595663226857662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04075592653552556,0.06605935879165051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04830689238509,-0.10533649396619414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.493113041409508,0.9856918527343517,0.0466132777,0.0177542192,-0.0178972434,-0.0467015838,-0.0576388455999999,0.0310153,-0.0030514999999999,0.00096194883409,9.311652249999992e-06,0.0569426,-0.0354952,0.00125990922304,0.00324245969476,0.0160418,-0.0118268999999999,0.0001398755636099,0.00025733934724,-0.000543855,-5.467999999999999e-05,2.95778261025e-07,2.989902399999998e-09,-0.00097949,0.00039168,9.594006601e-07,1.5341322239999996e-07,-0.000549423,-6.182500000000005e-05,3.822330625000007e-09,3.0186563292900014e-07,-0.3436547148052636,0.27532089422997086,1
