,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574769495134627,0.07094852169034198,3.0382280042588574,0.834675701693945,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.0125921,-0.0012423999999999,1.5435577599999983e-06,0.00015856098241,-0.00867467,-0.01241605,0.0001541582976025,7.524989960890001e-05,-0.0222538,-0.01846202,0.0004952316144399,0.0003408461824803,-0.000318831,-0.00085778,7.357865284e-07,1.01653206561e-07,0.000115018,-0.000181741,1.3229140323999998e-08,3.3029791081000015e-08,0.0,-0.000147696,2.1814108416e-08,0.0,0.4316171930343991,0.11873697670180373,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30233012148289706,0.060880254800752376,3.5674954334981828,0.7154317096670435,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-0.0100267,0.0025653999999999,6.581277159999994e-06,0.00010053471289,-0.0101104,-0.0014357299999999,2.061320632899999e-06,0.00010222018816,-0.0185613,0.0036924999999999,0.00034452185769,1.3634556249999983e-05,-0.0004652,-0.000146369,2.1423884161000012e-08,2.164110400000001e-07,-0.0,-0.000115018,0.0,1.3229140323999998e-08,0.0,0.0,0.0,0.0,0.5068060603124939,0.10182499274498902,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33974720550705556,0.049437378742076085,4.009017024983253,0.580040017697593,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-0.00634601,0.00368069,1.3547478876100011e-05,4.02718429201e-05,0.000506509,0.0106169089999999,0.0001127187567142,2.5655136708100005e-07,-0.000746977,0.017814323,5.57974638529e-07,0.0003173501039483,-2.77447e-05,0.0004374553,1.9136713949809002e-07,7.697683780899998e-10,0.000187117,0.000187117,3.501277168900001e-08,3.501277168900001e-08,0.000206294,0.000206294,4.2557214436e-08,4.2557214436e-08,0.5695295654983248,0.08261437762709857,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694299875756865,0.038181507794929584,4.359273853393099,0.4469305893585894,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,4.83134e-05,0.0063943234,4.088737174378757e-05,2.33418461956e-09,0.000607598,0.0001010889999999,1.021898592099999e-08,3.69175329604e-07,-0.0063729999999999,-0.0056260229999999,4.061512899999999e-05,3.165213479652899e-05,0.000124471,0.0001522157,2.316961932649e-08,1.5493029841e-08,0.000270617,8.35e-05,7.323356068900001e-08,6.97225e-09,0.000121666,-8.462800000000003e-05,7.161898384000003e-09,1.4802615556e-08,0.6192878025060395,0.06372314488862087,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3918821047184901,0.02801418531133561,4.62420883567818,0.3267367131185453,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-0.00429691,-0.0043452234,1.888096639590756e-05,1.84634355481e-05,0.000913114,0.0003055159999999,9.334002625599997e-08,8.337771769959999e-07,0.0317916,0.0381645999999999,0.0010107058305599,0.0014565366931599,0.0006169659999999,0.0004924949999999,2.425513250249999e-07,3.806470451559999e-07,0.000368889,9.8272e-05,1.36079094321e-07,9.657385984e-09,0.0,-0.000121666,1.4802615556e-08,0.0,0.6569250348764257,0.046662197543824724,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40773520186103107,0.018166673352156958,4.811275381960164,0.21038110692461642,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-0.0050921,-0.00079519,6.323271361000004e-07,2.5929482410000007e-05,-0.0133881,-0.014301214,0.0002045247218737,0.00017924122161,-0.00650691,-0.03829851,4.23398777481e-05,0.00146677586822,-0.000481,-0.001097966,1.205529337156e-06,2.31361e-07,7.781729999999997e-05,-0.0002910717,6.055532179289995e-09,8.472273454089001e-08,0.0,0.0,0.0,0.0,0.6835001100530385,0.03014239276224749,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4153644687139453,0.003572185901326522,4.901300730824552,0.03809157841551344,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-1.38597e-05,0.0050782403,2.578852454454409e-05,1.9209128409e-10,9.527040000000004e-05,0.0134833704,0.0001818012773435,9.076449116160004e-09,-0.00147228,0.00503463,2.1676083984000003e-06,2.53474992369e-05,-0.000212725,0.000268275,7.1971475625e-08,4.5251925625e-08,5.38353e-05,-2.3981999999999968e-05,2.8982395260899994e-09,5.751363239999986e-10,0.0,0.0,0.0,0.0,0.6962893043874736,0.005671347605461128,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8287926981265893e-05,0.0001295985442783145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41016713885148515,-0.018343769293218383,4.841010992700058,-0.21310519109231404,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.000131139,0.0001449987,2.1024623001690013e-08,1.7197437321000002e-08,0.0221501,0.0220548296,0.000486415508685,0.00049062693001,0.0194771,0.02094938,0.0003793574244099,0.0004388765223843,0.00067527,0.0008879949999999,7.885351200249998e-07,4.559895728999999e-07,-0.0,-5.38353e-05,0.0,2.8982395260899994e-09,8.457120000000001e-05,8.457120000000001e-05,7.1522878694400034e-09,7.1522878694400034e-09,0.6876312626120958,-0.030677521140845813,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017038541085797108,0.006108268014596345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38746187639604873,-0.047110164751256074,4.6688290548407,-0.2127843491721972,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-0.00478559,-0.004916729,2.4174224059441e-05,2.29018716481e-05,0.000303837,-0.021846263,0.0004772592070651,9.231692256900001e-08,-0.0138175,-0.0332945999999999,0.00019092330625,0.00110853038916,-0.000144052,-0.0008193219999999,6.712885396839999e-07,2.075097870400001e-08,-0.0,0.0,0.0,0.0,0.0,-8.457120000000001e-05,7.1522878694400034e-09,0.0,0.6545850571948276,-0.061093347725390046,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014679605196449624,0.03218351541738763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34155343689020645,-0.08522572953214436,4.864132130462772,0.8186201965117657,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.00630907,-0.0015234799999999,2.3209913104e-06,3.98043642649e-05,-0.0082299999999999,-0.0085338369999999,7.282637394256895e-05,6.773289999999996e-05,-0.00827738,0.00554012,6.851501966440001e-05,3.069292961440005e-05,-0.00028493,-0.000140878,1.9846610884e-08,8.118510490000001e-08,-0.0,0.0,0.0,0.0,-0.000119019,-0.000119019,1.4165522360999998e-08,1.4165522360999998e-08,0.6162364085998752,-0.04737028204195,1
