,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08684152956741113,-0.03811366590935444,0.0,0.0,0.0,0.0,-0.025385810474215408,0.008777652380928537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8725526971381,0.14260734058620309,0.0,0.0,-0.0002512659608858562,0.00013279666675176726,0.0,0.0,12.858966899173577,1.3916061823679695,0.0472377898,0.0145547726,-0.0242901729999999,-0.0528515978,-0.0945682,0.0012741,1.6233308100000006e-06,0.00894314445124,0.160613,0.0335999999999999,0.025796535769,0.0011289599999999,0.0529295,-0.0189316,0.00280153197025,0.00035840547856,0.00019161,-7.103000000000003e-05,3.67143921e-08,5.045260900000005e-09,0.000234897,3.5566999999999987e-05,1.2650114889999992e-09,5.5176600609e-08,0.000148952,-7.311099999999997e-05,5.3452183209999975e-09,2.2186698304000007e-08,0.9205751958419629,0.1352574563019943,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10687050359836128,-0.023058127523207194,0.0,0.0,0.0,0.0,-0.02003379064516934,0.007299845286740756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9590445958712858,0.11201851614968812,0.0,0.0,-0.000134561562983526,7.208436640695989e-05,0.0,0.0,13.726345255619442,1.1357216223824493,0.0470290961,0.0138981572,-0.0252135320999999,-0.0534751612,-0.0951451,-0.0005768999999999,3.3281360999999e-07,0.00905259005401,0.167079,0.006466,0.027915392241,4.180915599999999e-05,0.0712302,0.0183007,0.00507374139204,0.00033491562049,0.000162433,-2.9176999999999995e-05,2.6384479489e-08,8.512973289999996e-10,0.00024071,5.8129999999999925e-06,3.3790968999999926e-11,5.79413041e-08,9.73011e-05,-5.165090000000002e-05,2.667815470810001e-09,9.46750406121e-09,1.0048172168481961,0.11179310440687747,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11790736847296956,-0.011084286190749738,0.0,0.0,0.0,0.0,-0.015623420074857064,0.0059697561911254745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0255995055797353,0.08366774273313858,0.0,0.0,-5.213656708309502e-05,2.8262008432275984e-05,0.0,0.0,14.419073706890204,0.8803165319364022,0.0468189063,0.0132397732,-0.0261296725999999,-0.0540715076,-0.0989678,-0.0038226999999999,1.4613035289999988e-05,0.00979462543684,0.139292,-0.0277869999999999,0.019402261264,0.0007721173689999,0.0989064,0.0276761999999999,0.0097824759609599,0.0007659720464399,0.000273677,0.000111244,7.489910032899999e-08,1.2375227536000002e-08,0.000163234,-7.747599999999999e-05,6.002530575999998e-09,2.6645338756e-08,0.000128137,3.0835900000000014e-05,9.508527288100002e-10,1.6419090769000002e-08,1.0731084169263319,0.08853574981020103,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12187022423358533,-0.001772663387537099,0.0,0.0,0.0,0.0,-0.012047004864602714,0.00480687982736773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.432316044335523e-11,6.430762553953982e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0741857224924374,0.05810910841940281,0.0,0.0,0.0,0.0,0.0,0.0,14.945132625586734,0.6361446732707072,0.0466072271,0.0125797046,-0.0270383321,-0.0546403332,-0.0989954,-2.7600000000002622e-05,7.617600000001446e-10,0.00980008922116,0.115809,-0.023483,0.0134117244809999,0.000551451289,0.116994,0.0180876,0.013687596036,0.00032716127376,0.000343485,6.980799999999998e-05,1.17981945225e-07,4.8731568639999975e-09,0.000255423,9.2189e-05,8.498811721000002e-09,6.5240908929e-08,0.000327561,0.000199424,3.9769931775999996e-08,1.07296208721e-07,1.1262179505573218,0.06644595220575562,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12041249998612774,0.0052484947137387255,0.0,0.0,0.0,0.0,-0.009189753527829542,0.00381514698071338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001441672596042331,0.0007859815583247432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1035533768060177,0.02540493475740671,0.0,0.0,0.0,0.0,0.0,0.0,15.268604584031282,0.2663328522152876,0.0463940653,0.0119180352,-0.0279392506,-0.0551813486,-0.0990033,-7.900000000005125e-06,6.241000000008098e-11,0.00980165341089,0.121043,0.005234,0.014651407849,2.739475600000017e-05,0.104613,-0.0123809999999999,0.010943879769,0.0001532891609999,0.00035566,1.2175000000000011e-05,1.264940356e-07,1.482306250000003e-10,0.000213075,-4.2348000000000015e-05,1.7933531040000016e-09,4.5400955625e-08,0.000183125,-0.0001444359999999,2.0861758095999995e-08,3.3534765625e-08,1.1616887377356993,0.03633637616573739,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11495623371657027,0.010303518123481821,0.0,0.0,0.0,0.0,-0.006908528189664131,0.002971056094533852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040964260023322535,0.012236860686500284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1035058128952502,-0.026347445636470103,0.0,0.0,0.0,0.0,0.0,0.0,15.241096770118157,-0.3535373311166662,0.0461794275999999,0.0112548494,-0.02883217,-0.0556942784,-0.092253,0.0067503,4.556655009000001e-05,0.0085106160089999,0.171591,0.050548,0.029443471281,0.002555100304,0.0773688,-0.0272442,0.00598593121344,0.00074224643364,0.00033682,-1.884000000000001e-05,1.134477124e-07,3.549456000000001e-10,0.000232281,1.9205999999999995e-05,3.6887043599999965e-10,5.3954462960999996e-08,0.000132589,-5.053600000000001e-05,2.5538872960000004e-09,1.7579842920999995e-08,1.1753920982539012,0.0073981993547666824,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10671880825757091,0.013683298303614182,0.0,0.0,0.0,0.0,-0.005124890833543688,0.0022753807505656205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024493586495776265,0.046510461069864284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0620576002901216,-0.09196990338204158,0.0,0.0,0.0,0.0,0.0,0.0,14.732276599596268,-1.0925797984337995,0.0459633208,0.0105902312999999,-0.0297168348,-0.0561788616,-0.0924102,-0.0001571999999999,2.471183999999881e-08,0.00853964506404,0.181791,0.0101999999999999,0.033047967681,0.0001040399999999,0.0838669,0.0064980999999999,0.0070336569156099,4.2225303609999896e-05,0.000358905,2.208500000000003e-05,1.28812799025e-07,4.877472250000013e-10,0.000207793,-2.4488000000000003e-05,5.996621440000001e-10,4.317793084899999e-08,0.0,-0.000132589,1.7579842920999995e-08,0.0,1.1816541233109836,0.013604727733772248,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09672982010474566,0.01565891849412702,0.0,0.0,0.0,0.0,-0.0037570801947650685,0.001717711945156832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07599724664231167,0.0986836859888185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9759014630871216,-0.1549946505245948,0.0,0.0,0.0,0.0,0.0,0.0,13.747404135749301,-1.7323345481993973,0.0457457519,0.0099242658,-0.0305929917,-0.0566348516,-0.0914097,0.0010005,1.0010002500000028e-06,0.00835573325409,0.150443,-0.031348,0.022633096249,0.000982697104,0.103575,0.0197081,0.010727780625,0.00038840920561,0.000451947,9.304199999999994e-05,2.04256090809e-07,8.656813763999991e-09,0.000256621,4.882800000000003e-05,2.384173584000002e-09,6.5854337641e-08,7.8923e-05,7.8923e-05,6.2288399289999995e-09,6.2288399289999995e-09,1.2094755385948406,0.06268464708297855,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08584098262946174,0.01648903660955525,0.0,0.0,0.0,0.0,-0.002719836365587827,0.0012774523653562564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16454186489929817,0.15195010427714173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852819813321512,-0.2007728436020621,0.0,0.0,0.0,0.0,0.0,0.0,12.414450804857127,-2.1328397169540767,0.0455267277,0.0092570374,-0.0314603897,-0.0570620161,-0.0922766,-0.0008669,7.515156100000306e-07,0.00851497090756,0.138647,-0.011796,0.019222990609,0.000139145616,0.115668,0.012093,0.013379086224,0.000146240649,0.00045449,2.543000000000033e-06,2.065611601e-07,6.466849000000168e-12,0.000215354,-4.1267e-05,1.702965288999999e-09,4.6377345316000014e-08,0.000133896,5.497299999999999e-05,3.0220307289999993e-09,1.7928138815999997e-08,1.2806577682027989,0.13307232944443495,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07473375404251058,0.016420425948617076,0.0,0.0,0.0,0.0,-0.0019415646003731468,0.0009347515963639423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2845718231329501,0.19093147703080404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7075006975906881,-0.2228757507058568,0.0,0.0,0.0,0.0,0.0,0.0,10.912133421360595,-2.26650797154667,0.0453062551999999,0.008588631,-0.0323187807,-0.057460138,-0.0919095,0.0003671,1.347624100000067e-07,0.00844735619025,0.123894,-0.0147529999999999,0.015349723236,0.0002176510089999,0.124027,0.0083589999999999,0.015382696729,6.987288099999985e-05,0.00038516,-6.932999999999999e-05,1.483482256e-07,4.806648899999999e-09,0.000207043,-8.311000000000023e-06,6.907272100000038e-11,4.2866803849e-08,0.000252351,0.000118455,1.4031587025e-08,6.3681027201e-08,1.398699766690168,0.19708182233431726,1
