,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.440296764602754,-3.70181042191178,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.027543,-0.0062223,0.000758616849,3.871701729000004e-05,-0.0241378,4.5400000000001e-05,0.0005826333888399,2.06116000000009e-09,-0.00331304,0.0049391299999999,1.0976234041600004e-05,2.4395005156899975e-05,0.00014925,-0.000134811,1.8174005721000003e-08,2.22755625e-08,-0.000536941,0.000240685,2.88305637481e-07,5.7929269225000014e-08,-0.0007969969999999,0.0,0.0,6.35204218009e-07,0.7456994596024377,0.2052658325236544,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.78163234140723,-3.175950325851971,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0313077,0.0037646999999999,0.00098017207929,1.4172966089999992e-05,0.00626451,0.03040231,3.92440855401e-05,0.0009243004533361,0.0237034,0.02701644,0.00056185117156,0.0007298880302736,0.000184565,3.531500000000001e-05,1.2471492250000008e-09,3.4064239225e-08,-0.000453426,8.351499999999999e-05,2.05595137476e-07,6.974755224999999e-09,-0.000602716,0.0001942809999999,3.774510696099997e-08,3.63266576656e-07,0.8756022961952473,0.1760690763599873,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.734804127468305,-2.5783847977918684,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.0282512,-0.0030565,0.00079813030144,9.34219225e-06,0.0111187,0.00485419,0.0001236254896899,2.3563160556100005e-05,0.0025093,-0.0211941,6.296586490000002e-06,0.00044918987481,0.000386905,0.00020234,4.09414756e-08,1.49695479025e-07,-0.000286055,0.0001673709999999,8.182746302500001e-08,2.8013051640999992e-08,-0.000616786,-1.4070000000000031e-05,1.9796490000000087e-10,3.804249697960001e-07,0.9839688874160863,0.14289738058564502,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.284245351450842,-1.9906320749391087,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.0278759,-0.0003752999999999,0.00077706580081,1.4085008999999894e-07,-0.0190305,-0.0301492,0.00036215993025,0.00090897426064,-0.011758,-0.0142673,0.000138250564,0.00020355584929,0.000151982,-0.000234923,5.5188815929e-08,2.3098528324e-08,-0.000541474,-0.000255419,2.93194092676e-07,6.5238865561e-08,-0.000620624,-3.838000000000039e-06,1.4730244000000313e-11,3.851741493760001e-07,1.0699355519656744,0.11027370809759657,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.456245866305185,-1.4597493902745735,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.0177099,-0.010166,0.00031364055801,0.000103347556,-0.0262759,-0.0072453999999999,0.00069042292081,5.249582115999999e-05,-0.0227645,-0.0110064999999999,0.00051822246025,0.00012114304225,0.000168508,1.6525999999999994e-05,2.73108676e-10,2.8394946064e-08,-0.000640955,-9.9481e-05,4.10823312025e-07,9.896469361e-09,-0.000608455,1.2169000000000024e-05,1.4808456100000058e-10,3.702174870250001e-07,1.1349609130784128,0.08080867201553625,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.157154673678552e-06,6.274221180585731e-05,0.0,0.0,0.0,0.0,-21.2837088131177,-0.945075828690529,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.0188387,0.0011287999999999,0.00035489661769,1.2741894399999986e-06,-0.00690771,0.01936819,4.77164574441e-05,0.0003751267838761,0.000658877,0.023423377,4.34118901129e-07,0.0005486545900841,0.000112165,-5.6343e-05,3.174533649e-09,1.2580987224999998e-08,-0.000605835,3.512000000000003e-05,3.67036047225e-07,1.233414400000002e-09,-0.000429141,0.000179314,3.215351059600003e-08,1.84161997881e-07,1.1808836225052788,0.0523468369553172,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012657689540758544,0.0048054666883595495,0.0,0.0,0.0,0.0,-21.671361163429857,-0.14323334564764334,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.012181,-0.0066576999999999,0.000148376761,4.432496928999999e-05,0.0183727,0.02528041,0.0003375561052899,0.0006390991297681,0.00685823,0.006199353,4.70353187329e-05,3.8431977618609e-05,0.000204009,9.1844e-05,8.435320336e-09,4.1619672081e-08,-0.000534805,7.103000000000003e-05,2.86016388025e-07,5.045260900000005e-09,-0.000284872,0.0001442689999999,2.0813544360999983e-08,8.115205638400003e-08,1.2044123351227314,0.015476433251970926,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012426562396114709,0.028469550832672177,0.0,0.0,0.0,0.0,-21.306627503478026,1.1959075469967104,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.0159516,0.0037705999999999,0.00025445354256,1.4217424359999991e-05,0.00777901,-0.01059369,6.051299658010001e-05,0.0001122262678161,-0.0194446,-0.02630283,0.00037809246916,0.0006918388660089,0.000224308,2.029899999999999e-05,4.120494009999996e-10,5.0314078864e-08,-0.000482833,5.197199999999996e-05,2.33127705889e-07,2.7010887839999954e-09,-0.000289144,-4.271999999999989e-06,1.8249983999999905e-11,8.360425273600004e-08,1.2021102104061707,-0.020792373433027835,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04879572048892265,0.07445000251031243,0.0,0.0,0.0,0.0,-19.869994243046985,2.889750032751488,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.0121819,-0.0037696999999999,0.00014839868761,1.4210638089999991e-05,-0.00378087,-0.01155988,1.42949779569e-05,0.0001336308256144,-0.0267745,-0.0073298999999999,0.00071687385025,5.372743401000001e-05,0.0,-0.000224308,5.0314078864e-08,0.0,-0.000566826,-8.399299999999998e-05,3.212917142760001e-07,7.054824048999997e-09,-0.000300928,-1.178399999999998e-05,1.3886265599999954e-10,9.0557661184e-08,1.1808436160782563,-0.04086894377203649,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12105507887030185,0.12946908832447787,0.0,0.0,0.0,0.0,-17.288122485720656,4.4919509132995055,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.000925213,-0.013107113,8.560190953689999e-07,0.0001717964111947,-0.00319568,0.00058519,1.02123706624e-05,3.424473361000002e-07,-0.0163264999999999,0.010448,0.0002665546022499,0.000109160704,-5.7166e-05,-5.7166e-05,3.267951556e-09,3.267951556e-09,-0.000387323,0.0001795029999999,1.50019106329e-07,3.2221327008999986e-08,-8.345969999999997e-05,0.0002174683,4.729246150489001e-08,6.965521524089995e-09,1.1537080659857695,-0.041323255993819974,1
