,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25843933216319126,0.07059569790765045,-13.490533138918583,-3.6929731989110333,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.00576838,0.005975116,3.32742078244e-05,3.5702011213456e-05,-0.0426554,-0.0160291,0.00025693204681,0.00181948314916,0.0489987,0.0048918999999999,0.00240087260169,2.3930685609999976e-05,-0.000453255,-0.000291434,2.05440095025e-07,8.4933776356e-08,-0.0,0.000232392,0.0,5.400604166400002e-08,0.0001428229999999,-1.4590000000000143e-06,2.0398409329e-08,2.128681000000042e-12,1.487967768254344,0.4079334814152,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30315409365364804,0.06044941182234298,-15.824643688720434,-3.1647000641488128,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0133679,0.00759952,0.00017870075041,5.775270423040001e-05,-0.046091,-0.0034355999999999,1.180334735999998e-05,0.002124380281,0.0613291999999999,0.0123304999999999,0.0037612707726399,0.0001520412302499,-0.0013684,-0.000915145,1.8725185600000005e-06,8.37490371025e-07,1.4355600000000002e-23,1.4355600000000002e-23,2.0608325135999997e-46,2.0608325135999997e-46,0.000177937,3.511400000000001e-05,3.1661575969000003e-08,1.232992996000001e-09,1.7454135808018219,0.3497718036962971,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404159991548957,0.04897156968192438,-17.769715155885557,-2.566692524764983,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.0113729,-0.001995,0.00012934285441,3.980025000000002e-06,-0.0061741,0.0399169,0.0015933589056099,3.811951081000001e-05,0.088852,0.0275228,0.007894677904,0.00075750451984,-0.000140065,0.001228335,1.9618204225e-08,1.5088068722250003e-06,-1.7570099999999994e-24,-1.6112610000000002e-23,3.0870841400999985e-48,2.5961620101210004e-46,-6.48221e-05,-0.0002427591,4.20190464841e-09,5.893198063281002e-08,1.959949479441992,0.2839010569062364,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36994729980100716,0.03771032542758406,-19.311249049612577,-1.9797557501267684,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.0132173,0.0018443999999999,0.00017469701929,3.401811359999998e-06,-0.0122149,-0.0060408,3.649126464e-05,0.0001492037820099,0.0348425,-0.0540095,0.0012139998062499,0.00291702609025,-0.000504097,-0.000364032,2.541137854090001e-07,1.3251929702400006e-07,-0.000111428,-0.000111428,1.2416199183999997e-08,1.2416199183999997e-08,-0.000206241,-0.0001414189,4.2535350081e-08,1.999930527721e-08,2.1299763215183973,0.21923316894530054,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922631515052865,0.02755361358642826,-20.47613650857596,-1.4502556255723447,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.0156018,0.0023845,0.00024341616324,5.685840250000006e-06,-0.0364388,-0.0242239,0.00058679733121,0.00132778614544,0.019763,-0.0150795,0.000390576169,0.00022739132025,-0.00106475,-0.0005606529999999,1.1336925625e-06,3.143317864089999e-07,5.57867e-05,0.0001672147,3.11215589689e-09,2.796075589609e-08,-0.000239922,-3.3681000000000005e-05,5.7562566084000004e-08,1.1344097610000003e-09,2.2584601238064477,0.16088338007707043,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40798048645103313,0.017659201958269567,-21.296581392743935,-0.934246435627458,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.0102562,-0.0053455999999999,0.00010518963844,2.8575439359999988e-05,-0.0194442,0.0169946,0.00028881642916,0.00037807691364,0.013754,-0.006009,0.000189172516,3.6108081e-05,-0.00104768,1.706999999999989e-05,1.0976333824e-06,2.9138489999999617e-10,1.3992e-23,-5.57867e-05,1.9577606399999998e-46,3.11215589689e-09,-0.000423755,-0.000183833,1.79568300025e-07,3.3794571889e-08,2.3489528812608786,0.10400605544308136,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4154031381131475,0.0029158168660623667,-21.684043809506303,-0.16486799166836547,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.0139043,0.0036481,0.00019332955849,1.3308633609999996e-05,-0.00376435,0.01567985,0.0002458576960225,1.41703309225e-05,0.00155696,-0.01219704,2.4241244416000003e-06,0.0001487677847615,-0.000334544,0.000713136,1.1191968793600001e-07,5.085629544960001e-07,-0.000226611,-0.000226611,5.1352545321e-08,5.1352545321e-08,-0.00019851,0.000225245,3.94062201e-08,5.0735310025e-08,2.391688893367703,0.01916327205075803,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40991324545668967,-0.01903595620873637,-21.3974714128392,0.9811819061776139,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.0130116,-0.0008926999999999,0.00016930173456,7.969132899999933e-07,-0.0220798,-0.01831545,0.0003354557087025,0.00048751756804,-0.0224206,-0.02397756,0.00050268330436,0.0005749233835535,-0.000580978,-0.000246434,3.375354364840001e-07,6.072971635599997e-08,-0.0,0.000226611,0.0,5.1352545321e-08,-0.000279453,-8.094299999999999e-05,7.809397920900002e-08,6.551769248999998e-09,2.3600807660149075,-0.10725573596859297,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38792060959057156,-0.04404753771012868,-20.24945582062784,2.2874568418134986,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.0082086599999999,-0.00480294,6.738209899559998e-05,2.306823264360007e-05,-0.02684,-0.0047601999999999,2.2659504039999992e-05,0.0007203855999999,-0.0172994999999999,0.0051211,0.0002992727002499,2.622566521000004e-05,-0.000580707,2.7100000000003857e-07,3.37220619849e-07,7.344100000002091e-14,-0.0,0.0,0.0,0.0,5.06393e-05,0.0003300923,2.5643387044900003e-09,1.0896092651929001e-07,2.233457883058863,-0.25138599863549677,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34983110820742225,-0.0657162824799002,-18.261183848427446,3.4197263659846215,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.00038428,-0.0085929399999999,1.4767111839999998e-07,7.383861784359998e-05,0.00346057,0.03030057,0.0009181245423249,1.19755447249e-05,0.00202283,0.0193223299999999,4.091841208900001e-06,0.0003733524366288,-0.000164875,0.000415832,2.7183765625000007e-08,1.72916252224e-07,-0.0,0.0,0.0,0.0,-0.000203476,-0.0002541153,4.1402482576e-08,6.457458569409e-08,2.01415709051844,-0.3763618834170753,1
