,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.238103112062365,7.984693648021038,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.00629424,-0.0027492599999999,3.9617457177600014e-05,7.5584305475999935e-06,-0.016478,0.0063465,4.027806225000002e-05,0.000271524484,0.0347997,0.034720533,0.0012110191200899,0.001205515411804,0.0,0.000240393,0.0,5.778879444899999e-08,-0.0,0.0,0.0,0.0,0.0,0.000248222,0.0,6.161416128400001e-08,1.1567081842670188,0.31613982861046913,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.29683312868271,6.836458740095378,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.00776616,0.0014719199999999,6.031324114560001e-05,2.1665484864e-06,0.00952055,0.02599855,0.0006759246021025,9.064087230249998e-05,0.0610107,0.026211,0.0037223055144899,0.0006870165209999,6.749479999999999e-05,6.749479999999999e-05,4.5555480270399985e-09,4.5555480270399985e-09,-1.6543599999999996e-24,-1.6543599999999996e-24,2.7369070095999983e-48,2.7369070095999983e-48,0.0001720539999999,0.0001720539999999,2.9602578915999986e-08,2.9602578915999986e-08,1.3568399913748448,0.2707573412817644,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.512396704390525,5.5376390839380525,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.00675962,-0.00100654,4.56924625444e-05,1.0131227716000004e-06,1.23608e-06,-0.00951931392,9.061733750750577e-05,1.5278937664e-12,-0.0267108,-0.0877215,0.00071346683664,0.0076950615622499,-0.00014674,-0.0002142348,2.15326276e-08,4.589654953104e-08,-0.0,1.6543599999999996e-24,2.7369070095999983e-48,0.0,-0.00017959,-0.000351644,3.22525681e-08,1.2365350273599997e-07,1.523614726063685,0.2194102022827141,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.85337118415394,4.263384680299844,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.0166164,0.00985678,0.00027610474896,9.715611196839998e-05,-0.0186423,-0.01864353608,0.0003475814375662,0.00034753534929,-0.0405089,-0.0137980999999999,0.00164097097921,0.0001903875636099,7.50518e-05,0.0002217918,5.63277268324e-09,4.919160254724e-08,-0.000273689,-0.000273689,7.4905668721e-08,7.4905668721e-08,-0.000345921,-0.0001663309999999,1.1966133824100002e-07,2.7666001561e-08,1.6557892556273095,0.1690273672850719,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.378037873631406,3.1141464696152847,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.012139,-0.0044774,0.000147355321,2.0047110759999997e-05,-0.0119991,0.0066432,4.413210624e-05,0.00014397840081,-0.00656269,0.03394621,4.306890003610001e-05,0.0011523451733641,0.0,-7.50518e-05,0.0,5.63277268324e-09,-0.000240964,3.2725000000000016e-05,1.070925625000001e-09,5.806364929600001e-08,0.0,0.000345921,0.0,1.1966133824100002e-07,1.7556692858424061,0.12358334558532906,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15619236716022,1.994635062629576,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.00135177,-0.01078723,1.8272821329e-06,0.0001163643310729,0.017484,0.0294831,0.0008692531856099,0.000305690256,0.0640213,0.07058399,0.00409872685369,0.0049820996443201,0.0,0.0,0.0,0.0,-0.000161636,7.932800000000001e-05,6.292931584000002e-09,2.6126196496e-08,0.000319218,0.000319218,1.01900131524e-07,1.01900131524e-07,1.8260160469736848,0.07930893141366407,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99594169186742,0.3266083733258909,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.00107638,-0.0002753899999999,1.1585939044e-06,7.583965209999997e-08,0.0,-0.017484,0.000305690256,0.0,-0.0117126,-0.0757338999999999,0.00013718499876,0.00573562360921,0.0,0.0,0.0,0.0,-0.0,0.000161636,2.6126196496e-08,0.0,0.0,-0.000319218,0.0,1.01900131524e-07,1.859237932569293,0.013326248234763718,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.37485183600015,-2.1568257017641574,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.000968291,-0.000108089,9.37587460681e-07,1.1683231921000004e-08,-0.0130343,-0.0130343,0.0001698929764899,0.0001698929764899,-0.0430676,-0.0313549999999999,0.00185481816976,0.0009831360249999,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.000196334,-0.000196334,3.8547039556000014e-08,3.8547039556000014e-08,1.834666580703771,-0.08492790430568384,1
18,3.150917387430359e-07,2.9939093608016425e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.88675491651138,-4.98626507694389,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.00107638,0.000108089,1.1585939044e-06,1.1683231921000004e-08,-0.0084528,0.0045815,2.0990142249999988e-05,7.144982784e-05,0.00566004,0.04872764,3.20360528016e-05,0.0023743828999696,0.000125343,0.000125343,1.571086764900001e-08,1.571086764900001e-08,-0.0,0.0,0.0,0.0,0.0,0.000196334,0.0,3.8547039556000014e-08,1.7362333289158944,-0.19688653277093493,1
19,0.00048482030317172065,0.002185104820682696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.58261362686027,-7.4146763494495085,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,0.00121109,0.0001347099999999,1.4667389881e-06,1.8146784099999976e-08,0.0086623199999999,0.0171151199999999,0.0002929273326143,7.503578778239996e-05,0.060254,0.05459396,0.003630544516,0.0029805004684815,0.000321775,0.000196432,1.03539150625e-07,3.858553062399998e-08,-0.000120393,-0.000120393,1.4494474449e-08,1.4494474449e-08,0.000230625,0.000230625,5.3187890625000006e-08,5.3187890625000006e-08,1.5659808490302567,-0.29287612457780837,1
