,Q01,Q01_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0382280042588574,0.8349482950441125,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.0086979299999999,-0.0024898399999999,6.199303225599988e-06,7.565398628489996e-05,0.0313139,0.0520500999999999,0.00270921291001,0.00098056033321,0.0535276,0.0057481999999999,0.0028652039617599,3.304180323999986e-05,0.000238793,0.000129119,5.7022096849e-08,1.667171616100001e-08,-9.08951e-24,-9.13278e-05,8.261919204009997e-47,8.34076705284e-09,0.000335344,0.000120889,1.12455598336e-07,1.4614150321e-08,-1.0988257948736226,-0.3018407002955566,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5674954334981828,0.7157517895065293,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.00575201,0.0144499399999999,0.0002088007660035,3.30856190401e-05,-0.0372492,-0.0685630999999999,0.00470089868161,0.0013875029006399,0.0322439,-0.0212837,0.00103966908721,0.0004529958856899,0.000138883,-9.991e-05,1.9288487689e-08,9.982008100000002e-09,1.0367200000000002e-24,1.0126230000000001e-23,1.0747883584e-48,1.025405340129e-46,0.000205893,-0.000129451,4.2391927449e-08,1.6757561401000005e-08,-1.2902441817818457,-0.25870825629738187,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.009017024983253,0.5803997113677806,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.00411642,-0.00163559,2.6751546481000003e-06,1.69449136164e-05,-0.0894968999999999,-0.0522477,0.0027298221552899,0.0080096951096099,0.0536109,0.021367,0.00287412859881,0.000456548689,6.897520000000001e-05,-6.990779999999998e-05,4.757578215040001e-09,4.887100500839998e-09,-0.0,-1.0367200000000002e-24,0.0,1.0747883584e-48,0.0,-0.000205893,0.0,4.2391927449e-08,-1.4499278240356135,-0.2097367001413594,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.359273853393099,0.44732170847878977,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.0099701,0.00585368,3.4265569542400016e-05,9.940289401000004e-05,-0.0757679999999999,0.0137289,0.00018848269521,0.0057407898239999,0.0666338,0.0130229,0.00444006330244,0.00016959592441,-0.000155857,-0.0002248322,2.4291404449e-08,5.0549518156840007e-08,8.72151e-05,8.72151e-05,7.60647366801e-09,7.60647366801e-09,0.0,0.0,0.0,0.0,-1.576604043643841,-0.1615915743266933,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62420883567818,0.3271516025134902,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.00438831,-0.00558179,3.11563796041e-05,1.92572646561e-05,0.01568,0.091448,0.0083627367039999,0.0002458624,0.0831637,0.0165298999999999,0.0069162009976899,0.0002732375940099,0.0008022749999999,0.0009581319999999,6.436451756249996e-07,9.180169294239996e-07,1.3234899999999996e-23,-8.72151e-05,1.751625780099999e-46,7.60647366801e-09,0.000107681,0.000107681,1.1595197761e-08,1.1595197761e-08,-1.6724221955702794,-0.11811851897279635,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.811275381960164,0.2108127801476623,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.0153303,0.01094199,0.00011972714516,0.00023501809809,-0.00477267,-0.02045267,0.0004183117101289,2.27783789289e-05,0.0398596,-0.0433040999999999,0.00158878771216,0.0018752450768099,0.000160811,-0.0006414639999999,2.5860177721000005e-08,4.114760632959997e-07,-0.0,-1.3234899999999996e-23,0.0,1.751625780099999e-46,6.48501e-05,-4.28309e-05,4.20553547001e-09,1.8344859948100003e-09,-1.7400779298089302,-0.0760345011168434,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.901300730824552,0.038531328817563854,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.0152429,-8.739999999999963e-05,7.638759999999935e-09,0.0002323460004099,-0.0643081,-0.05953543,0.0035444674252849,0.00413553172561,0.0239688,-0.0158908,0.0005745033734399,0.00025251752464,-6.61653e-05,-0.0002269763,4.37784692409e-09,5.1518240761690006e-08,-0.0,0.0,0.0,0.0,0.0,-6.48501e-05,0.0,4.20553547001e-09,-1.7726370976482173,-0.01372212371650133,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8287926981265893e-05,0.0001295985442783145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.841010992700058,-0.21267084995568844,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.015243,1.0000000000114084e-07,1.0000000000228169e-14,0.000232349049,-0.0643362,-2.8099999999989245e-05,7.896099999993957e-10,0.00413914663044,0.040116,0.0161472,0.001609293456,0.00026073206784,-0.000177463,-0.0001112977,3.1493116369e-08,1.2387178025290001e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.750472984998549,0.07967289470367812,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017038541085797108,0.006108268014596345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6688290548407,-0.21236545639929336,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.0089348399999999,-0.00630816,3.979288258560005e-05,7.983136582559996e-05,-0.00510224,0.05923396,0.0035086620172815,2.60328530176e-05,0.0434426,0.0033265999999999,0.00188725949476,1.1066267559999949e-05,6.11578e-05,0.0002386208,3.74027650084e-09,5.693988619264e-08,0.000163186,0.000163186,2.6629670596e-08,2.6629670596e-08,0.0,0.0,0.0,0.0,-1.6550822515034893,0.19700782491290733,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014679605196449624,0.03218351541738763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864132130462772,0.8190566121037625,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,0.00403605,-0.0048987899999999,2.399814346409997e-05,1.6289699602500002e-05,0.0478814,0.05298364,0.0028072661076496,0.00229262846596,0.0400591,-0.0033834999999999,0.00160473149281,1.1448072249999984e-05,-8.247919999999998e-05,-0.0001436369999999,6.8028184326399975e-09,2.0631587769e-08,0.000177543,1.4356999999999997e-05,3.1521516849e-08,2.06123449e-10,0.000123963,0.000123963,1.5366825369e-08,1.5366825369e-08,-1.4707672923857715,0.3361853773415213,1
