,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25843933216319126,0.07055621106830469,-13.490533138918583,-3.6884180784224854,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.0035798,0.00081012,6.562944144000002e-07,1.2814968040000004e-05,0.0418653,0.0306409,0.00093886475281,0.00175270334409,-0.0180578,-0.02443929,0.0005972788957041,0.00032608414084,0.0,-0.000252378,0.0,6.3694654884e-08,-0.0,0.0,0.0,0.0,5.318770000000001e-05,5.318770000000001e-05,2.828931431290001e-09,2.828931431290001e-09,-0.14054461014997857,-0.03863591917631451,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30315409365364804,0.060403093032966315,-15.824643688720434,-3.1593568239708163,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0,-0.0035798,1.2814968040000004e-05,0.0,0.00537856,-0.03648674,0.0013312821958276,2.892890767360001e-05,-0.00664994,0.01140786,0.0001301392697795,4.42217020036e-05,-0.000143714,-0.000143714,2.065371379600001e-08,2.065371379600001e-08,-0.0,0.0,0.0,0.0,0.0,-5.318770000000001e-05,2.828931431290001e-09,0.0,-0.1648614146743659,-0.03316046895813444,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404159991548957,0.04891955766132037,-17.769715155885557,-2.5606925251542396,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-1.04944e-05,-1.04944e-05,1.1013243136e-10,1.1013243136e-10,-0.0266868,-0.03206536,0.0010281873119296,0.00071218529424,-0.010819,-0.00416906,1.7381061283600002e-05,0.000117050761,-0.000203504,-5.9789999999999975e-05,4.1413878016000006e-08,3.574844099999996e-09,7.661689999999998e-05,7.661689999999998e-05,5.870149365609997e-09,5.870149365609997e-09,0.0,0.0,0.0,0.0,-0.18512520323272402,-0.026953839488112658,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36994729980100716,0.03765380133169134,-19.311249049612577,-1.9732352468005083,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.00209764,0.0021081344,4.44423064846336e-06,4.4000935696e-06,0.00119905,0.02788585,0.0007776206302225,1.4377209024999996e-06,-0.011837,-0.0010179999999999,1.0363239999999995e-06,0.000140114569,-0.0003339869999999,-0.0001304829999999,1.1154731616899997e-07,1.7025813288999978e-08,0.000111855,3.5238100000000024e-05,1.2417236916100014e-09,1.2511541025e-08,0.0,0.0,0.0,0.0,-0.20118493029434925,-0.020857685835609364,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922631515052865,0.02749367986072519,-20.47613650857596,-1.4433417943711566,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-6.13474e-06,-0.0021037747399999,4.425868156662069e-06,3.76350348676e-11,0.0400182,0.03881915,0.0015069264067224,0.0016014563312399,-0.0172131,-0.0053760999999999,2.890245120999999e-05,0.00029629081161,-7.18674e-05,0.0002621195999999,5.164923182759999e-09,6.870668470415998e-08,0.000183913,7.205799999999998e-05,5.192355363999997e-09,3.3823991568999993e-08,0.0,0.0,0.0,0.0,-0.21332074821219701,-0.015355372441545721,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68516844729258e-06,7.327971682089934e-05,0.0,0.0,0.407955062883859,0.01740452011753998,-21.296499795199765,-0.926438204877449,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.00455925,0.00456538474,2.0842737824224868e-05,2.07867605625e-05,0.0104618,-0.0295564,0.0008735807809599,0.0001094492592399,-0.000142514,0.017070586,0.0002914049063833,2.0310240196e-08,-0.000216225,-0.0001443576,4.6753250625e-08,2.083911667776e-08,6.58802e-05,-0.0001180328,1.3931741875839996e-08,4.34020075204e-09,0.0,0.0,0.0,0.0,-0.22186003682775865,-0.009928007120803436,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013455443161694233,0.005049332662871113,0.0,0.0,0.41187108428320274,-0.010400401989030774,-21.672707598642575,-0.11500676738462853,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.00328873,-0.0012705199999999,1.6142210703999996e-06,1.08157450129e-05,-0.0139665,-0.0244283,0.00059674184089,0.00019506312225,0.00758949,0.007732004,5.9783885856016e-05,5.76003584601e-05,-3.57315e-05,0.0001804934999999,1.2767400922500002e-09,3.257790354225e-08,-0.0,-6.58802e-05,4.34020075204e-09,0.0,0.0,0.0,0.0,0.0,-0.22477657522474156,0.0022564646388547427,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01285604750913149,0.02919334572452847,0.0,0.0,0.37616612074521943,-0.09571441158529356,-21.289159212574766,1.234350368883625,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-0.000150858,-0.003439588,1.1830765609744e-05,2.2758136164e-08,0.0120424,0.0260089,0.00067646287921,0.00014501939776,-0.000480805,-0.008070295,6.5129661387025e-05,2.31173448025e-07,-9.43219e-05,-5.85904e-05,8.896620819609999e-09,3.43283497216e-09,0.000124882,0.000124882,1.5595513924000005e-08,1.5595513924000005e-08,-9.22319e-05,-9.22319e-05,8.50672337761e-09,8.50672337761e-09,-0.2121400712583857,0.03445653265883389,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049871487389655994,0.07552240856929912,0.0,0.0,0.2570079551927246,-0.24228831780967441,-19.82928853936999,2.930530090293747,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.00313824,0.003289098,1.0818165653604e-05,9.8485502976e-06,0.0502188,0.0381764,0.00145743751696,0.00252192787344,-0.0105173,-0.0100364949999999,0.000100731231885,0.0001106135992899,-0.000143135,-4.881309999999999e-05,2.0487628225e-08,2.382718731609999e-09,9.30583e-05,-3.182370000000002e-05,1.012747881690001e-09,8.65984719889e-09,7.58113e-05,0.0001680432,2.8238517066240002e-08,5.747353207690001e-09,-0.1691444088374189,0.08696715587540965,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12288106174355576,0.13053602609761503,0.0,0.0,0.027268321130588406,-0.4082671061956772,-17.225910903237992,4.525558946630493,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-3.09116e-05,-0.0031691515999999,1.004352186378256e-05,9.555270145599994e-10,0.0247662,-0.0254526,0.00064783484676,0.00061336466244,0.00618326,0.01670056,0.0002789087043136,3.82327042276e-05,9.89249e-05,0.0002420599,9.78613584001e-09,5.859299518801e-08,0.000126216,3.315770000000001e-05,1.0994330692900011e-09,1.5930478656000003e-08,0.0,-7.58113e-05,5.747353207690001e-09,0.0,-0.08721563892997876,0.14499885425167305,1
