,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.12922555495641,8.00451351408304,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.0,0.0,0.0,0.0,0.0143954,0.0284779999999999,0.000810996484,0.00020722754116,0.0105761,0.0285993,0.00081791996049,0.00011185389121,0.000924575,0.001173077,8.548389306249998e-07,1.376109647929e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.304524329714522,0.636242505245451,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.20361441043174,6.861601947321364,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0023095,0.0023095,5.33379025e-06,5.33379025e-06,-0.0370166,-0.051412,0.002643193744,0.0013702286755599,-0.0282125,-0.0387886,0.00150455548996,0.00079594515625,0.000334909,-0.000589666,1.12164038281e-07,3.47705991556e-07,-0.000177288,-0.000177288,3.1431034944e-08,3.1431034944e-08,5.19932e-05,5.19932e-05,2.70329284624e-09,2.70329284624e-09,2.705978620142281,0.5463406325577571,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.436733849698214,5.563815368881385,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-2.87556e-05,-0.0023382556,8.2688453136e-10,5.467439250931359e-06,-0.0536179999999999,-0.0166013999999999,0.0002756064819599,0.0028748899239999,-0.0392353,-0.0110228,0.00012150211984,0.00153940876609,0.000110636,-0.000224273,1.2240324496e-08,5.0298378529e-08,-0.0,0.000177288,3.1431034944e-08,0.0,-0.000108209,-0.0001602021999999,1.1709187680999997e-08,2.566474488484e-08,3.0408768727570745,0.4441000902876266,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.794845927729334,4.287850038157341,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.00310271,0.0031314656,9.6268093441e-06,9.806076803983357e-06,-0.0933362,-0.0397181999999999,0.00157753541124,0.0087116462304399,-0.0945153,-0.05528,0.0030558783999999,0.00893314193409,-0.00205854,-0.002169176,4.237586931600002e-06,4.705324518976e-06,-0.000225302,-0.000225302,5.076099120400001e-08,5.076099120400001e-08,-0.000312337,-0.000204128,9.755440156900001e-08,4.1668240384e-08,3.3065499498229394,0.3434965491025991,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.33492878048518,3.135657273873625,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-8.568510000000003e-06,-0.00311127851,7.341936362010002e-11,9.68005396678782e-06,-0.0430986,0.0502375999999999,0.0025238164537599,0.00185748932196,-0.0255799,0.0689354,0.00475208937316,0.00065433128401,0.000178086,0.002236626,3.1714623396e-08,5.002495863876001e-06,-0.000114168,0.000111134,1.2350765956000002e-08,1.3034332223999998e-08,0.0,0.000312337,0.0,9.755440156900001e-08,3.507505609376013,0.2526015863212079,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.128442503877984,2.0202129028521774,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-5.41517e-05,-4.558319000000001e-05,2.9324066128899997e-09,2.0778272105761e-09,-0.000588018,0.042510582,0.0018071495819787,3.457651683240001e-07,0.0017839799999999,0.02736388,0.0007487819286544,3.182584640399999e-06,0.000178086,0.0,3.1714623396e-08,0.0,-0.000138395,-2.422700000000001e-05,5.869475290000007e-10,1.9153176025e-08,0.0,0.0,0.0,0.0,3.64939733263648,0.16453768505360408,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99156689383768,0.3684341805483221,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-3.74504e-05,1.6701300000000002e-05,1.4025324601599994e-09,2.7893342169000007e-10,-0.0181147,-0.017526682,0.0003071845819291,0.00032814235609,-0.0125634,-0.01434738,0.0002058473128644,0.00015783901956,-4.74703e-05,-0.0002255563,2.25342938209e-09,5.0875644469690004e-08,-0.000158178,-1.9783e-05,3.913670889999999e-10,2.5020279684e-08,5.65113e-05,5.65113e-05,3.19352702769e-09,3.19352702769e-09,3.717682400925694,0.033947306898787895,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40486875090165,-2.101381027778802,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-3.22763e-05,5.174099999999995e-06,1.04175954169e-09,2.677131080999995e-11,-0.0430867,-0.024972,0.0006236007839999,0.00185646371689,-0.0254747,-0.0129113,0.00016670166769,0.00064896034009,-0.000151787,-0.0001043167,2.3039293369000003e-08,1.0881973898890004e-08,-8.325029999999998e-06,0.00014985297,2.2455912617820903e-08,6.930612450089996e-11,0.0,-5.65113e-05,0.0,3.19352702769e-09,3.671266469199547,-0.1615091280915961,1
18,2.2734512061949492e-07,2.1840475742302784e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.95533267060669,-4.931152428763626,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-0.00410488,-0.0040726037,1.68500398144e-05,1.658610089725369e-05,-0.0493806999999999,-0.0062939999999999,3.961443599999992e-05,0.0024384535324899,-0.0426559,-0.0171812,0.00029519363344,0.00181952580481,-0.000299699,-0.000147912,8.981949060100002e-08,2.1877959744e-08,-4.03218e-05,-3.199677e-05,1.0237932904328996e-09,1.6258475552399995e-09,0.0,0.0,0.0,0.0,3.477473939165054,-0.3856368876754473,1
19,0.0004488331295599553,0.0020492762821994926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.683728329653306,-7.374649755264039,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-5.53746e-05,0.0040495053999999,3.06634632516e-09,1.6398493984629167e-05,-0.0532661999999999,-0.0038854999999999,1.509711025e-05,0.0028372880624399,-0.0381355,0.0045204,2.043401616000001e-05,0.00145431636025,-0.000299699,0.0,8.981949060100002e-08,0.0,-0.000150577,-0.0001102552,1.2156209127040003e-08,2.2673432929000007e-08,0.0,0.0,0.0,0.0,3.138797726018073,-0.5827342788187351,1
