,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25843933216319126,0.07054479080116696,29.238103112062365,7.98469260696782,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-2.26328e-08,0.0002828823672,8.002243367267567e-08,5.1224363584000005e-16,0.00188453,0.01818003,0.0003305134908009,3.5514533209e-06,0.0498867,0.0275277,0.00248868283689,0.0007577742672899,0.000511182,-0.0003018859999999,2.61307037124e-07,9.113515699600001e-08,-0.0,-0.00017377,3.0196012900000014e-08,0.0,0.0,0.000111781,0.0,1.2494991961000002e-08,2.148426048221238,0.5873263205202677,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30315409365364804,0.06038969684940384,34.29683312868271,6.836457518920792,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-0.00548795,-0.0054879273672,3.011734678766273e-05,3.01175952025e-05,0.00197986,9.533000000000002e-05,9.087808900000004e-09,3.9198456196e-06,0.0408583,-0.0090284,0.00166940067889,8.151200655999998e-05,0.000526491,1.5309000000000026e-05,2.77192773081e-07,2.343654810000008e-10,0.000105566,0.000105566,1.1144180356e-08,1.1144180356e-08,-0.000147777,-0.000147777,2.1838041729e-08,2.1838041729e-08,2.5201433000884434,0.5030588538895482,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404159991548957,0.04890451489822481,38.512396704390525,5.537637712663918,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-1.50919e-09,0.00548794849081,3.0117578637783752e-05,2.2776544561e-18,-0.0194563,-0.02143616,0.0004595089555456,0.00037854760969,0.00637411,-0.03448419,4.06292782921e-05,0.001189159359956,0.000412304,-0.000114187,1.69994588416e-07,1.3038670969000005e-08,-0.0,-0.000105566,1.1144180356e-08,0.0,0.0,0.000147777,0.0,2.1838041729e-08,2.829904386820738,0.40770882696267396,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36994729980100716,0.0376374535994973,41.85337118415394,4.263383190066822,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,-4.31436e-05,-4.314209081e-05,1.861239999458286e-09,1.86137022096e-09,-0.0193791,7.719999999999949e-05,5.959839999999922e-09,0.00037554951681,0.0158407,0.00946659,0.00025092777649,8.961632622810008e-05,0.000973333,0.000561029,9.47377128889e-07,3.14753538841e-07,0.000100909,0.000100909,1.0182626280999998e-08,1.0182626280999998e-08,0.0,0.0,0.0,0.0,3.0754003607303746,0.3141456694044875,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922631515052865,0.027476346005460273,44.378037873631406,3.114144889488867,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,0.00257917,0.0026223136,6.87652861674496e-06,6.6521178889e-06,-0.00518998,0.01418912,0.0002013311263744,2.69358924004e-05,0.0198531,0.0040123999999999,0.00039414557961,1.6099353759999965e-05,0.000116089,-0.000857244,1.3476655920999998e-08,7.348672755360001e-07,0.000113227,1.2318000000000011e-05,1.5173312400000028e-10,1.2820353529e-08,0.0,0.0,0.0,0.0,3.2609137525520255,0.22975176388952342,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40798048645103313,0.01757883839327692,46.15619236716022,1.994633419190109,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-6.91291e-05,-0.0026482991,7.013488123060809e-06,4.7788324668100005e-09,0.0076010699999999,0.0127910499999999,0.0001636109601024,5.777626514489998e-05,0.00804592,-0.01180718,6.47368286464e-05,0.0001394094995523,-0.000252038,-0.000368127,6.352315344400001e-08,1.35517488129e-07,-0.0,-0.000113227,1.2820353529e-08,0.0,-0.000129841,-0.000129841,1.6858685281000002e-08,1.6858685281000002e-08,3.391573166981783,0.14752666470011494,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4154031381131475,0.002833991194990937,46.99594169186742,0.32660669998627156,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-4.25171e-05,2.6612e-05,7.081985440000001e-10,1.80770379241e-09,-0.00616539,-0.0137664599999999,0.0001895154209315,3.80120338521e-05,-0.0276316,-0.03567752,0.0007635053185599,0.0012728854333504,0.000159156,0.000411194,2.533063233600001e-08,1.6908050563600004e-07,-7.496069999999998e-05,-7.496069999999998e-05,5.619106544489998e-09,5.619106544489998e-09,-0.000109152,2.0689000000000005e-05,1.1914159104e-08,4.2803472100000015e-10,3.453278241222144,0.024976949077556307,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40991324545668967,-0.019116700486555057,46.37485183600015,-2.156827352989223,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.00397711,0.0040196271,1.6157402023054408e-05,1.58174039521e-05,-0.0223706,-0.0162052099999999,0.000262608831144,0.0005004437443599,-0.025855,0.0017765999999999,0.000668481025,3.156307559999986e-06,0.0001298429999999,-2.9313000000000022e-05,1.6859204648999994e-08,8.592519690000012e-10,-0.0,7.496069999999998e-05,5.619106544489998e-09,0.0,0.0,0.000109152,0.0,1.1914159104e-08,3.4076403412695746,-0.15751957627538368,1
18,3.150917387430359e-07,2.9939093608016425e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3879207277499736,-0.04412282724947109,43.88675491651138,-4.986266639577664,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,0.00265103,-0.00132608,1.7584881663999997e-06,7.0279600609e-06,-0.0165404,0.0058301999999999,3.399123203999993e-05,0.00027358483216,-0.00283493,0.02302007,8.0368281049e-06,0.0005299236228049,0.000102575,-2.7267999999999943e-05,1.0521630625000008e-08,7.435438239999967e-10,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2248139955641855,-0.3654806085924265,1
19,0.00048482030317172065,0.002185104820682696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35001291582111166,-0.06496587554865688,39.58261362686027,-7.414677758829835,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-3.63711e-05,-0.0026874011,7.222124672281208e-06,1.32285691521e-09,0.0113872,0.0279276,0.00077995084176,0.00012966832384,0.0210305,0.02386543,0.00044228193025,0.0005695587490849,-9.36915e-05,-0.0001962665,8.77809717225e-09,3.8520539022250014e-08,9.46716e-05,9.46716e-05,8.962711846560001e-09,8.962711846560001e-09,0.0,0.0,0.0,0.0,2.9083698475530446,-0.5447958254179683,1
