,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0495841195256546,0.8329716676102222,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-3.29991e-05,-0.0025626591,1.08894060081e-09,6.567221662812812e-06,0.0138689,-0.0176633999999999,0.0003119956995599,0.00019234638721,-0.0144609,-0.0253238,0.00064129484644,0.0002091176288099,-0.0010705,-0.000208466,1.1459702500000002e-06,4.3458073156000074e-08,-0.000186295,0.000205009,4.202869008100001e-08,3.4705827025e-08,0.0,0.0,0.0,0.0,0.0024982468775753656,0.0006869103830903645,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.577218305113045,0.7132355315318514,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-2.76519e-05,5.347199999999999e-06,7.6462757361e-10,2.8592547839999985e-11,-0.00610401,-0.01997291,0.0003989171338681,3.72589380801e-05,-0.0183188,-0.0038578999999999,1.4883392409999991e-05,0.00033557843344,-0.00103744,3.306000000000012e-05,1.0762817535999998e-06,1.092963600000008e-09,-7.10129e-05,0.0001152820999999,1.328996258041e-08,5.04283196641e-09,0.0,0.0,0.0,0.0,0.0029304895719827425,0.0005896056576328069,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.016908790027766,0.5777886941366113,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.000107609,0.0001352608999999,1.1579696880999997e-08,1.8295511068809995e-08,-0.0244975,-0.01839349,0.00033832047438,0.0006001275062499,-0.0121764,0.0061423999999999,3.772907775999999e-05,0.00014826471696,-0.000729776,0.0003076639999999,5.32573010176e-07,9.465713689599996e-08,6.251520000000001e-05,0.0001335281,1.7829753489610003e-08,3.9081502310400005e-09,-0.000122601,-0.000122601,1.5031005201000004e-08,1.5031005201000004e-08,0.0032906879918278265,0.00047929987676869143,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3653781376518825,0.4448994337994612,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.00191864,0.001811031,3.6811794496e-06,3.279833282961e-06,0.00628238,0.03077988,0.0009474010128144,3.946829846439999e-05,-0.00136142,0.01081498,0.0001169637924004,1.8534644164e-06,-0.000321992,0.000407784,1.03678848064e-07,1.6628779065599998e-07,2.79661e-05,-3.4549100000000004e-05,1.19364031081e-09,7.8210274921e-10,-0.000104712,1.7889000000000008e-05,3.200163210000001e-10,1.0964602944000005e-08,0.003576157231406659,0.00037095370816926616,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.628705187762377,0.32504526318859966,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-2.97348e-05,-0.0019483748,8.841583310399997e-10,3.796164361275041e-06,0.0212841,0.0150017199999999,0.0002250516029583,0.0004530129128099,0.00269325,0.00405467,1.64403488089e-05,7.2535955624999986e-06,-0.000455477,-0.0001334849999999,2.07459297529e-07,1.7818245224999992e-08,-0.000477072,-0.0005050381,2.5506348245161e-07,2.27597693184e-07,0.0,0.000104712,1.0964602944000005e-08,0.0,0.0037918771312145066,0.0002731594596375828,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.814169740122189,0.2082877049193626,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,0.00452435,0.0045540848,2.04697429225e-05,2.073968836559105e-05,0.014061,-0.0072230999999999,5.217317360999994e-05,0.000197711721,-0.0227134,-0.02540665,0.0006454978642225,0.00051589853956,-0.00040492,5.055699999999996e-05,1.639602064e-07,2.5560102489999955e-09,-0.000197431,0.0002796409999999,7.8199088881e-08,3.897899976099998e-08,-0.0001553929999999,-0.0001553929999999,2.4146984448999995e-08,2.4146984448999995e-08,0.003943811369023261,0.00017778626030830172,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.901757029735138,0.034314107425928914,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-0.000199194,-0.004723544,3.9678249636e-08,2.2311867919936e-05,-0.0119421,-0.0260031,0.00067616120961,0.0001426137524099,-0.00745745,0.01525595,0.0002327440104025,5.56135605025e-05,-0.000323641,8.127900000000002e-05,1.04743496881e-07,6.6062758410000044e-09,-4.489310000000001e-05,0.0001525378999999,2.326781093640999e-08,2.0153904276100006e-09,0.0,0.0001553929999999,2.4146984448999995e-08,0.0,0.004015563668423638,3.539569375111861e-05,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.836976296388935,-0.22471559197590957,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,0.000189996,0.00038919,3.6098480015999993e-08,1.514688561e-07,-0.0275377,-0.0155956,0.00024322273936,0.00075832492129,0.00327175,0.0107292,0.00011511573264,1.07043480625e-05,-0.000465592,-0.0001419509999999,2.16775910464e-07,2.015008640099999e-08,-3.38533e-06,4.1507770000000014e-05,1.7228949703729003e-09,1.14604592089e-11,-0.000119918,-0.000119918,1.4380326724000012e-08,1.4380326724000012e-08,0.003962494706077924,-0.00017690005827650267,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.577463193168742,-0.5198473548038671,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-0.000225505,-0.000415501,5.0852505025e-08,1.7264108100099994e-07,-0.0144352999999999,0.0131024,0.00017167288576,0.0002083778860899,0.0053576,0.00208585,4.350770222499998e-06,2.8703877759999995e-05,-0.000273225,0.000192367,7.4651900625e-08,3.700506268899999e-08,-1.15483e-05,-8.162970000000001e-06,6.663407922089997e-11,1.3336323289e-10,-0.000129945,-1.0026999999999936e-05,1.0054072899999872e-10,1.6885703024999997e-08,0.003749899226038966,-0.00041906036920067916,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12800707684758,-0.7755300586008027,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-0.000150068,7.5437e-05,2.2520404624e-08,5.6907409690000025e-09,0.0140533,0.0284886,0.0008116003299599,0.00019749524089,0.00777923,0.00242163,5.864291856900001e-06,6.05164193929e-05,2.84861e-05,0.0003017111,8.1145789321e-10,9.102958786321e-08,-0.000128792,-0.0001172437,1.374608518969e-08,1.6587379264e-08,-7.03653e-05,5.957969999999999e-05,3.5497406520899984e-09,4.951275444090001e-09,0.0033817007126688394,-0.0006291859583453889,1
