,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574769495134627,0.07094907054781786,3.0382280042588574,0.8348929069936613,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,0.0,0.0,0.0,0.0,-0.0073486799999999,-0.02582498,0.0006669295920003,5.4003097742399967e-05,-0.0277818,-0.02477343,0.0006137228339649,0.00077182841124,-0.000113041,0.000134906,1.8199628836e-08,1.2778267681e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4698954328620713,-0.1295589312446409,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30233012148289706,0.0608808992706658,3.5674954334981828,0.7156867527098247,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.0,0.0,0.0,0.0,0.00559297,0.01294165,0.0001674863047224,3.12813134209e-05,-0.0207164,0.0070653999999999,4.9919877159999936e-05,0.00042916922896,-0.000234917,-0.000121876,1.4853759376000004e-08,5.5185996889000016e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5517524717062894,-0.11119791092867841,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33974720550705556,0.04943810297309563,4.009017024983253,0.5803266254647711,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,5.49934e-05,5.49934e-05,3.02427404356e-09,3.02427404356e-09,0.0324851,0.02689213,0.0007231866559369,0.00105528172201,0.024601,0.0453174,0.00205366674276,0.0006052092009999,-0.000255877,-2.0959999999999992e-05,4.3932159999999946e-10,6.5473039129e-08,-0.0001403939999999,-0.0001403939999999,1.9710475236e-08,1.9710475236e-08,8.03463e-05,8.03463e-05,6.45552792369e-09,6.45552792369e-09,-0.620038650050379,-0.09032597968252605,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694299875756865,0.03818229530002812,4.359273853393099,0.4472422372607692,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,0.0,-5.49934e-05,0.0,3.02427404356e-09,0.040785,0.0082998999999999,6.888834000999998e-05,0.001663416225,0.0351781,0.0105771,0.00011187504441,0.00123749871961,0.0,0.000255877,6.5473039129e-08,0.0,-0.0,0.0001403939999999,1.9710475236e-08,0.0,0.0,-8.03463e-05,0.0,6.45552792369e-09,-0.6742097273256308,-0.06979299336739356,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3918821047184901,0.02801502067707708,4.62420883567818,0.327067301430119,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-3.37793e-05,-3.37793e-05,1.1410411084899998e-09,1.1410411084899998e-09,0.00196339,-0.03882161,0.0015071174029921,3.8549002921000015e-06,0.0134031,-0.021775,0.000474150625,0.00017964308961,-0.000180682,-0.000180682,3.2645985124000004e-08,3.2645985124000004e-08,-0.0,0.0,0.0,0.0,-0.000104951,-0.000104951,1.1014712401e-08,1.1014712401e-08,-0.7151848411112474,-0.051244420936023764,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872938716294163,0.048067331878646466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40773520186103107,0.018167542511567717,4.811275381960164,0.21072506877010364,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-6.38532e-05,-3.0073900000000007e-05,4.0772311502400014e-09,9.044394612100003e-10,-0.00848048,-0.01044387,0.0001090744205769,7.19185410304e-05,-0.00238839,-0.01579149,0.0002493711564201,5.704406792099998e-06,0.000372192,0.000552874,3.056696598760001e-07,1.3852688486399998e-07,-0.000174115,-0.000174115,3.0316033225e-08,3.0316033225e-08,-0.00011782,-1.2868999999999988e-05,1.3881552399999998e-08,1.656111609999997e-10,-0.7441167433963849,-0.03327750670339402,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076385832371876,0.009141642066163079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4153644687139453,0.0035730713238635776,4.901300730824552,0.03844197624370334,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,0.00285676,0.0029206132,8.161077697599999e-06,8.52998146401424e-06,-0.0149282,-0.00644772,4.157309319840001e-05,0.00022285115524,-0.0204169,-0.01802851,0.0003250271728201,0.00041684980561,-0.000186445,-0.000558637,3.12075297769e-07,3.4761738025000005e-08,-1.18398e-05,0.0001622752,2.633324053504e-08,1.4018086403999998e-10,0.0,0.00011782,0.0,1.3881552399999998e-08,-0.7580401554029533,-0.006644874733139327,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093809516815596,-0.04908010031707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8287926981265893e-05,0.0001295985442783145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41016713885148515,-0.018342894949705507,4.841010992700058,-0.2127591034247246,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,5.90659e-05,-0.0027976941,3.48878054281e-09,7.82709227717481e-06,0.0110981,0.0260263,0.00067736829169,0.00012316782361,0.00699877,0.02741567,0.0007516189615489,4.89827815129e-05,-0.000154732,3.1713e-05,1.005714369e-09,2.3941991824e-08,-0.000258547,-0.0002467072,6.086444253184002e-08,6.684655120900002e-08,0.0,0.0,0.0,0.0,-0.7485719418977733,0.03323344832148275,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360714272370963,-0.11580503692071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017038541085797108,0.006108268014596345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38746187639604873,-0.04710933880800996,4.6688290548407,-0.2124505709262068,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-0.00337018,-0.0034292459,1.13581132324e-05,1.1759727442666809e-05,0.0408881999999999,0.0297900999999999,0.0008874500580099,0.0016718448992399,0.0266294,0.01963063,0.0003853616341969,0.00070912494436,0.0,0.000154732,2.3941991824e-08,0.0,-0.000153519,0.000105028,1.1030880784000009e-08,2.3568083361e-08,0.0,0.0,0.0,0.0,-0.708693725001368,0.0802088467300846,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9352751737013,-0.17394532577144511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014679605196449624,0.03218351541738763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34155343689020645,-0.08522500145082443,4.864132130462772,0.8189679371276034,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,2.69106e-05,0.0033970906,7.2418039236e-10,1.154022454460836e-05,0.0187101,-0.0221780999999999,0.0004918681196099,0.00035006784201,0.0175781,-0.0090513,8.19260316900001e-05,0.00030898959961,-0.000162411,-0.000162411,2.6377332921000002e-08,2.6377332921000002e-08,-0.000131987,2.1532e-05,4.6362702399999986e-10,1.7420568169e-08,0.0,0.0,0.0,0.0,-0.636911378566253,0.12566192557591013,1
