,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891732162889639,0.18849123726782316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2584399561083614,0.07080887521576974,3.0495914820786623,0.8315977910327457,0.0588797595,0.0585890098,0.0581054899,0.0574307909,0.0565671325,0.00355504,-4.019999999999978e-06,1.26383094016e-05,1.6160399999999826e-11,-0.00322154,-0.06673384,1.0378319971600003e-05,0.0044534054011456,-0.00693554,-2.0669999999999543e-05,4.2724889999998104e-10,4.81017150916e-05,-0.000325868,-0.000120002,1.4400480004e-08,1.06189953424e-07,9.453710000000004e-05,-1.18329e-05,8.937263276410007e-09,1.4001752240999998e-10,0.0,0.0,0.0,0.0,-0.6329194525093789,-0.17343170307783842,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084123719557397,0.16147527700184686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031546394834023,0.06069945871546156,3.5772247459041453,0.7116237865037403,0.0588604053,0.0585117329,0.0579321415,0.0571239184,0.0560902533,-0.0056352,-0.00919024,3.175547904e-05,8.44605112576e-05,-0.00701781,-0.00379627,4.924965719610001e-05,1.44116659129e-05,-0.00693896,-3.4200000000005064e-06,1.1696400000003459e-11,4.81491658816e-05,-0.000149411,0.0001764569999999,3.1137072848999995e-08,2.2323646921000002e-08,8.14191e-05,-1.3118000000000044e-05,6.629069844809999e-09,1.7208192400000118e-10,0.0,0.0,0.0,0.0,-0.7424257120948544,-0.148677335243571,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907777204358211,0.13090174964077547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404164516343291,0.04925235958340213,4.01691412928508,0.5759789483662836,0.058839294,0.0584274695,0.0577432293,0.0567897634,0.0555715174,-0.00341362,0.00222158,1.16528015044e-05,4.9354176964e-06,0.0513115,0.05832931,0.00263287003225,0.0034023084050761,0.00423346,0.01117242,0.0001248229686563,1.7922183571599994e-05,-0.000174473,-2.5061999999999985e-05,6.281038439999992e-10,3.0440827729e-08,9.90053e-05,1.7586200000000018e-05,9.802049428090005e-09,3.0927443044000063e-10,0.000157305,0.000157305,2.4744863025e-08,2.4744863025e-08,-0.8336798900524743,-0.12064638374757553,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986527085604917,0.10089879082830167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36994765710184385,0.03801549471734627,4.365382353801755,0.4429329376344195,0.0588164263,0.0583362297,0.0575388039,0.0564284854,0.055011312,0.00356717,0.00698079,1.27247018089e-05,4.873142902410001e-05,0.0971267,0.0458151999999999,0.00943359585289,0.0020990325510399,0.00817824,0.00394478,1.55612892484e-05,6.68836094976e-05,-0.000325868,-0.000151395,2.2920446025e-08,1.06189953424e-07,0.000208792,0.0001097867,4.3594099264000015e-08,1.2053119496890005e-08,0.0,-0.000157305,2.4744863025e-08,0.0,-0.9060018122424184,-0.09312967475423439,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0460357868221373,0.07383467481957637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39226342005830145,0.027877215457851007,4.628708356687954,0.322960432456749,0.0587918028,0.0582380242,0.0573189204,0.0560402571,0.0544100551,0.00356092,-6.250000000000178e-06,1.26801512464e-05,3.906250000000224e-11,0.0311155,-0.0660111999999999,0.00096817434025,0.0043574785254399,-0.00686979,-0.01504803,0.0002264432068809,4.71940146441e-05,-5.76796e-05,0.0002681884,7.192501789455998e-08,3.32693625616e-09,0.000106097,-0.000102695,1.1256573409000002e-08,1.0546263025e-08,0.0,0.0,0.0,0.0,-0.9606531157227832,-0.06830282209404744,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879484334099405,0.04746387312325766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2708291298897281e-06,1.1288870247805592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079798682605216,0.0179886902717432,4.814234628568729,0.20667696043244135,0.0587654242999999,0.0581328648,0.0570836379,0.0556252638,0.0537681954,0.00106371,-0.00249721,1.1314789641e-06,6.236057784099999e-06,-0.0037468,-0.0348623,1.403851024e-05,0.00121537996129,-0.00694731,-7.752000000000019e-05,6.009350400000029e-09,4.82651162361e-05,7.35104e-05,0.00013119,1.72108161e-08,5.403778908159999e-09,7.30549e-05,-3.3042100000000014e-05,5.33701841401e-09,1.0917803724100004e-09,0.0,0.0,0.0,0.0,-0.9991467752634404,-0.044123313189958574,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1077417746209934,0.008154676847815116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006998164587963018,0.002960657657304494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4149657801961249,0.001407755497577904,4.936345781173901,0.1784072105585471,0.0587372916,0.0580207642,0.0568330194,0.0551837037,0.0530862119,0.00354771,0.002484,1.25862462441e-05,6.170256000000001e-06,0.0227491,0.0264959,0.0005175215508099,0.0007020327168099,-0.0035685,0.00337881,1.14163570161e-05,1.273419225e-05,2.58571e-05,-4.765329999999999e-05,2.2708370008899995e-09,6.6858962041e-10,1.40636e-05,-5.899130000000001e-05,1.9778484496e-10,3.479973475690001e-09,0.0,0.0,0.0,0.0,-1.0184967980912336,-0.012982388802298211,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931014542295039,-0.0503886591270494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090081685816718,0.022392518833287713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40428293997251896,-0.032696066553211445,5.282202667114679,0.8794922727297018,0.0587074056,0.0579017356,0.0565671325,0.0547157877,0.0523646133999999,0.00355999,1.227999999999993e-05,1.2673528800099997e-05,1.5079839999999826e-10,0.0993442,0.0765951,0.00986927007364,0.00586680934401,0.0083567599999999,0.0119252599999999,0.0001422118260675,6.983543769759996e-05,2.17516e-05,-4.105500000000003e-06,1.6855130250000028e-11,4.731321025599999e-10,9.79354e-05,8.387180000000001e-05,9.59134257316e-09,7.0344788352400025e-09,0.0,0.0,0.0,0.0,-1.0189947347253396,0.008171144049841211,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034453721278752,-0.11710633402711769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03977376443878805,0.06498484536555735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36306154270528945,-0.084355300238465,6.543276024045573,2.6883698654926906,0.058675767,0.0577757933,0.0562860484,0.0542217392999999,0.0516039384999999,0.00356007,7.999999999995859e-08,1.2674098404899996e-05,6.399999999993372e-15,0.0880836,-0.0112606,0.00775872058896,0.00012680111236,-0.00691218,-0.0152689399999999,0.0002331405287236,4.77782323524e-05,-0.000325868,-0.0003476196,1.2083938630416e-07,1.06189953424e-07,4.98272e-05,-4.81082e-05,2.48274985984e-09,2.3143989072400003e-09,0.0,0.0,0.0,0.0,-1.016765554494353,-0.0020351958913027938,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932881092046062,-0.17492425380433785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10527723654021708,0.11972214117677187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28403213667963756,-0.1402859888992681,9.33132624830405,5.135655845296186,0.0586423769,0.0576429524,0.0559898426999999,0.0537017945,0.0508047546999999,0.00355662,-3.449999999999894e-06,1.26495458244e-05,1.1902499999999268e-11,0.0289488,-0.0591348,0.00083803302144,0.00349692457104,-0.00467714,0.00223504,4.995403801600003e-06,2.18756385796e-05,-0.000231095,9.477299999999998e-05,8.981921528999996e-09,5.3404899025e-08,8.779879999999999e-05,3.797159999999999e-05,7.708629281439997e-09,1.4418424065599987e-09,0.0,0.0,0.0,0.0,-1.0334130136764736,-0.04080655524197767,1
