onset	duration	SS_delay	block_duration	correct	correct_response	experiment_exp_id	key_press	passed_check	response_time	stop_response	stopped	trial_id	trial_type	worker_id	junk
537.706	0.85	0.4	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.474	89.0	False	stim	noncrit_nosignal	s597	False
540.062	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.569	89.0	False	stim	crit_go	s597	False
542.318	0.85	0.4	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.604	89.0	False	stim	noncrit_signal	s597	False
544.77	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.855	89.0	False	stim	crit_go	s597	False
547.026	0.85	0.4	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.378	89.0	False	stim	noncrit_signal	s597	False
549.482	0.85	0.4	2.65	1.0	89.0	motor_selective_stop_signal	89.0	True	0.433	89.0	False	stim	crit_stop_failure	s597	False
552.138	0.85	0.35	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.839	89.0	False	stim	crit_go	s597	False
554.59	0.85	0.35	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.817	89.0	False	stim	crit_go	s597	False
556.943	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.68	89.0	False	stim	noncrit_signal	s597	False
559.199	0.85	0.35	2.55	1.0	89.0	motor_selective_stop_signal	89.0	True	0.577	89.0	False	stim	crit_go	s597	False
561.755	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.578	89.0	False	stim	crit_go	s597	False
564.008	0.85	0.35	2.25	0.0	89.0	motor_selective_stop_signal	71.0	True	0.668	89.0	False	stim	crit_go	s597	False
566.262	0.85	0.35	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.578	89.0	False	stim	noncrit_nosignal	s597	False
568.614	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.664	89.0	False	stim	crit_go	s597	False
570.87	0.85	0.35	2.65	1.0	71.0	motor_selective_stop_signal	71.0	True	0.666	89.0	False	stim	noncrit_signal	s597	False
573.524	0.85	0.35	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.665	89.0	False	stim	noncrit_signal	s597	False
575.88	0.85	0.35	2.45	0.0	71.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	noncrit_nosignal	s597	False
578.337	0.85	0.35	2.35	0.0	71.0	motor_selective_stop_signal	89.0	True	0.615	89.0	False	stim	noncrit_signal	s597	False
580.693	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.747	89.0	False	stim	crit_stop_failure	s597	False
582.944	0.85	0.3	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.714	89.0	False	stim	crit_go	s597	False
585.2	0.85	0.3	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
587.455	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.559	89.0	False	stim	noncrit_nosignal	s597	False
589.711	0.85	0.35	2.35	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
592.068	0.85	0.4	3.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.546	89.0	False	stim	noncrit_nosignal	s597	False
595.424	0.85	0.4	2.55	1.0	89.0	motor_selective_stop_signal	89.0	True	0.665	89.0	False	stim	crit_go	s597	False
597.98	0.85	0.4	2.75	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
600.735	0.85	0.45	2.75	1.0	71.0	motor_selective_stop_signal	71.0	True	0.611	89.0	False	stim	noncrit_nosignal	s597	False
603.491	0.85	0.45	2.65	1.0	71.0	motor_selective_stop_signal	71.0	True	0.478	89.0	False	stim	noncrit_nosignal	s597	False
606.145	0.85	0.45	2.45	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
608.599	0.85	0.5	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.657	89.0	False	stim	crit_go	s597	False
610.855	0.85	0.5	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	1.01	89.0	False	stim	crit_go	s597	False
613.208	0.85	0.5	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.488	89.0	False	stim	crit_go	s597	False
615.665	0.85	0.5	3.05	1.0	89.0	motor_selective_stop_signal	89.0	True	0.646	89.0	False	stim	crit_go	s597	False
618.721	0.85	0.5	2.35	0.0	71.0	motor_selective_stop_signal	89.0	True	0.371	89.0	False	stim	noncrit_nosignal	s597	False
621.077	0.85	0.5	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.624	89.0	False	stim	noncrit_signal	s597	False
623.333	0.85	0.5	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.49	89.0	False	stim	noncrit_nosignal	s597	False
625.689	0.85	0.5	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.577	89.0	False	stim	noncrit_nosignal	s597	False
628.045	0.85	0.5	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.49	89.0	False	stim	noncrit_nosignal	s597	False
630.401	0.85	0.5	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.64	89.0	False	stim	noncrit_signal	s597	False
632.754	0.85	0.5	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.626	89.0	False	stim	noncrit_nosignal	s597	False
635.105	0.85	0.5	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.633	89.0	False	stim	noncrit_nosignal	s597	False
637.358	0.85	0.5	2.35	0.0	89.0	motor_selective_stop_signal	71.0	True	0.552	89.0	False	stim	crit_stop_failure	s597	False
639.71	0.85	0.45	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.592	89.0	False	stim	noncrit_nosignal	s597	False
642.166	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.922	89.0	False	stim	crit_go	s597	False
644.518	0.85	0.45	2.85	1.0	71.0	motor_selective_stop_signal	71.0	True	0.609	89.0	False	stim	noncrit_nosignal	s597	False
647.372	0.85	0.45	2.55	1.0	89.0	motor_selective_stop_signal	89.0	True	0.635	89.0	False	stim	crit_go	s597	False
649.926	0.85	0.45	2.75	1.0	89.0	motor_selective_stop_signal	89.0	True	0.655	89.0	False	stim	crit_go	s597	False
