onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
354.656	1.0	356.213	0.9	2.272	True	71.0	Magnitude	n/a	twobytwo	71.0	0.657	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
357.033	1.0	358.091	0.1	2.408	True	89.0	Magnitude	stay	twobytwo	89.0	0.958	orange	3.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
359.547	1.0	360.498	0.1	2.0	True	71.0	High-Low	switch	twobytwo	71.0	0.851	orange	8.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
361.657	1.0	362.556	0.1	2.136	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.799	orange	2.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
363.899	1.0	364.557	0.1	2.0	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.558	orange	9.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
366.809	1.0	368.184	0.9	2.408	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.475	orange	6.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
370.123	1.0	371.612	0.9	2.272	True	89.0	High-Low	n/a	twobytwo	89.0	0.589	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
373.302	1.0	374.672	0.9	2.0	True	89.0	High-Low	stay	twobytwo	89.0	0.47	orange	4.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
375.409	1.0	376.655	0.1	2.272	True	89.0	Color	n/a	twobytwo	89.0	1.146	blue	2.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
378.591	1.0	380.073	0.9	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	0.582	orange	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
380.7	1.0	381.389	0.1	2.0	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.589	orange	9.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
383.607	1.0	385.001	0.9	2.272	True	89.0	Magnitude	n/a	twobytwo	89.0	0.494	blue	2.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
386.788	1.0	388.244	0.9	2.136	True	71.0	Magnitude	stay	twobytwo	71.0	0.556	orange	8.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
389.03	1.0	389.716	0.1	2.0	False	71.0	Color	n/a	twobytwo	89.0	0.586	orange	2.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
391.138	1.0	392.131	0.1	2.0	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.893	blue	8.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
394.044	1.0	395.451	0.9	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	0.507	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
396.951	1.0	398.621	0.9	2.0	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.77	orange	2.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
399.858	1.0	401.446	0.9	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	0.688	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
401.964	1.0	402.768	0.1	2.136	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.704	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
404.21	1.0	404.905	0.1	2.0	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.595	blue	7.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
406.319	1.0	407.08	0.1	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	0.661	blue	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
408.426	1.0	409.079	0.1	2.136	False	71.0	Color	n/a	twobytwo	89.0	0.553	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
410.671	1.0	412.471	0.1	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	1.7	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
412.779	1.0	413.796	0.1	2.136	True	71.0	Magnitude	stay	twobytwo	71.0	0.917	orange	7.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
415.821	1.0	417.395	0.9	2.68	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.674	blue	1.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
418.611	1.0	419.391	0.1	2.272	True	71.0	High-Low	n/a	twobytwo	71.0	0.68	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
421.793	1.0	423.18	0.9	2.136	True	71.0	Magnitude	switch	twobytwo	71.0	0.487	orange	7.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
424.04	1.0	424.788	0.1	2.0	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.648	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
426.149	1.0	426.942	0.1	2.136	True	71.0	Magnitude	n/a	twobytwo	71.0	0.693	blue	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
428.39	1.0	429.294	0.1	2.68	True	71.0	Color	n/a	twobytwo	71.0	0.804	orange	7.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
431.177	1.0	431.845	0.1	2.272	True	71.0	Magnitude	n/a	twobytwo	71.0	0.568	blue	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
433.56	1.0	434.475	0.1	2.0	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.815	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
