onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
261.848	0.492	262.34	-2.1483833910844417	draw_card	0.492	columbia_card_task_fmri	7.0	0.9090909090909092	89.0	-100.0	0.0909090909090909	12.0	2.0	1.0	-1.9304584533115907	0.492	n/a	stim	poldrack-single-stim	s624	False	1
262.344	0.83	263.174	-3.121110663811713	draw_card	0.83	columbia_card_task_fmri	7.0	0.9	89.0	-100.0	0.1	12.0	3.0	1.0	-0.5910229671902485	0.83	n/a	stim	poldrack-single-stim	s624	False	1
263.178	0.95	264.128	-4.309999552700603	draw_card	0.95	columbia_card_task_fmri	7.0	0.8888888888888888	89.0	-100.0	0.1111111111111111	12.0	4.0	1.0	0.9355958938114456	0.95	n/a	stim	poldrack-single-stim	s624	False	1
264.132	1.117	265.249	-5.796110663811714	draw_card	1.117	columbia_card_task_fmri	7.0	0.875	89.0	-100.0	0.125	12.0	5.0	1.0	2.695416080919536	1.117	n/a	stim	poldrack-single-stim	s624	False	1
265.252	0.979	266.231	-7.706824949525998	draw_card	0.979	columbia_card_task_fmri	7.0	0.8571428571428572	89.0	-100.0	0.1428571428571428	12.0	6.0	1.0	4.750432786226881	0.979	6.0	stim	poldrack-single-stim	s624	False	0
266.985	1.5	266.234	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
268.761	2.117	270.878	-1.0877773304783775	draw_card	2.117	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-80.0	0.1666666666666666	12.0	1.0	2.0	2.340271941905165	2.117	n/a	stim	poldrack-single-stim	s624	False	1
270.881	0.457	271.338	-2.5120197547208067	draw_card	0.457	columbia_card_task_fmri	14.0	0.8181818181818181	89.0	-80.0	0.1818181818181818	12.0	2.0	2.0	3.5636720521181857	0.457	n/a	stim	poldrack-single-stim	s624	False	1
271.341	1.477	272.818	-4.221110663811713	draw_card	1.477	columbia_card_task_fmri	14.0	0.8	89.0	-80.0	0.2	12.0	3.0	2.0	4.908213654641976	1.477	3.0	stim	poldrack-single-stim	s624	False	0
273.571	1.5	272.82	n/a	-1.0	2.998	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
