onset	duration	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_id	trial_type	worker_id	junk
49.647	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.495	blue	red	stim	incongruent	s618	False
51.652	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.404	red	green	stim	incongruent	s618	False
53.656	1.5	2.272	congruent	1.0	89.0	stroop	89	0.491	red	red	stim	congruent	s618	False
55.93	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.575	green	red	stim	incongruent	s618	False
57.933	1.5	2.408	congruent	1.0	89.0	stroop	89	0.575	red	red	stim	congruent	s618	False
60.346	1.5	2.0	congruent	1.0	82.0	stroop	82	0.659	green	green	stim	congruent	s618	False
62.348	1.5	2.136	congruent	1.0	71.0	stroop	71	0.728	blue	blue	stim	congruent	s618	False
64.49	1.5	2.0	congruent	1.0	82.0	stroop	82	0.705	green	green	stim	congruent	s618	False
66.495	1.5	2.0	congruent	1.0	82.0	stroop	82	0.694	green	green	stim	congruent	s618	False
68.5	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.771	blue	red	stim	incongruent	s618	False
70.504	1.5	2.272	congruent	1.0	71.0	stroop	71	0.437	blue	blue	stim	congruent	s618	False
